... loading data
training member 0
epoch 1, minibatch 166/166, validation error 13.181818 %
epoch 2, minibatch 166/166, validation error 11.636364 %
epoch 3, minibatch 166/166, validation error 10.818182 %
epoch 4, minibatch 166/166, validation error 10.464646 %
epoch 5, minibatch 166/166, validation error 10.080808 %
epoch 6, minibatch 166/166, validation error 9.686869 %
epoch 7, minibatch 166/166, validation error 9.414141 %
epoch 8, minibatch 166/166, validation error 9.151515 %
epoch 9, minibatch 166/166, validation error 8.828283 %
epoch 10, minibatch 166/166, validation error 8.707071 %
epoch 11, minibatch 166/166, validation error 8.484848 %
epoch 12, minibatch 166/166, validation error 8.262626 %
epoch 13, minibatch 166/166, validation error 8.111111 %
epoch 14, minibatch 166/166, validation error 7.939394 %
epoch 15, minibatch 166/166, validation error 7.828283 %
epoch 16, minibatch 166/166, validation error 7.616162 %
epoch 17, minibatch 166/166, validation error 7.434343 %
epoch 18, minibatch 166/166, validation error 7.323232 %
epoch 19, minibatch 166/166, validation error 7.212121 %
epoch 20, minibatch 166/166, validation error 6.989899 %
epoch 21, minibatch 166/166, validation error 6.888889 %
epoch 22, minibatch 166/166, validation error 6.838384 %
epoch 23, minibatch 166/166, validation error 6.737374 %
epoch 24, minibatch 166/166, validation error 6.636364 %
epoch 25, minibatch 166/166, validation error 6.575758 %
epoch 26, minibatch 166/166, validation error 6.454545 %
epoch 27, minibatch 166/166, validation error 6.424242 %
epoch 28, minibatch 166/166, validation error 6.373737 %
epoch 29, minibatch 166/166, validation error 6.323232 %
epoch 30, minibatch 166/166, validation error 6.292929 %
epoch 31, minibatch 166/166, validation error 6.141414 %
epoch 32, minibatch 166/166, validation error 6.020202 %
epoch 33, minibatch 166/166, validation error 6.000000 %
epoch 34, minibatch 166/166, validation error 5.919192 %
epoch 35, minibatch 166/166, validation error 5.888889 %
epoch 36, minibatch 166/166, validation error 5.777778 %
epoch 37, minibatch 166/166, validation error 5.727273 %
epoch 38, minibatch 166/166, validation error 5.676768 %
epoch 39, minibatch 166/166, validation error 5.626263 %
epoch 40, minibatch 166/166, validation error 5.565657 %
epoch 41, minibatch 166/166, validation error 5.555556 %
epoch 42, minibatch 166/166, validation error 5.505051 %
epoch 45, minibatch 166/166, validation error 5.474747 %
epoch 47, minibatch 166/166, validation error 5.424242 %
epoch 48, minibatch 166/166, validation error 5.333333 %
epoch 49, minibatch 166/166, validation error 5.232323 %
epoch 51, minibatch 166/166, validation error 5.202020 %
epoch 52, minibatch 166/166, validation error 5.161616 %
epoch 53, minibatch 166/166, validation error 5.141414 %
epoch 55, minibatch 166/166, validation error 5.111111 %
epoch 56, minibatch 166/166, validation error 5.101010 %
epoch 57, minibatch 166/166, validation error 5.070707 %
epoch 59, minibatch 166/166, validation error 5.040404 %
epoch 61, minibatch 166/166, validation error 5.010101 %
epoch 62, minibatch 166/166, validation error 4.989899 %
epoch 63, minibatch 166/166, validation error 4.959596 %
epoch 64, minibatch 166/166, validation error 4.909091 %
epoch 65, minibatch 166/166, validation error 4.909091 %
epoch 67, minibatch 166/166, validation error 4.898990 %
epoch 68, minibatch 166/166, validation error 4.848485 %
epoch 73, minibatch 166/166, validation error 4.818182 %
epoch 74, minibatch 166/166, validation error 4.767677 %
epoch 75, minibatch 166/166, validation error 4.717172 %
epoch 76, minibatch 166/166, validation error 4.696970 %
epoch 78, minibatch 166/166, validation error 4.656566 %
epoch 79, minibatch 166/166, validation error 4.646465 %
epoch 80, minibatch 166/166, validation error 4.626263 %
epoch 81, minibatch 166/166, validation error 4.585859 %
epoch 82, minibatch 166/166, validation error 4.565657 %
epoch 84, minibatch 166/166, validation error 4.515152 %
epoch 90, minibatch 166/166, validation error 4.464646 %
epoch 91, minibatch 166/166, validation error 4.454545 %
epoch 94, minibatch 166/166, validation error 4.444444 %
epoch 95, minibatch 166/166, validation error 4.434343 %
epoch 96, minibatch 166/166, validation error 4.414141 %
epoch 100, minibatch 166/166, validation error 4.404040 %
epoch 109, minibatch 166/166, validation error 4.363636 %
epoch 110, minibatch 166/166, validation error 4.353535 %
epoch 111, minibatch 166/166, validation error 4.323232 %
epoch 112, minibatch 166/166, validation error 4.303030 %
epoch 113, minibatch 166/166, validation error 4.242424 %
epoch 115, minibatch 166/166, validation error 4.232323 %
epoch 116, minibatch 166/166, validation error 4.202020 %
epoch 117, minibatch 166/166, validation error 4.161616 %
epoch 131, minibatch 166/166, validation error 4.151515 %
epoch 133, minibatch 166/166, validation error 4.141414 %
epoch 134, minibatch 166/166, validation error 4.121212 %
epoch 136, minibatch 166/166, validation error 4.070707 %
epoch 137, minibatch 166/166, validation error 4.040404 %
epoch 139, minibatch 166/166, validation error 4.030303 %
Selection : Best validation score of 4.0303030303 %
training member 1
epoch 1, minibatch 166/166, validation error 10.343434 %
epoch 2, minibatch 166/166, validation error 9.747475 %
epoch 3, minibatch 166/166, validation error 9.333333 %
epoch 4, minibatch 166/166, validation error 8.757576 %
epoch 5, minibatch 166/166, validation error 8.383838 %
epoch 6, minibatch 166/166, validation error 8.141414 %
