... loading data
training member 0
epoch 1, minibatch 166/166, validation error 13.171717 %
epoch 2, minibatch 166/166, validation error 11.606061 %
epoch 3, minibatch 166/166, validation error 10.585859 %
epoch 4, minibatch 166/166, validation error 10.121212 %
epoch 5, minibatch 166/166, validation error 9.808081 %
epoch 6, minibatch 166/166, validation error 9.454545 %
epoch 7, minibatch 166/166, validation error 9.090909 %
epoch 8, minibatch 166/166, validation error 8.707071 %
epoch 9, minibatch 166/166, validation error 8.474747 %
epoch 10, minibatch 166/166, validation error 8.313131 %
epoch 11, minibatch 166/166, validation error 8.070707 %
epoch 12, minibatch 166/166, validation error 7.868687 %
epoch 13, minibatch 166/166, validation error 7.737374 %
epoch 14, minibatch 166/166, validation error 7.474747 %
epoch 15, minibatch 166/166, validation error 7.303030 %
epoch 16, minibatch 166/166, validation error 7.111111 %
epoch 17, minibatch 166/166, validation error 6.979798 %
epoch 18, minibatch 166/166, validation error 6.909091 %
epoch 19, minibatch 166/166, validation error 6.818182 %
epoch 20, minibatch 166/166, validation error 6.717172 %
epoch 21, minibatch 166/166, validation error 6.535354 %
epoch 22, minibatch 166/166, validation error 6.393939 %
epoch 23, minibatch 166/166, validation error 6.333333 %
epoch 24, minibatch 166/166, validation error 6.232323 %
epoch 25, minibatch 166/166, validation error 6.181818 %
epoch 26, minibatch 166/166, validation error 6.131313 %
epoch 27, minibatch 166/166, validation error 6.060606 %
epoch 28, minibatch 166/166, validation error 5.979798 %
epoch 29, minibatch 166/166, validation error 5.929293 %
epoch 30, minibatch 166/166, validation error 5.858586 %
epoch 31, minibatch 166/166, validation error 5.787879 %
epoch 32, minibatch 166/166, validation error 5.747475 %
epoch 33, minibatch 166/166, validation error 5.696970 %
epoch 34, minibatch 166/166, validation error 5.595960 %
epoch 35, minibatch 166/166, validation error 5.555556 %
epoch 36, minibatch 166/166, validation error 5.484848 %
epoch 37, minibatch 166/166, validation error 5.434343 %
epoch 38, minibatch 166/166, validation error 5.353535 %
epoch 39, minibatch 166/166, validation error 5.272727 %
epoch 40, minibatch 166/166, validation error 5.212121 %
epoch 41, minibatch 166/166, validation error 5.191919 %
epoch 42, minibatch 166/166, validation error 5.171717 %
epoch 43, minibatch 166/166, validation error 5.121212 %
epoch 44, minibatch 166/166, validation error 5.050505 %
epoch 45, minibatch 166/166, validation error 5.020202 %
epoch 47, minibatch 166/166, validation error 5.000000 %
epoch 48, minibatch 166/166, validation error 4.929293 %
epoch 49, minibatch 166/166, validation error 4.909091 %
epoch 50, minibatch 166/166, validation error 4.858586 %
epoch 51, minibatch 166/166, validation error 4.808081 %
epoch 53, minibatch 166/166, validation error 4.797980 %
epoch 56, minibatch 166/166, validation error 4.787879 %
epoch 57, minibatch 166/166, validation error 4.727273 %
epoch 58, minibatch 166/166, validation error 4.696970 %
epoch 60, minibatch 166/166, validation error 4.585859 %
epoch 61, minibatch 166/166, validation error 4.565657 %
epoch 62, minibatch 166/166, validation error 4.494949 %
epoch 63, minibatch 166/166, validation error 4.484848 %
epoch 64, minibatch 166/166, validation error 4.474747 %
epoch 65, minibatch 166/166, validation error 4.464646 %
epoch 66, minibatch 166/166, validation error 4.454545 %
epoch 67, minibatch 166/166, validation error 4.444444 %
epoch 68, minibatch 166/166, validation error 4.414141 %
epoch 69, minibatch 166/166, validation error 4.353535 %
epoch 73, minibatch 166/166, validation error 4.333333 %
epoch 74, minibatch 166/166, validation error 4.292929 %
epoch 75, minibatch 166/166, validation error 4.262626 %
epoch 76, minibatch 166/166, validation error 4.262626 %
epoch 77, minibatch 166/166, validation error 4.232323 %
epoch 78, minibatch 166/166, validation error 4.191919 %
epoch 86, minibatch 166/166, validation error 4.181818 %
epoch 90, minibatch 166/166, validation error 4.171717 %
epoch 91, minibatch 166/166, validation error 4.171717 %
epoch 92, minibatch 166/166, validation error 4.111111 %
epoch 93, minibatch 166/166, validation error 4.090909 %
epoch 94, minibatch 166/166, validation error 4.070707 %
epoch 102, minibatch 166/166, validation error 4.070707 %
epoch 104, minibatch 166/166, validation error 4.040404 %
epoch 107, minibatch 166/166, validation error 4.020202 %
epoch 108, minibatch 166/166, validation error 4.010101 %
epoch 110, minibatch 166/166, validation error 4.000000 %
epoch 112, minibatch 166/166, validation error 3.969697 %
epoch 113, minibatch 166/166, validation error 3.929293 %
epoch 114, minibatch 166/166, validation error 3.898990 %
epoch 115, minibatch 166/166, validation error 3.888889 %
Selection : Best validation score of 3.88888888889 %
training member 1
epoch 1, minibatch 166/166, validation error 11.848485 %
epoch 2, minibatch 166/166, validation error 10.838384 %
epoch 3, minibatch 166/166, validation error 10.151515 %
epoch 4, minibatch 166/166, validation error 9.636364 %
epoch 5, minibatch 166/166, validation error 9.232323 %
epoch 6, minibatch 166/166, validation error 8.898990 %
epoch 7, minibatch 166/166, validation error 8.484848 %
epoch 8, minibatch 166/166, validation error 8.262626 %
epoch 9, minibatch 166/166, validation error 7.939394 %
epoch 10, minibatch 166/166, validation error 7.787879 %
