... loading data
training member 0
epoch 1, minibatch 166/166, validation error 13.808081 %
epoch 2, minibatch 166/166, validation error 10.747475 %
epoch 3, minibatch 166/166, validation error 9.949495 %
epoch 4, minibatch 166/166, validation error 9.434343 %
epoch 5, minibatch 166/166, validation error 8.929293 %
epoch 6, minibatch 166/166, validation error 8.656566 %
epoch 7, minibatch 166/166, validation error 8.323232 %
epoch 8, minibatch 166/166, validation error 8.191919 %
epoch 9, minibatch 166/166, validation error 7.929293 %
epoch 10, minibatch 166/166, validation error 7.757576 %
epoch 11, minibatch 166/166, validation error 7.636364 %
epoch 12, minibatch 166/166, validation error 7.565657 %
epoch 13, minibatch 166/166, validation error 7.343434 %
epoch 14, minibatch 166/166, validation error 7.141414 %
epoch 15, minibatch 166/166, validation error 6.929293 %
epoch 16, minibatch 166/166, validation error 6.858586 %
epoch 17, minibatch 166/166, validation error 6.717172 %
epoch 18, minibatch 166/166, validation error 6.585859 %
epoch 19, minibatch 166/166, validation error 6.434343 %
epoch 20, minibatch 166/166, validation error 6.383838 %
epoch 21, minibatch 166/166, validation error 6.262626 %
epoch 22, minibatch 166/166, validation error 6.202020 %
epoch 23, minibatch 166/166, validation error 6.050505 %
epoch 24, minibatch 166/166, validation error 5.919192 %
epoch 25, minibatch 166/166, validation error 5.808081 %
epoch 26, minibatch 166/166, validation error 5.747475 %
epoch 27, minibatch 166/166, validation error 5.646465 %
epoch 28, minibatch 166/166, validation error 5.626263 %
epoch 29, minibatch 166/166, validation error 5.565657 %
epoch 30, minibatch 166/166, validation error 5.484848 %
epoch 31, minibatch 166/166, validation error 5.434343 %
epoch 32, minibatch 166/166, validation error 5.373737 %
epoch 33, minibatch 166/166, validation error 5.242424 %
epoch 34, minibatch 166/166, validation error 5.151515 %
epoch 36, minibatch 166/166, validation error 5.141414 %
epoch 38, minibatch 166/166, validation error 5.090909 %
epoch 39, minibatch 166/166, validation error 5.070707 %
epoch 40, minibatch 166/166, validation error 5.050505 %
epoch 41, minibatch 166/166, validation error 5.020202 %
epoch 42, minibatch 166/166, validation error 5.010101 %
epoch 43, minibatch 166/166, validation error 4.949495 %
epoch 45, minibatch 166/166, validation error 4.919192 %
epoch 46, minibatch 166/166, validation error 4.777778 %
epoch 47, minibatch 166/166, validation error 4.767677 %
epoch 48, minibatch 166/166, validation error 4.727273 %
epoch 50, minibatch 166/166, validation error 4.727273 %
epoch 51, minibatch 166/166, validation error 4.676768 %
epoch 52, minibatch 166/166, validation error 4.616162 %
epoch 53, minibatch 166/166, validation error 4.585859 %
epoch 54, minibatch 166/166, validation error 4.565657 %
epoch 55, minibatch 166/166, validation error 4.525253 %
epoch 57, minibatch 166/166, validation error 4.515152 %
epoch 58, minibatch 166/166, validation error 4.505051 %
epoch 59, minibatch 166/166, validation error 4.505051 %
epoch 60, minibatch 166/166, validation error 4.414141 %
epoch 62, minibatch 166/166, validation error 4.363636 %
epoch 63, minibatch 166/166, validation error 4.353535 %
epoch 64, minibatch 166/166, validation error 4.323232 %
epoch 65, minibatch 166/166, validation error 4.282828 %
epoch 66, minibatch 166/166, validation error 4.272727 %
epoch 67, minibatch 166/166, validation error 4.242424 %
epoch 68, minibatch 166/166, validation error 4.242424 %
epoch 69, minibatch 166/166, validation error 4.202020 %
epoch 70, minibatch 166/166, validation error 4.151515 %
epoch 72, minibatch 166/166, validation error 4.131313 %
epoch 74, minibatch 166/166, validation error 4.111111 %
epoch 79, minibatch 166/166, validation error 4.080808 %
epoch 80, minibatch 166/166, validation error 4.080808 %
epoch 82, minibatch 166/166, validation error 4.070707 %
epoch 84, minibatch 166/166, validation error 4.040404 %
epoch 85, minibatch 166/166, validation error 4.020202 %
epoch 86, minibatch 166/166, validation error 3.989899 %
epoch 87, minibatch 166/166, validation error 3.949495 %
epoch 88, minibatch 166/166, validation error 3.898990 %
epoch 89, minibatch 166/166, validation error 3.888889 %
epoch 97, minibatch 166/166, validation error 3.878788 %
epoch 98, minibatch 166/166, validation error 3.858586 %
epoch 99, minibatch 166/166, validation error 3.808081 %
epoch 104, minibatch 166/166, validation error 3.787879 %
epoch 105, minibatch 166/166, validation error 3.777778 %
epoch 108, minibatch 166/166, validation error 3.767677 %
epoch 109, minibatch 166/166, validation error 3.717172 %
epoch 112, minibatch 166/166, validation error 3.686869 %
Selection : Best validation score of 3.68686868687 %
training member 1
epoch 1, minibatch 166/166, validation error 12.070707 %
epoch 2, minibatch 166/166, validation error 10.404040 %
epoch 3, minibatch 166/166, validation error 9.666667 %
epoch 4, minibatch 166/166, validation error 9.131313 %
epoch 5, minibatch 166/166, validation error 8.656566 %
epoch 6, minibatch 166/166, validation error 8.353535 %
epoch 7, minibatch 166/166, validation error 8.070707 %
epoch 8, minibatch 166/166, validation error 7.838384 %
epoch 9, minibatch 166/166, validation error 7.636364 %
epoch 10, minibatch 166/166, validation error 7.434343 %
epoch 11, minibatch 166/166, validation error 7.272727 %
epoch 12, minibatch 166/166, validation error 7.111111 %
epoch 13, minibatch 166/166, validation error 6.909091 %
epoch 14, minibatch 166/166, validation error 6.737374 %
epoch 15, minibatch 166/166, validation error 6.555556 %
epoch 16, minibatch 166/166, validation error 6.515152 %
epoch 17, minibatch 166/166, validation error 6.303030 %
epoch 18, minibatch 166/166, validation error 6.222222 %
epoch 19, minibatch 166/166, validation error 6.040404 %
epoch 20, minibatch 166/166, validation error 5.969697 %
epoch 21, minibatch 166/166, validation error 5.878788 %
epoch 22, minibatch 166/166, validation error 5.848485 %
epoch 23, minibatch 166/166, validation error 5.767677 %
epoch 24, minibatch 166/166, validation error 5.636364 %
epoch 25, minibatch 166/166, validation error 5.464646 %
epoch 26, minibatch 166/166, validation error 5.464646 %
epoch 27, minibatch 166/166, validation error 5.414141 %
epoch 28, minibatch 166/166, validation error 5.282828 %
epoch 29, minibatch 166/166, validation error 5.252525 %
epoch 30, minibatch 166/166, validation error 5.202020 %
epoch 31, minibatch 166/166, validation error 5.141414 %
epoch 32, minibatch 166/166, validation error 5.111111 %
epoch 37, minibatch 166/166, validation error 5.080808 %
epoch 38, minibatch 166/166, validation error 5.020202 %
epoch 39, minibatch 166/166, validation error 4.969697 %
epoch 40, minibatch 166/166, validation error 4.919192 %
epoch 41, minibatch 166/166, validation error 4.838384 %
epoch 42, minibatch 166/166, validation error 4.818182 %
epoch 43, minibatch 166/166, validation error 4.808081 %
epoch 44, minibatch 166/166, validation error 4.757576 %
epoch 45, minibatch 166/166, validation error 4.747475 %
epoch 46, minibatch 166/166, validation error 4.717172 %
epoch 47, minibatch 166/166, validation error 4.686869 %
epoch 49, minibatch 166/166, validation error 4.656566 %
epoch 50, minibatch 166/166, validation error 4.636364 %
epoch 51, minibatch 166/166, validation error 4.585859 %
epoch 52, minibatch 166/166, validation error 4.545455 %
epoch 53, minibatch 166/166, validation error 4.515152 %
epoch 54, minibatch 166/166, validation error 4.454545 %
epoch 56, minibatch 166/166, validation error 4.414141 %
epoch 59, minibatch 166/166, validation error 4.373737 %
epoch 60, minibatch 166/166, validation error 4.303030 %
epoch 62, minibatch 166/166, validation error 4.272727 %
epoch 75, minibatch 166/166, validation error 4.262626 %
epoch 83, minibatch 166/166, validation error 4.252525 %
epoch 84, minibatch 166/166, validation error 4.222222 %
epoch 92, minibatch 166/166, validation error 4.181818 %
epoch 97, minibatch 166/166, validation error 4.171717 %
epoch 104, minibatch 166/166, validation error 4.171717 %
epoch 105, minibatch 166/166, validation error 4.131313 %
epoch 109, minibatch 166/166, validation error 4.080808 %
epoch 110, minibatch 166/166, validation error 4.080808 %
epoch 117, minibatch 166/166, validation error 4.070707 %
epoch 122, minibatch 166/166, validation error 4.060606 %
epoch 135, minibatch 166/166, validation error 4.040404 %
epoch 136, minibatch 166/166, validation error 4.010101 %
epoch 137, minibatch 166/166, validation error 3.969697 %
epoch 142, minibatch 166/166, validation error 3.959596 %
epoch 148, minibatch 166/166, validation error 3.959596 %
epoch 150, minibatch 166/166, validation error 3.919192 %
epoch 151, minibatch 166/166, validation error 3.898990 %
epoch 152, minibatch 166/166, validation error 3.858586 %
epoch 192, minibatch 166/166, validation error 3.848485 %
epoch 193, minibatch 166/166, validation error 3.838384 %
epoch 194, minibatch 166/166, validation error 3.828283 %
epoch 195, minibatch 166/166, validation error 3.787879 %
epoch 196, minibatch 166/166, validation error 3.767677 %
Selection : Best validation score of 3.76767676768 %
training member 2
epoch 1, minibatch 166/166, validation error 12.919192 %
epoch 2, minibatch 166/166, validation error 11.535354 %
epoch 3, minibatch 166/166, validation error 10.757576 %
epoch 4, minibatch 166/166, validation error 10.303030 %
epoch 5, minibatch 166/166, validation error 9.959596 %
epoch 6, minibatch 166/166, validation error 9.626263 %
epoch 7, minibatch 166/166, validation error 9.484848 %
epoch 8, minibatch 166/166, validation error 9.252525 %
epoch 9, minibatch 166/166, validation error 9.080808 %
epoch 10, minibatch 166/166, validation error 8.848485 %
epoch 11, minibatch 166/166, validation error 8.696970 %
epoch 12, minibatch 166/166, validation error 8.606061 %
epoch 13, minibatch 166/166, validation error 8.313131 %
epoch 14, minibatch 166/166, validation error 8.202020 %
epoch 15, minibatch 166/166, validation error 7.969697 %
epoch 16, minibatch 166/166, validation error 7.808081 %
epoch 17, minibatch 166/166, validation error 7.636364 %
epoch 18, minibatch 166/166, validation error 7.535354 %
epoch 19, minibatch 166/166, validation error 7.383838 %
epoch 20, minibatch 166/166, validation error 7.303030 %
epoch 21, minibatch 166/166, validation error 7.111111 %
epoch 22, minibatch 166/166, validation error 7.000000 %
epoch 23, minibatch 166/166, validation error 6.979798 %
epoch 24, minibatch 166/166, validation error 6.858586 %
epoch 25, minibatch 166/166, validation error 6.737374 %
epoch 26, minibatch 166/166, validation error 6.676768 %
epoch 27, minibatch 166/166, validation error 6.575758 %
epoch 28, minibatch 166/166, validation error 6.494949 %
epoch 29, minibatch 166/166, validation error 6.353535 %
epoch 30, minibatch 166/166, validation error 6.343434 %
epoch 31, minibatch 166/166, validation error 6.252525 %
epoch 32, minibatch 166/166, validation error 6.161616 %
epoch 33, minibatch 166/166, validation error 6.080808 %
epoch 34, minibatch 166/166, validation error 6.040404 %
epoch 35, minibatch 166/166, validation error 5.898990 %
epoch 36, minibatch 166/166, validation error 5.767677 %
epoch 37, minibatch 166/166, validation error 5.747475 %
epoch 38, minibatch 166/166, validation error 5.686869 %
epoch 39, minibatch 166/166, validation error 5.636364 %
epoch 40, minibatch 166/166, validation error 5.595960 %
epoch 41, minibatch 166/166, validation error 5.505051 %
epoch 42, minibatch 166/166, validation error 5.383838 %
epoch 44, minibatch 166/166, validation error 5.353535 %
epoch 45, minibatch 166/166, validation error 5.232323 %
epoch 46, minibatch 166/166, validation error 5.191919 %
epoch 48, minibatch 166/166, validation error 5.181818 %
epoch 49, minibatch 166/166, validation error 5.161616 %
epoch 50, minibatch 166/166, validation error 5.111111 %
epoch 51, minibatch 166/166, validation error 5.070707 %
epoch 52, minibatch 166/166, validation error 4.969697 %
epoch 53, minibatch 166/166, validation error 4.898990 %
epoch 54, minibatch 166/166, validation error 4.858586 %
epoch 55, minibatch 166/166, validation error 4.828283 %
epoch 56, minibatch 166/166, validation error 4.787879 %
epoch 57, minibatch 166/166, validation error 4.777778 %
epoch 58, minibatch 166/166, validation error 4.737374 %
epoch 59, minibatch 166/166, validation error 4.717172 %
epoch 60, minibatch 166/166, validation error 4.707071 %
epoch 62, minibatch 166/166, validation error 4.686869 %
epoch 63, minibatch 166/166, validation error 4.595960 %
epoch 64, minibatch 166/166, validation error 4.585859 %
epoch 65, minibatch 166/166, validation error 4.575758 %
epoch 66, minibatch 166/166, validation error 4.565657 %
epoch 67, minibatch 166/166, validation error 4.535354 %
epoch 69, minibatch 166/166, validation error 4.515152 %
epoch 70, minibatch 166/166, validation error 4.484848 %
epoch 73, minibatch 166/166, validation error 4.454545 %
epoch 74, minibatch 166/166, validation error 4.444444 %
epoch 75, minibatch 166/166, validation error 4.414141 %
epoch 77, minibatch 166/166, validation error 4.393939 %
epoch 78, minibatch 166/166, validation error 4.373737 %
epoch 79, minibatch 166/166, validation error 4.333333 %
epoch 80, minibatch 166/166, validation error 4.323232 %
epoch 86, minibatch 166/166, validation error 4.313131 %
epoch 89, minibatch 166/166, validation error 4.303030 %
epoch 102, minibatch 166/166, validation error 4.282828 %
epoch 104, minibatch 166/166, validation error 4.222222 %
epoch 105, minibatch 166/166, validation error 4.171717 %
epoch 106, minibatch 166/166, validation error 4.161616 %
epoch 107, minibatch 166/166, validation error 4.141414 %
epoch 109, minibatch 166/166, validation error 4.111111 %
epoch 110, minibatch 166/166, validation error 4.101010 %
epoch 111, minibatch 166/166, validation error 4.070707 %
epoch 123, minibatch 166/166, validation error 4.050505 %
epoch 124, minibatch 166/166, validation error 3.979798 %
epoch 128, minibatch 166/166, validation error 3.969697 %
epoch 129, minibatch 166/166, validation error 3.929293 %
epoch 138, minibatch 166/166, validation error 3.898990 %
epoch 139, minibatch 166/166, validation error 3.848485 %
epoch 140, minibatch 166/166, validation error 3.838384 %
epoch 146, minibatch 166/166, validation error 3.828283 %
Selection : Best validation score of 3.82828282828 %
training stack head
epoch 1, minibatch 166/166, validation error 2.969697 %
epoch 3, minibatch 166/166, validation error 2.949495 %
epoch 18, minibatch 166/166, validation error 2.949495 %
finished patience
Selection : Best validation score of 2.94949494949 %
Final error: 3.2 %
