... loading data
training member 0
epoch 1, minibatch 166/166, validation error 11.252525 %
epoch 2, minibatch 166/166, validation error 10.474747 %
epoch 3, minibatch 166/166, validation error 9.666667 %
epoch 4, minibatch 166/166, validation error 9.393939 %
epoch 5, minibatch 166/166, validation error 8.929293 %
epoch 6, minibatch 166/166, validation error 8.505051 %
epoch 7, minibatch 166/166, validation error 8.080808 %
epoch 8, minibatch 166/166, validation error 7.818182 %
epoch 9, minibatch 166/166, validation error 7.545455 %
epoch 10, minibatch 166/166, validation error 7.383838 %
epoch 11, minibatch 166/166, validation error 7.212121 %
epoch 12, minibatch 166/166, validation error 7.020202 %
epoch 13, minibatch 166/166, validation error 6.818182 %
epoch 14, minibatch 166/166, validation error 6.595960 %
epoch 15, minibatch 166/166, validation error 6.373737 %
epoch 16, minibatch 166/166, validation error 6.191919 %
epoch 17, minibatch 166/166, validation error 6.131313 %
epoch 18, minibatch 166/166, validation error 6.020202 %
epoch 19, minibatch 166/166, validation error 5.949495 %
epoch 20, minibatch 166/166, validation error 5.888889 %
epoch 21, minibatch 166/166, validation error 5.838384 %
epoch 22, minibatch 166/166, validation error 5.656566 %
epoch 23, minibatch 166/166, validation error 5.505051 %
epoch 24, minibatch 166/166, validation error 5.454545 %
epoch 25, minibatch 166/166, validation error 5.383838 %
epoch 26, minibatch 166/166, validation error 5.292929 %
epoch 27, minibatch 166/166, validation error 5.282828 %
epoch 28, minibatch 166/166, validation error 5.222222 %
epoch 29, minibatch 166/166, validation error 5.101010 %
epoch 30, minibatch 166/166, validation error 4.979798 %
epoch 31, minibatch 166/166, validation error 4.898990 %
epoch 32, minibatch 166/166, validation error 4.848485 %
epoch 33, minibatch 166/166, validation error 4.808081 %
epoch 34, minibatch 166/166, validation error 4.777778 %
epoch 35, minibatch 166/166, validation error 4.717172 %
epoch 36, minibatch 166/166, validation error 4.656566 %
epoch 37, minibatch 166/166, validation error 4.616162 %
epoch 40, minibatch 166/166, validation error 4.575758 %
epoch 41, minibatch 166/166, validation error 4.545455 %
epoch 42, minibatch 166/166, validation error 4.484848 %
epoch 43, minibatch 166/166, validation error 4.434343 %
epoch 44, minibatch 166/166, validation error 4.414141 %
epoch 45, minibatch 166/166, validation error 4.383838 %
epoch 46, minibatch 166/166, validation error 4.343434 %
epoch 47, minibatch 166/166, validation error 4.333333 %
epoch 48, minibatch 166/166, validation error 4.282828 %
epoch 49, minibatch 166/166, validation error 4.262626 %
epoch 50, minibatch 166/166, validation error 4.242424 %
epoch 51, minibatch 166/166, validation error 4.222222 %
epoch 53, minibatch 166/166, validation error 4.202020 %
epoch 54, minibatch 166/166, validation error 4.181818 %
epoch 56, minibatch 166/166, validation error 4.151515 %
epoch 57, minibatch 166/166, validation error 4.141414 %
epoch 59, minibatch 166/166, validation error 4.131313 %
epoch 61, minibatch 166/166, validation error 4.131313 %
epoch 74, minibatch 166/166, validation error 4.080808 %
epoch 75, minibatch 166/166, validation error 4.070707 %
epoch 77, minibatch 166/166, validation error 4.030303 %
epoch 78, minibatch 166/166, validation error 3.969697 %
epoch 79, minibatch 166/166, validation error 3.949495 %
epoch 81, minibatch 166/166, validation error 3.909091 %
epoch 91, minibatch 166/166, validation error 3.888889 %
epoch 95, minibatch 166/166, validation error 3.868687 %
Selection : Best validation score of 3.86868686869 %
training member 1
epoch 1, minibatch 166/166, validation error 12.151515 %
epoch 2, minibatch 166/166, validation error 11.202020 %
epoch 3, minibatch 166/166, validation error 10.333333 %
epoch 4, minibatch 166/166, validation error 9.676768 %
epoch 5, minibatch 166/166, validation error 9.333333 %
epoch 6, minibatch 166/166, validation error 8.929293 %
epoch 7, minibatch 166/166, validation error 8.717172 %
epoch 8, minibatch 166/166, validation error 8.434343 %
epoch 9, minibatch 166/166, validation error 8.303030 %
epoch 10, minibatch 166/166, validation error 8.010101 %
epoch 11, minibatch 166/166, validation error 7.707071 %
epoch 12, minibatch 166/166, validation error 7.565657 %
epoch 13, minibatch 166/166, validation error 7.303030 %
epoch 14, minibatch 166/166, validation error 7.070707 %
epoch 15, minibatch 166/166, validation error 6.959596 %
epoch 16, minibatch 166/166, validation error 6.828283 %
epoch 17, minibatch 166/166, validation error 6.686869 %
epoch 18, minibatch 166/166, validation error 6.515152 %
