... building the model
... training
epoch 1, minibatch 100/100, validation error 70.454545 %
     epoch 1, minibatch 100/100, test error of best model 69.828283 %
epoch 2, minibatch 100/100, validation error 69.101010 %
     epoch 2, minibatch 100/100, test error of best model 68.181818 %
epoch 3, minibatch 100/100, validation error 68.515152 %
     epoch 3, minibatch 100/100, test error of best model 67.505051 %
epoch 4, minibatch 100/100, validation error 68.080808 %
     epoch 4, minibatch 100/100, test error of best model 66.868687 %
epoch 5, minibatch 100/100, validation error 67.767677 %
     epoch 5, minibatch 100/100, test error of best model 66.272727 %
epoch 6, minibatch 100/100, validation error 67.282828 %
     epoch 6, minibatch 100/100, test error of best model 65.757576 %
epoch 7, minibatch 100/100, validation error 67.232323 %
     epoch 7, minibatch 100/100, test error of best model 65.282828 %
epoch 8, minibatch 100/100, validation error 66.929293 %
     epoch 8, minibatch 100/100, test error of best model 64.868687 %
epoch 9, minibatch 100/100, validation error 66.626263 %
     epoch 9, minibatch 100/100, test error of best model 64.787879 %
epoch 10, minibatch 100/100, validation error 66.464646 %
     epoch 10, minibatch 100/100, test error of best model 64.565657 %
epoch 11, minibatch 100/100, validation error 66.121212 %
     epoch 11, minibatch 100/100, test error of best model 64.474747 %
epoch 12, minibatch 100/100, validation error 66.171717 %
epoch 13, minibatch 100/100, validation error 66.232323 %
epoch 14, minibatch 100/100, validation error 66.020202 %
     epoch 14, minibatch 100/100, test error of best model 64.020202 %
epoch 15, minibatch 100/100, validation error 65.949495 %
     epoch 15, minibatch 100/100, test error of best model 64.030303 %
epoch 16, minibatch 100/100, validation error 65.707071 %
     epoch 16, minibatch 100/100, test error of best model 63.838384 %
epoch 17, minibatch 100/100, validation error 65.464646 %
     epoch 17, minibatch 100/100, test error of best model 63.595960 %
epoch 18, minibatch 100/100, validation error 65.292929 %
     epoch 18, minibatch 100/100, test error of best model 63.626263 %
epoch 19, minibatch 100/100, validation error 65.121212 %
     epoch 19, minibatch 100/100, test error of best model 63.373737 %
epoch 20, minibatch 100/100, validation error 64.878788 %
     epoch 20, minibatch 100/100, test error of best model 63.383838 %
epoch 21, minibatch 100/100, validation error 64.797980 %
     epoch 21, minibatch 100/100, test error of best model 63.151515 %
epoch 22, minibatch 100/100, validation error 64.606061 %
     epoch 22, minibatch 100/100, test error of best model 62.808081 %
epoch 23, minibatch 100/100, validation error 64.555556 %
     epoch 23, minibatch 100/100, test error of best model 62.828283 %
epoch 24, minibatch 100/100, validation error 64.454545 %
     epoch 24, minibatch 100/100, test error of best model 62.676768 %
epoch 25, minibatch 100/100, validation error 64.515152 %
epoch 26, minibatch 100/100, validation error 64.333333 %
     epoch 26, minibatch 100/100, test error of best model 62.636364 %
epoch 27, minibatch 100/100, validation error 64.101010 %
     epoch 27, minibatch 100/100, test error of best model 62.474747 %
epoch 28, minibatch 100/100, validation error 64.050505 %
     epoch 28, minibatch 100/100, test error of best model 62.282828 %
epoch 29, minibatch 100/100, validation error 63.868687 %
     epoch 29, minibatch 100/100, test error of best model 62.151515 %
epoch 30, minibatch 100/100, validation error 63.545455 %
     epoch 30, minibatch 100/100, test error of best model 62.464646 %
epoch 31, minibatch 100/100, validation error 63.606061 %
epoch 32, minibatch 100/100, validation error 63.515152 %
     epoch 32, minibatch 100/100, test error of best model 62.050505 %
epoch 33, minibatch 100/100, validation error 63.393939 %
     epoch 33, minibatch 100/100, test error of best model 62.060606 %
epoch 34, minibatch 100/100, validation error 63.191919 %
     epoch 34, minibatch 100/100, test error of best model 61.848485 %
epoch 35, minibatch 100/100, validation error 63.070707 %
     epoch 35, minibatch 100/100, test error of best model 61.828283 %
epoch 36, minibatch 100/100, validation error 63.232323 %
epoch 37, minibatch 100/100, validation error 63.151515 %
epoch 38, minibatch 100/100, validation error 62.939394 %
     epoch 38, minibatch 100/100, test error of best model 61.767677 %
epoch 39, minibatch 100/100, validation error 62.727273 %
     epoch 39, minibatch 100/100, test error of best model 61.747475 %
epoch 40, minibatch 100/100, validation error 62.717172 %
     epoch 40, minibatch 100/100, test error of best model 61.717172 %
epoch 41, minibatch 100/100, validation error 62.757576 %
epoch 42, minibatch 100/100, validation error 62.626263 %
     epoch 42, minibatch 100/100, test error of best model 61.747475 %
epoch 43, minibatch 100/100, validation error 62.787879 %
epoch 44, minibatch 100/100, validation error 62.575758 %
     epoch 44, minibatch 100/100, test error of best model 61.464646 %
epoch 45, minibatch 100/100, validation error 62.404040 %
     epoch 45, minibatch 100/100, test error of best model 61.373737 %
epoch 46, minibatch 100/100, validation error 62.313131 %
     epoch 46, minibatch 100/100, test error of best model 61.414141 %
epoch 47, minibatch 100/100, validation error 62.474747 %
epoch 48, minibatch 100/100, validation error 62.363636 %
epoch 49, minibatch 100/100, validation error 62.343434 %
epoch 50, minibatch 100/100, validation error 62.424242 %
epoch 51, minibatch 100/100, validation error 62.272727 %
     epoch 51, minibatch 100/100, test error of best model 61.323232 %
epoch 52, minibatch 100/100, validation error 62.363636 %
epoch 53, minibatch 100/100, validation error 62.202020 %
     epoch 53, minibatch 100/100, test error of best model 61.191919 %
epoch 54, minibatch 100/100, validation error 62.353535 %
epoch 55, minibatch 100/100, validation error 62.222222 %
epoch 56, minibatch 100/100, validation error 62.111111 %
     epoch 56, minibatch 100/100, test error of best model 60.929293 %
epoch 57, minibatch 100/100, validation error 61.989899 %
     epoch 57, minibatch 100/100, test error of best model 60.838384 %
epoch 58, minibatch 100/100, validation error 61.858586 %
     epoch 58, minibatch 100/100, test error of best model 61.070707 %
epoch 59, minibatch 100/100, validation error 61.868687 %
epoch 60, minibatch 100/100, validation error 61.595960 %
     epoch 60, minibatch 100/100, test error of best model 61.070707 %
epoch 61, minibatch 100/100, validation error 61.606061 %
epoch 62, minibatch 100/100, validation error 61.676768 %
epoch 63, minibatch 100/100, validation error 61.656566 %
epoch 64, minibatch 100/100, validation error 61.737374 %
epoch 65, minibatch 100/100, validation error 61.747475 %
epoch 66, minibatch 100/100, validation error 61.666667 %
epoch 67, minibatch 100/100, validation error 61.646465 %
epoch 68, minibatch 100/100, validation error 61.626263 %
epoch 69, minibatch 100/100, validation error 61.515152 %
     epoch 69, minibatch 100/100, test error of best model 60.545455 %
epoch 70, minibatch 100/100, validation error 61.626263 %
epoch 71, minibatch 100/100, validation error 61.636364 %
epoch 72, minibatch 100/100, validation error 61.535354 %
epoch 73, minibatch 100/100, validation error 61.353535 %
     epoch 73, minibatch 100/100, test error of best model 60.414141 %
epoch 74, minibatch 100/100, validation error 61.333333 %
     epoch 74, minibatch 100/100, test error of best model 60.353535 %
epoch 75, minibatch 100/100, validation error 61.191919 %
     epoch 75, minibatch 100/100, test error of best model 60.343434 %
epoch 76, minibatch 100/100, validation error 61.181818 %
     epoch 76, minibatch 100/100, test error of best model 60.353535 %
epoch 77, minibatch 100/100, validation error 61.242424 %
epoch 78, minibatch 100/100, validation error 61.151515 %
     epoch 78, minibatch 100/100, test error of best model 60.202020 %
epoch 79, minibatch 100/100, validation error 61.040404 %
     epoch 79, minibatch 100/100, test error of best model 60.080808 %
epoch 80, minibatch 100/100, validation error 60.919192 %
     epoch 80, minibatch 100/100, test error of best model 60.202020 %
epoch 81, minibatch 100/100, validation error 60.969697 %
epoch 82, minibatch 100/100, validation error 60.828283 %
     epoch 82, minibatch 100/100, test error of best model 60.161616 %
epoch 83, minibatch 100/100, validation error 60.868687 %
epoch 84, minibatch 100/100, validation error 61.060606 %
epoch 85, minibatch 100/100, validation error 60.929293 %
epoch 86, minibatch 100/100, validation error 60.818182 %
     epoch 86, minibatch 100/100, test error of best model 60.000000 %
epoch 87, minibatch 100/100, validation error 60.828283 %
epoch 88, minibatch 100/100, validation error 60.686869 %
     epoch 88, minibatch 100/100, test error of best model 60.010101 %
epoch 89, minibatch 100/100, validation error 60.747475 %
epoch 90, minibatch 100/100, validation error 60.737374 %
epoch 91, minibatch 100/100, validation error 60.727273 %
epoch 92, minibatch 100/100, validation error 60.757576 %
epoch 93, minibatch 100/100, validation error 60.929293 %
epoch 94, minibatch 100/100, validation error 60.767677 %
epoch 95, minibatch 100/100, validation error 60.696970 %
epoch 96, minibatch 100/100, validation error 60.787879 %
epoch 97, minibatch 100/100, validation error 60.878788 %
epoch 98, minibatch 100/100, validation error 60.919192 %
epoch 99, minibatch 100/100, validation error 60.949495 %
epoch 100, minibatch 100/100, validation error 60.828283 %
epoch 101, minibatch 100/100, validation error 60.848485 %
epoch 102, minibatch 100/100, validation error 60.939394 %
epoch 103, minibatch 100/100, validation error 60.939394 %
epoch 104, minibatch 100/100, validation error 60.929293 %
epoch 105, minibatch 100/100, validation error 61.050505 %
epoch 106, minibatch 100/100, validation error 61.030303 %
epoch 107, minibatch 100/100, validation error 61.090909 %
epoch 108, minibatch 100/100, validation error 61.020202 %
epoch 109, minibatch 100/100, validation error 60.787879 %
epoch 110, minibatch 100/100, validation error 61.000000 %
epoch 111, minibatch 100/100, validation error 60.878788 %
epoch 112, minibatch 100/100, validation error 61.020202 %
epoch 113, minibatch 100/100, validation error 60.929293 %
epoch 114, minibatch 100/100, validation error 60.777778 %
epoch 115, minibatch 100/100, validation error 60.727273 %
epoch 116, minibatch 100/100, validation error 60.656566 %
     epoch 116, minibatch 100/100, test error of best model 59.727273 %
epoch 117, minibatch 100/100, validation error 60.686869 %
epoch 118, minibatch 100/100, validation error 60.666667 %
epoch 119, minibatch 100/100, validation error 60.606061 %
     epoch 119, minibatch 100/100, test error of best model 59.959596 %
epoch 120, minibatch 100/100, validation error 60.707071 %
epoch 121, minibatch 100/100, validation error 60.696970 %
epoch 122, minibatch 100/100, validation error 60.676768 %
epoch 123, minibatch 100/100, validation error 60.727273 %
epoch 124, minibatch 100/100, validation error 60.686869 %
epoch 125, minibatch 100/100, validation error 60.656566 %
epoch 126, minibatch 100/100, validation error 60.525253 %
     epoch 126, minibatch 100/100, test error of best model 59.888889 %
epoch 127, minibatch 100/100, validation error 60.666667 %
epoch 128, minibatch 100/100, validation error 60.666667 %
epoch 129, minibatch 100/100, validation error 60.676768 %
epoch 130, minibatch 100/100, validation error 60.414141 %
     epoch 130, minibatch 100/100, test error of best model 59.898990 %
epoch 131, minibatch 100/100, validation error 60.757576 %
epoch 132, minibatch 100/100, validation error 60.878788 %
epoch 133, minibatch 100/100, validation error 60.929293 %
epoch 134, minibatch 100/100, validation error 60.818182 %
epoch 135, minibatch 100/100, validation error 60.707071 %
epoch 136, minibatch 100/100, validation error 60.515152 %
epoch 137, minibatch 100/100, validation error 60.868687 %
epoch 138, minibatch 100/100, validation error 61.000000 %
epoch 139, minibatch 100/100, validation error 60.646465 %
epoch 140, minibatch 100/100, validation error 60.474747 %
epoch 141, minibatch 100/100, validation error 60.595960 %
epoch 142, minibatch 100/100, validation error 60.515152 %
epoch 143, minibatch 100/100, validation error 60.494949 %
epoch 144, minibatch 100/100, validation error 60.373737 %
     epoch 144, minibatch 100/100, test error of best model 59.808081 %
epoch 145, minibatch 100/100, validation error 60.555556 %
epoch 146, minibatch 100/100, validation error 60.343434 %
     epoch 146, minibatch 100/100, test error of best model 59.808081 %
epoch 147, minibatch 100/100, validation error 60.393939 %
epoch 148, minibatch 100/100, validation error 60.535354 %
epoch 149, minibatch 100/100, validation error 60.454545 %
epoch 150, minibatch 100/100, validation error 60.393939 %
epoch 151, minibatch 100/100, validation error 60.404040 %
epoch 152, minibatch 100/100, validation error 60.373737 %
epoch 153, minibatch 100/100, validation error 60.373737 %
epoch 154, minibatch 100/100, validation error 60.353535 %
