... loading data
... building the model
... training
epoch 1, minibatch 500/500, validation error 20.980000 %
     epoch 1, minibatch 500/500, test error of best model 21.920000 %
epoch 2, minibatch 500/500, validation error 18.340000 %
     epoch 2, minibatch 500/500, test error of best model 19.200000 %
epoch 3, minibatch 500/500, validation error 16.890000 %
     epoch 3, minibatch 500/500, test error of best model 17.840000 %
epoch 4, minibatch 500/500, validation error 16.110000 %
     epoch 4, minibatch 500/500, test error of best model 16.960000 %
epoch 5, minibatch 500/500, validation error 15.430000 %
     epoch 5, minibatch 500/500, test error of best model 16.270000 %
epoch 6, minibatch 500/500, validation error 14.870000 %
     epoch 6, minibatch 500/500, test error of best model 15.720000 %
epoch 7, minibatch 500/500, validation error 14.230000 %
     epoch 7, minibatch 500/500, test error of best model 15.220000 %
epoch 8, minibatch 500/500, validation error 13.550000 %
     epoch 8, minibatch 500/500, test error of best model 14.620000 %
epoch 9, minibatch 500/500, validation error 13.090000 %
     epoch 9, minibatch 500/500, test error of best model 13.830000 %
epoch 10, minibatch 500/500, validation error 12.630000 %
     epoch 10, minibatch 500/500, test error of best model 13.240000 %
epoch 11, minibatch 500/500, validation error 12.150000 %
     epoch 11, minibatch 500/500, test error of best model 12.920000 %
epoch 12, minibatch 500/500, validation error 11.820000 %
     epoch 12, minibatch 500/500, test error of best model 12.540000 %
epoch 13, minibatch 500/500, validation error 11.490000 %
     epoch 13, minibatch 500/500, test error of best model 12.300000 %
epoch 14, minibatch 500/500, validation error 11.230000 %
     epoch 14, minibatch 500/500, test error of best model 12.000000 %
epoch 15, minibatch 500/500, validation error 10.990000 %
     epoch 15, minibatch 500/500, test error of best model 11.380000 %
epoch 16, minibatch 500/500, validation error 10.650000 %
     epoch 16, minibatch 500/500, test error of best model 11.060000 %
epoch 17, minibatch 500/500, validation error 10.360000 %
     epoch 17, minibatch 500/500, test error of best model 10.720000 %
epoch 18, minibatch 500/500, validation error 10.180000 %
     epoch 18, minibatch 500/500, test error of best model 10.600000 %
epoch 19, minibatch 500/500, validation error 9.950000 %
     epoch 19, minibatch 500/500, test error of best model 10.410000 %
epoch 20, minibatch 500/500, validation error 9.920000 %
     epoch 20, minibatch 500/500, test error of best model 10.100000 %
epoch 21, minibatch 500/500, validation error 9.670000 %
     epoch 21, minibatch 500/500, test error of best model 9.910000 %
epoch 22, minibatch 500/500, validation error 9.640000 %
     epoch 22, minibatch 500/500, test error of best model 9.810000 %
epoch 23, minibatch 500/500, validation error 9.400000 %
     epoch 23, minibatch 500/500, test error of best model 9.610000 %
epoch 24, minibatch 500/500, validation error 9.240000 %
     epoch 24, minibatch 500/500, test error of best model 9.390000 %
epoch 25, minibatch 500/500, validation error 9.060000 %
     epoch 25, minibatch 500/500, test error of best model 9.460000 %
epoch 26, minibatch 500/500, validation error 8.770000 %
