... loading data
... building the model
<class 'theano.compile.function_module.Function'>
... training
epoch 1, minibatch 250/250, validation error 17.100000 %
     epoch 1, minibatch 250/250, test error of best model 17.820000 %
epoch 2, minibatch 250/250, validation error 13.180000 %
     epoch 2, minibatch 250/250, test error of best model 13.390000 %
epoch 3, minibatch 250/250, validation error 11.950000 %
     epoch 3, minibatch 250/250, test error of best model 12.140000 %
epoch 4, minibatch 250/250, validation error 11.100000 %
     epoch 4, minibatch 250/250, test error of best model 11.280000 %
epoch 5, minibatch 250/250, validation error 10.630000 %
     epoch 5, minibatch 250/250, test error of best model 10.640000 %
epoch 6, minibatch 250/250, validation error 10.160000 %
     epoch 6, minibatch 250/250, test error of best model 10.040000 %
epoch 7, minibatch 250/250, validation error 9.750000 %
     epoch 7, minibatch 250/250, test error of best model 9.660000 %
epoch 8, minibatch 250/250, validation error 9.400000 %
     epoch 8, minibatch 250/250, test error of best model 9.260000 %
epoch 9, minibatch 250/250, validation error 9.180000 %
     epoch 9, minibatch 250/250, test error of best model 8.980000 %
epoch 10, minibatch 250/250, validation error 8.980000 %
     epoch 10, minibatch 250/250, test error of best model 8.800000 %
epoch 11, minibatch 250/250, validation error 8.740000 %
     epoch 11, minibatch 250/250, test error of best model 8.560000 %
epoch 12, minibatch 250/250, validation error 8.620000 %
     epoch 12, minibatch 250/250, test error of best model 8.280000 %
epoch 13, minibatch 250/250, validation error 8.410000 %
     epoch 13, minibatch 250/250, test error of best model 8.140000 %
epoch 14, minibatch 250/250, validation error 8.210000 %
     epoch 14, minibatch 250/250, test error of best model 7.930000 %
epoch 15, minibatch 250/250, validation error 7.930000 %
     epoch 15, minibatch 250/250, test error of best model 7.830000 %
epoch 16, minibatch 250/250, validation error 7.810000 %
     epoch 16, minibatch 250/250, test error of best model 7.760000 %
epoch 17, minibatch 250/250, validation error 7.620000 %
     epoch 17, minibatch 250/250, test error of best model 7.690000 %
epoch 18, minibatch 250/250, validation error 7.490000 %
     epoch 18, minibatch 250/250, test error of best model 7.560000 %
epoch 19, minibatch 250/250, validation error 7.280000 %
     epoch 19, minibatch 250/250, test error of best model 7.390000 %
epoch 20, minibatch 250/250, validation error 7.180000 %
     epoch 20, minibatch 250/250, test error of best model 7.300000 %
epoch 21, minibatch 250/250, validation error 7.110000 %
     epoch 21, minibatch 250/250, test error of best model 7.220000 %
epoch 22, minibatch 250/250, validation error 6.980000 %
     epoch 22, minibatch 250/250, test error of best model 7.070000 %
epoch 23, minibatch 250/250, validation error 6.810000 %
     epoch 23, minibatch 250/250, test error of best model 6.950000 %
epoch 24, minibatch 250/250, validation error 6.700000 %
     epoch 24, minibatch 250/250, test error of best model 6.830000 %
epoch 25, minibatch 250/250, validation error 6.570000 %
     epoch 25, minibatch 250/250, test error of best model 6.760000 %
epoch 26, minibatch 250/250, validation error 6.450000 %
     epoch 26, minibatch 250/250, test error of best model 6.660000 %
epoch 27, minibatch 250/250, validation error 6.450000 %
epoch 28, minibatch 250/250, validation error 6.380000 %
     epoch 28, minibatch 250/250, test error of best model 6.540000 %
epoch 29, minibatch 250/250, validation error 6.320000 %
     epoch 29, minibatch 250/250, test error of best model 6.460000 %
epoch 30, minibatch 250/250, validation error 6.190000 %
     epoch 30, minibatch 250/250, test error of best model 6.380000 %
epoch 31, minibatch 250/250, validation error 6.060000 %
     epoch 31, minibatch 250/250, test error of best model 6.280000 %
epoch 32, minibatch 250/250, validation error 5.940000 %
     epoch 32, minibatch 250/250, test error of best model 6.170000 %
epoch 33, minibatch 250/250, validation error 5.840000 %
     epoch 33, minibatch 250/250, test error of best model 6.150000 %
epoch 34, minibatch 250/250, validation error 5.730000 %
     epoch 34, minibatch 250/250, test error of best model 6.180000 %
epoch 35, minibatch 250/250, validation error 5.660000 %
     epoch 35, minibatch 250/250, test error of best model 6.110000 %
epoch 36, minibatch 250/250, validation error 5.510000 %
     epoch 36, minibatch 250/250, test error of best model 6.050000 %
epoch 37, minibatch 250/250, validation error 5.450000 %
     epoch 37, minibatch 250/250, test error of best model 5.970000 %
epoch 38, minibatch 250/250, validation error 5.370000 %
     epoch 38, minibatch 250/250, test error of best model 5.900000 %
epoch 39, minibatch 250/250, validation error 5.290000 %
     epoch 39, minibatch 250/250, test error of best model 5.820000 %
epoch 40, minibatch 250/250, validation error 5.250000 %
     epoch 40, minibatch 250/250, test error of best model 5.760000 %
epoch 41, minibatch 250/250, validation error 5.180000 %
     epoch 41, minibatch 250/250, test error of best model 5.690000 %
epoch 42, minibatch 250/250, validation error 5.110000 %
     epoch 42, minibatch 250/250, test error of best model 5.570000 %
epoch 43, minibatch 250/250, validation error 5.070000 %
     epoch 43, minibatch 250/250, test error of best model 5.580000 %
epoch 44, minibatch 250/250, validation error 5.010000 %
     epoch 44, minibatch 250/250, test error of best model 5.560000 %
epoch 45, minibatch 250/250, validation error 4.930000 %
     epoch 45, minibatch 250/250, test error of best model 5.470000 %
epoch 46, minibatch 250/250, validation error 4.960000 %
epoch 47, minibatch 250/250, validation error 4.880000 %
     epoch 47, minibatch 250/250, test error of best model 5.330000 %
epoch 48, minibatch 250/250, validation error 4.860000 %
     epoch 48, minibatch 250/250, test error of best model 5.280000 %
epoch 49, minibatch 250/250, validation error 4.810000 %
