... loading data
... building the model
<class 'theano.compile.function_module.Function'>
... training
epoch 1, minibatch 250/250, validation error 18.780000 %
     epoch 1, minibatch 250/250, test error of best model 19.000000 %
epoch 2, minibatch 250/250, validation error 16.480000 %
     epoch 2, minibatch 250/250, test error of best model 16.890000 %
epoch 3, minibatch 250/250, validation error 15.760000 %
     epoch 3, minibatch 250/250, test error of best model 16.250000 %
epoch 4, minibatch 250/250, validation error 15.640000 %
     epoch 4, minibatch 250/250, test error of best model 16.170000 %
epoch 5, minibatch 250/250, validation error 15.480000 %
     epoch 5, minibatch 250/250, test error of best model 16.030000 %
epoch 6, minibatch 250/250, validation error 15.470000 %
     epoch 6, minibatch 250/250, test error of best model 16.080000 %
epoch 7, minibatch 250/250, validation error 15.470000 %
epoch 8, minibatch 250/250, validation error 15.470000 %
epoch 9, minibatch 250/250, validation error 15.510000 %
epoch 10, minibatch 250/250, validation error 15.490000 %
epoch 11, minibatch 250/250, validation error 15.450000 %
     epoch 11, minibatch 250/250, test error of best model 15.890000 %
epoch 12, minibatch 250/250, validation error 15.440000 %
     epoch 12, minibatch 250/250, test error of best model 15.900000 %
epoch 13, minibatch 250/250, validation error 15.340000 %
     epoch 13, minibatch 250/250, test error of best model 15.880000 %
epoch 14, minibatch 250/250, validation error 15.380000 %
epoch 15, minibatch 250/250, validation error 15.380000 %
epoch 16, minibatch 250/250, validation error 15.370000 %
epoch 17, minibatch 250/250, validation error 15.450000 %
epoch 18, minibatch 250/250, validation error 15.280000 %
     epoch 18, minibatch 250/250, test error of best model 15.970000 %
epoch 19, minibatch 250/250, validation error 15.240000 %
     epoch 19, minibatch 250/250, test error of best model 15.890000 %
epoch 20, minibatch 250/250, validation error 15.180000 %
     epoch 20, minibatch 250/250, test error of best model 15.910000 %
epoch 21, minibatch 250/250, validation error 15.240000 %
epoch 22, minibatch 250/250, validation error 15.230000 %
epoch 23, minibatch 250/250, validation error 15.220000 %
epoch 24, minibatch 250/250, validation error 15.210000 %
epoch 25, minibatch 250/250, validation error 15.220000 %
epoch 26, minibatch 250/250, validation error 15.160000 %
     epoch 26, minibatch 250/250, test error of best model 15.910000 %
epoch 27, minibatch 250/250, validation error 15.170000 %
epoch 28, minibatch 250/250, validation error 15.170000 %
epoch 29, minibatch 250/250, validation error 15.160000 %
epoch 30, minibatch 250/250, validation error 15.080000 %
     epoch 30, minibatch 250/250, test error of best model 15.890000 %
epoch 31, minibatch 250/250, validation error 15.070000 %
     epoch 31, minibatch 250/250, test error of best model 15.890000 %
epoch 32, minibatch 250/250, validation error 15.070000 %
epoch 33, minibatch 250/250, validation error 15.060000 %
     epoch 33, minibatch 250/250, test error of best model 15.870000 %
epoch 34, minibatch 250/250, validation error 15.050000 %
     epoch 34, minibatch 250/250, test error of best model 15.870000 %
epoch 35, minibatch 250/250, validation error 15.020000 %
     epoch 35, minibatch 250/250, test error of best model 15.860000 %
epoch 36, minibatch 250/250, validation error 15.010000 %
     epoch 36, minibatch 250/250, test error of best model 15.840000 %
epoch 37, minibatch 250/250, validation error 15.020000 %
epoch 38, minibatch 250/250, validation error 15.030000 %
epoch 39, minibatch 250/250, validation error 15.020000 %
epoch 40, minibatch 250/250, validation error 15.020000 %
epoch 41, minibatch 250/250, validation error 15.020000 %
epoch 42, minibatch 250/250, validation error 15.040000 %
epoch 43, minibatch 250/250, validation error 15.050000 %
epoch 44, minibatch 250/250, validation error 15.050000 %
epoch 45, minibatch 250/250, validation error 15.050000 %
epoch 46, minibatch 250/250, validation error 15.060000 %
epoch 47, minibatch 250/250, validation error 15.060000 %
epoch 48, minibatch 250/250, validation error 15.050000 %
epoch 49, minibatch 250/250, validation error 15.040000 %
epoch 50, minibatch 250/250, validation error 15.040000 %
epoch 51, minibatch 250/250, validation error 15.040000 %
epoch 52, minibatch 250/250, validation error 15.030000 %
epoch 53, minibatch 250/250, validation error 15.030000 %
epoch 54, minibatch 250/250, validation error 15.010000 %
     epoch 54, minibatch 250/250, test error of best model 15.760000 %
epoch 55, minibatch 250/250, validation error 15.010000 %
epoch 56, minibatch 250/250, validation error 15.020000 %
epoch 57, minibatch 250/250, validation error 14.990000 %
     epoch 57, minibatch 250/250, test error of best model 15.760000 %
epoch 58, minibatch 250/250, validation error 14.990000 %
epoch 59, minibatch 250/250, validation error 14.980000 %
     epoch 59, minibatch 250/250, test error of best model 15.730000 %
epoch 60, minibatch 250/250, validation error 14.980000 %
epoch 61, minibatch 250/250, validation error 14.990000 %
epoch 62, minibatch 250/250, validation error 14.960000 %
     epoch 62, minibatch 250/250, test error of best model 15.730000 %
epoch 63, minibatch 250/250, validation error 14.950000 %
     epoch 63, minibatch 250/250, test error of best model 15.750000 %
epoch 64, minibatch 250/250, validation error 14.950000 %
epoch 65, minibatch 250/250, validation error 14.960000 %
epoch 66, minibatch 250/250, validation error 14.980000 %
epoch 67, minibatch 250/250, validation error 14.980000 %
epoch 68, minibatch 250/250, validation error 14.980000 %
epoch 69, minibatch 250/250, validation error 14.990000 %
epoch 70, minibatch 250/250, validation error 14.990000 %
epoch 71, minibatch 250/250, validation error 14.980000 %
epoch 72, minibatch 250/250, validation error 14.980000 %
epoch 73, minibatch 250/250, validation error 14.980000 %
epoch 74, minibatch 250/250, validation error 14.980000 %
epoch 75, minibatch 250/250, validation error 14.980000 %
epoch 76, minibatch 250/250, validation error 14.980000 %
epoch 77, minibatch 250/250, validation error 14.980000 %
epoch 78, minibatch 250/250, validation error 14.970000 %
epoch 79, minibatch 250/250, validation error 14.980000 %
epoch 80, minibatch 250/250, validation error 14.990000 %
epoch 81, minibatch 250/250, validation error 14.990000 %
epoch 82, minibatch 250/250, validation error 14.990000 %
epoch 83, minibatch 250/250, validation error 14.980000 %
epoch 84, minibatch 250/250, validation error 14.970000 %
epoch 85, minibatch 250/250, validation error 14.970000 %
epoch 86, minibatch 250/250, validation error 14.970000 %
epoch 87, minibatch 250/250, validation error 14.970000 %
epoch 88, minibatch 250/250, validation error 14.970000 %
epoch 89, minibatch 250/250, validation error 14.970000 %
epoch 90, minibatch 250/250, validation error 14.980000 %
epoch 91, minibatch 250/250, validation error 14.970000 %
epoch 92, minibatch 250/250, validation error 14.960000 %
epoch 93, minibatch 250/250, validation error 14.960000 %
epoch 94, minibatch 250/250, validation error 14.950000 %
epoch 95, minibatch 250/250, validation error 14.940000 %
     epoch 95, minibatch 250/250, test error of best model 15.640000 %
epoch 96, minibatch 250/250, validation error 14.930000 %
     epoch 96, minibatch 250/250, test error of best model 15.630000 %
epoch 97, minibatch 250/250, validation error 14.930000 %
epoch 98, minibatch 250/250, validation error 14.930000 %
epoch 99, minibatch 250/250, validation error 14.920000 %
     epoch 99, minibatch 250/250, test error of best model 15.600000 %
epoch 100, minibatch 250/250, validation error 14.910000 %
     epoch 100, minibatch 250/250, test error of best model 15.600000 %
epoch 101, minibatch 250/250, validation error 14.890000 %
     epoch 101, minibatch 250/250, test error of best model 15.600000 %
epoch 102, minibatch 250/250, validation error 14.880000 %
     epoch 102, minibatch 250/250, test error of best model 15.600000 %
epoch 103, minibatch 250/250, validation error 14.870000 %
     epoch 103, minibatch 250/250, test error of best model 15.600000 %
epoch 104, minibatch 250/250, validation error 14.870000 %
epoch 105, minibatch 250/250, validation error 14.870000 %
epoch 106, minibatch 250/250, validation error 14.890000 %
epoch 107, minibatch 250/250, validation error 14.890000 %
epoch 108, minibatch 250/250, validation error 14.880000 %
epoch 109, minibatch 250/250, validation error 14.880000 %
epoch 110, minibatch 250/250, validation error 14.860000 %
     epoch 110, minibatch 250/250, test error of best model 15.620000 %
epoch 111, minibatch 250/250, validation error 14.860000 %
epoch 112, minibatch 250/250, validation error 14.860000 %
epoch 113, minibatch 250/250, validation error 14.850000 %
     epoch 113, minibatch 250/250, test error of best model 15.580000 %
epoch 114, minibatch 250/250, validation error 14.850000 %
epoch 115, minibatch 250/250, validation error 14.860000 %
epoch 116, minibatch 250/250, validation error 14.870000 %
epoch 117, minibatch 250/250, validation error 14.870000 %
epoch 118, minibatch 250/250, validation error 14.870000 %
epoch 119, minibatch 250/250, validation error 14.880000 %
epoch 120, minibatch 250/250, validation error 14.870000 %
epoch 121, minibatch 250/250, validation error 14.870000 %
epoch 122, minibatch 250/250, validation error 14.880000 %
epoch 123, minibatch 250/250, validation error 14.880000 %
epoch 124, minibatch 250/250, validation error 14.880000 %
epoch 125, minibatch 250/250, validation error 14.880000 %
epoch 126, minibatch 250/250, validation error 14.880000 %
epoch 127, minibatch 250/250, validation error 14.870000 %
epoch 128, minibatch 250/250, validation error 14.880000 %
epoch 129, minibatch 250/250, validation error 14.880000 %
epoch 130, minibatch 250/250, validation error 14.890000 %
epoch 131, minibatch 250/250, validation error 14.890000 %
epoch 132, minibatch 250/250, validation error 14.890000 %
epoch 133, minibatch 250/250, validation error 14.890000 %
epoch 134, minibatch 250/250, validation error 14.890000 %
epoch 135, minibatch 250/250, validation error 14.880000 %
epoch 136, minibatch 250/250, validation error 14.870000 %
epoch 137, minibatch 250/250, validation error 14.860000 %
