... building the model
... training
epoch 1, minibatch 3600/3600, validation error 23.556667 %
     epoch 1, minibatch 3600/3600, test error of best model 22.480000 %
epoch 2, minibatch 3600/3600, validation error 15.405000 %
     epoch 2, minibatch 3600/3600, test error of best model 14.540000 %
epoch 3, minibatch 3600/3600, validation error 12.520000 %
     epoch 3, minibatch 3600/3600, test error of best model 11.660000 %
epoch 4, minibatch 3600/3600, validation error 10.865000 %
     epoch 4, minibatch 3600/3600, test error of best model 10.230000 %
epoch 5, minibatch 3600/3600, validation error 9.698333 %
     epoch 5, minibatch 3600/3600, test error of best model 9.360000 %
epoch 6, minibatch 3600/3600, validation error 8.926667 %
     epoch 6, minibatch 3600/3600, test error of best model 8.440000 %
epoch 7, minibatch 3600/3600, validation error 8.058333 %
     epoch 7, minibatch 3600/3600, test error of best model 7.590000 %
epoch 8, minibatch 3600/3600, validation error 7.606667 %
     epoch 8, minibatch 3600/3600, test error of best model 7.100000 %
epoch 9, minibatch 3600/3600, validation error 6.995000 %
     epoch 9, minibatch 3600/3600, test error of best model 6.680000 %
epoch 10, minibatch 3600/3600, validation error 6.563333 %
     epoch 10, minibatch 3600/3600, test error of best model 6.170000 %
epoch 11, minibatch 3600/3600, validation error 6.178333 %
     epoch 11, minibatch 3600/3600, test error of best model 5.870000 %
epoch 12, minibatch 3600/3600, validation error 5.905000 %
     epoch 12, minibatch 3600/3600, test error of best model 5.660000 %
epoch 13, minibatch 3600/3600, validation error 5.575000 %
     epoch 13, minibatch 3600/3600, test error of best model 5.330000 %
epoch 14, minibatch 3600/3600, validation error 5.396667 %
     epoch 14, minibatch 3600/3600, test error of best model 5.150000 %
epoch 15, minibatch 3600/3600, validation error 5.268333 %
     epoch 15, minibatch 3600/3600, test error of best model 5.030000 %
epoch 16, minibatch 3600/3600, validation error 5.118333 %
     epoch 16, minibatch 3600/3600, test error of best model 4.920000 %
epoch 17, minibatch 3600/3600, validation error 5.018333 %
     epoch 17, minibatch 3600/3600, test error of best model 4.710000 %
epoch 18, minibatch 3600/3600, validation error 4.958333 %
     epoch 18, minibatch 3600/3600, test error of best model 4.650000 %
epoch 19, minibatch 3600/3600, validation error 4.788333 %
     epoch 19, minibatch 3600/3600, test error of best model 4.540000 %
epoch 20, minibatch 3600/3600, validation error 4.738333 %
     epoch 20, minibatch 3600/3600, test error of best model 4.580000 %
epoch 21, minibatch 3600/3600, validation error 4.640000 %
     epoch 21, minibatch 3600/3600, test error of best model 4.540000 %
epoch 22, minibatch 3600/3600, validation error 4.415000 %
     epoch 22, minibatch 3600/3600, test error of best model 4.290000 %
epoch 23, minibatch 3600/3600, validation error 4.233333 %
     epoch 23, minibatch 3600/3600, test error of best model 3.970000 %
epoch 24, minibatch 3600/3600, validation error 4.268333 %
epoch 25, minibatch 3600/3600, validation error 4.061667 %
     epoch 25, minibatch 3600/3600, test error of best model 3.810000 %
epoch 26, minibatch 3600/3600, validation error 4.023333 %
     epoch 26, minibatch 3600/3600, test error of best model 3.760000 %
epoch 27, minibatch 3600/3600, validation error 3.795000 %
     epoch 27, minibatch 3600/3600, test error of best model 3.580000 %
epoch 28, minibatch 3600/3600, validation error 3.795000 %
epoch 29, minibatch 3600/3600, validation error 3.800000 %
epoch 30, minibatch 3600/3600, validation error 3.655000 %
     epoch 30, minibatch 3600/3600, test error of best model 3.470000 %
epoch 31, minibatch 3600/3600, validation error 3.580000 %
     epoch 31, minibatch 3600/3600, test error of best model 3.410000 %
epoch 32, minibatch 3600/3600, validation error 3.441667 %
     epoch 32, minibatch 3600/3600, test error of best model 3.400000 %
epoch 33, minibatch 3600/3600, validation error 3.403333 %
     epoch 33, minibatch 3600/3600, test error of best model 3.370000 %
epoch 34, minibatch 3600/3600, validation error 3.301667 %
     epoch 34, minibatch 3600/3600, test error of best model 3.330000 %
epoch 35, minibatch 3600/3600, validation error 3.191667 %
     epoch 35, minibatch 3600/3600, test error of best model 3.130000 %
epoch 36, minibatch 3600/3600, validation error 3.133333 %
     epoch 36, minibatch 3600/3600, test error of best model 3.210000 %
epoch 37, minibatch 3600/3600, validation error 3.073333 %
     epoch 37, minibatch 3600/3600, test error of best model 3.170000 %
epoch 38, minibatch 3600/3600, validation error 3.018333 %
     epoch 38, minibatch 3600/3600, test error of best model 3.080000 %
epoch 39, minibatch 3600/3600, validation error 3.030000 %
epoch 40, minibatch 3600/3600, validation error 2.978333 %
     epoch 40, minibatch 3600/3600, test error of best model 3.070000 %
epoch 41, minibatch 3600/3600, validation error 2.873333 %
     epoch 41, minibatch 3600/3600, test error of best model 2.890000 %
epoch 42, minibatch 3600/3600, validation error 2.836667 %
     epoch 42, minibatch 3600/3600, test error of best model 2.800000 %
epoch 43, minibatch 3600/3600, validation error 2.850000 %
epoch 44, minibatch 3600/3600, validation error 2.816667 %
     epoch 44, minibatch 3600/3600, test error of best model 2.970000 %
epoch 45, minibatch 3600/3600, validation error 2.856667 %
epoch 46, minibatch 3600/3600, validation error 2.795000 %
     epoch 46, minibatch 3600/3600, test error of best model 2.780000 %
epoch 47, minibatch 3600/3600, validation error 2.756667 %
     epoch 47, minibatch 3600/3600, test error of best model 2.820000 %
epoch 48, minibatch 3600/3600, validation error 2.738333 %
     epoch 48, minibatch 3600/3600, test error of best model 2.920000 %
epoch 49, minibatch 3600/3600, validation error 2.713333 %
     epoch 49, minibatch 3600/3600, test error of best model 2.760000 %
epoch 50, minibatch 3600/3600, validation error 2.781667 %
epoch 51, minibatch 3600/3600, validation error 2.745000 %
epoch 52, minibatch 3600/3600, validation error 2.630000 %
     epoch 52, minibatch 3600/3600, test error of best model 2.710000 %
epoch 53, minibatch 3600/3600, validation error 2.613333 %
     epoch 53, minibatch 3600/3600, test error of best model 2.690000 %
epoch 54, minibatch 3600/3600, validation error 2.626667 %
epoch 55, minibatch 3600/3600, validation error 2.626667 %
epoch 56, minibatch 3600/3600, validation error 2.521667 %
     epoch 56, minibatch 3600/3600, test error of best model 2.570000 %
epoch 57, minibatch 3600/3600, validation error 2.465000 %
     epoch 57, minibatch 3600/3600, test error of best model 2.500000 %
epoch 58, minibatch 3600/3600, validation error 2.420000 %
     epoch 58, minibatch 3600/3600, test error of best model 2.410000 %
epoch 59, minibatch 3600/3600, validation error 2.410000 %
     epoch 59, minibatch 3600/3600, test error of best model 2.400000 %
epoch 60, minibatch 3600/3600, validation error 2.365000 %
     epoch 60, minibatch 3600/3600, test error of best model 2.540000 %
epoch 61, minibatch 3600/3600, validation error 2.323333 %
     epoch 61, minibatch 3600/3600, test error of best model 2.440000 %
epoch 62, minibatch 3600/3600, validation error 2.335000 %
epoch 63, minibatch 3600/3600, validation error 2.318333 %
     epoch 63, minibatch 3600/3600, test error of best model 2.330000 %
epoch 64, minibatch 3600/3600, validation error 2.355000 %
epoch 65, minibatch 3600/3600, validation error 2.440000 %
epoch 66, minibatch 3600/3600, validation error 2.490000 %
epoch 67, minibatch 3600/3600, validation error 2.385000 %
epoch 68, minibatch 3600/3600, validation error 2.400000 %
epoch 69, minibatch 3600/3600, validation error 2.351667 %
epoch 70, minibatch 3600/3600, validation error 2.320000 %
epoch 71, minibatch 3600/3600, validation error 2.315000 %
     epoch 71, minibatch 3600/3600, test error of best model 2.300000 %
epoch 72, minibatch 3600/3600, validation error 2.215000 %
     epoch 72, minibatch 3600/3600, test error of best model 2.280000 %
epoch 73, minibatch 3600/3600, validation error 2.323333 %
epoch 74, minibatch 3600/3600, validation error 2.315000 %
epoch 75, minibatch 3600/3600, validation error 2.245000 %
epoch 76, minibatch 3600/3600, validation error 2.270000 %
epoch 77, minibatch 3600/3600, validation error 2.340000 %
epoch 78, minibatch 3600/3600, validation error 2.298333 %
epoch 79, minibatch 3600/3600, validation error 2.306667 %
epoch 80, minibatch 3600/3600, validation error 2.268333 %
epoch 81, minibatch 3600/3600, validation error 2.306667 %
epoch 82, minibatch 3600/3600, validation error 2.368333 %
epoch 83, minibatch 3600/3600, validation error 2.363333 %
epoch 84, minibatch 3600/3600, validation error 2.431667 %
epoch 85, minibatch 3600/3600, validation error 2.361667 %
epoch 86, minibatch 3600/3600, validation error 2.408333 %
epoch 87, minibatch 3600/3600, validation error 2.670000 %
epoch 88, minibatch 3600/3600, validation error 2.535000 %
epoch 89, minibatch 3600/3600, validation error 2.463333 %
epoch 90, minibatch 3600/3600, validation error 2.503333 %
epoch 91, minibatch 3600/3600, validation error 2.441667 %
epoch 92, minibatch 3600/3600, validation error 2.426667 %
epoch 93, minibatch 3600/3600, validation error 2.328333 %
epoch 94, minibatch 3600/3600, validation error 2.346667 %
epoch 95, minibatch 3600/3600, validation error 2.368333 %
epoch 96, minibatch 3600/3600, validation error 2.166667 %
     epoch 96, minibatch 3600/3600, test error of best model 2.190000 %
epoch 97, minibatch 3600/3600, validation error 2.216667 %
epoch 98, minibatch 3600/3600, validation error 2.255000 %
epoch 99, minibatch 3600/3600, validation error 2.416667 %
epoch 100, minibatch 3600/3600, validation error 2.446667 %
epoch 101, minibatch 3600/3600, validation error 2.485000 %
epoch 102, minibatch 3600/3600, validation error 2.360000 %
epoch 103, minibatch 3600/3600, validation error 2.203333 %
epoch 104, minibatch 3600/3600, validation error 2.303333 %
epoch 105, minibatch 3600/3600, validation error 2.365000 %
epoch 106, minibatch 3600/3600, validation error 2.480000 %
epoch 107, minibatch 3600/3600, validation error 2.396667 %
epoch 108, minibatch 3600/3600, validation error 2.370000 %
epoch 109, minibatch 3600/3600, validation error 2.360000 %
epoch 110, minibatch 3600/3600, validation error 2.198333 %
epoch 111, minibatch 3600/3600, validation error 2.348333 %
epoch 112, minibatch 3600/3600, validation error 2.096667 %
     epoch 112, minibatch 3600/3600, test error of best model 2.190000 %
epoch 113, minibatch 3600/3600, validation error 2.190000 %
epoch 114, minibatch 3600/3600, validation error 2.195000 %
epoch 115, minibatch 3600/3600, validation error 2.175000 %
epoch 116, minibatch 3600/3600, validation error 2.051667 %
     epoch 116, minibatch 3600/3600, test error of best model 2.250000 %
epoch 117, minibatch 3600/3600, validation error 2.031667 %
     epoch 117, minibatch 3600/3600, test error of best model 2.180000 %
epoch 118, minibatch 3600/3600, validation error 2.171667 %
epoch 119, minibatch 3600/3600, validation error 2.190000 %
epoch 120, minibatch 3600/3600, validation error 2.110000 %
epoch 121, minibatch 3600/3600, validation error 2.065000 %
epoch 122, minibatch 3600/3600, validation error 2.043333 %
epoch 123, minibatch 3600/3600, validation error 2.125000 %
epoch 124, minibatch 3600/3600, validation error 2.045000 %
epoch 125, minibatch 3600/3600, validation error 2.200000 %
epoch 126, minibatch 3600/3600, validation error 2.103333 %
epoch 127, minibatch 3600/3600, validation error 1.973333 %
     epoch 127, minibatch 3600/3600, test error of best model 2.050000 %
epoch 128, minibatch 3600/3600, validation error 2.008333 %
epoch 129, minibatch 3600/3600, validation error 1.920000 %
     epoch 129, minibatch 3600/3600, test error of best model 2.030000 %
epoch 130, minibatch 3600/3600, validation error 1.956667 %
epoch 131, minibatch 3600/3600, validation error 1.988333 %
epoch 132, minibatch 3600/3600, validation error 1.946667 %
epoch 133, minibatch 3600/3600, validation error 1.881667 %
     epoch 133, minibatch 3600/3600, test error of best model 2.060000 %
epoch 134, minibatch 3600/3600, validation error 1.831667 %
     epoch 134, minibatch 3600/3600, test error of best model 1.930000 %
epoch 135, minibatch 3600/3600, validation error 1.810000 %
     epoch 135, minibatch 3600/3600, test error of best model 1.850000 %
epoch 136, minibatch 3600/3600, validation error 1.918333 %
epoch 137, minibatch 3600/3600, validation error 1.918333 %
epoch 138, minibatch 3600/3600, validation error 1.853333 %
epoch 139, minibatch 3600/3600, validation error 1.970000 %
epoch 140, minibatch 3600/3600, validation error 1.911667 %
epoch 141, minibatch 3600/3600, validation error 1.933333 %
epoch 142, minibatch 3600/3600, validation error 1.933333 %
epoch 143, minibatch 3600/3600, validation error 1.810000 %
epoch 144, minibatch 3600/3600, validation error 1.861667 %
epoch 145, minibatch 3600/3600, validation error 1.883333 %
