... loading data
... building the model
<class 'theano.compile.function_module.Function'>
... training
epoch 1, minibatch 250/250, validation error 89.360000 %
     epoch 1, minibatch 250/250, test error of best model 88.650000 %
epoch 2, minibatch 250/250, validation error 89.360000 %
epoch 3, minibatch 250/250, validation error 89.360000 %
epoch 4, minibatch 250/250, validation error 89.360000 %
epoch 5, minibatch 250/250, validation error 89.360000 %
epoch 6, minibatch 250/250, validation error 89.350000 %
     epoch 6, minibatch 250/250, test error of best model 88.590000 %
epoch 7, minibatch 250/250, validation error 86.850000 %
     epoch 7, minibatch 250/250, test error of best model 85.760000 %
epoch 8, minibatch 250/250, validation error 80.110000 %
     epoch 8, minibatch 250/250, test error of best model 79.510000 %
epoch 9, minibatch 250/250, validation error 73.900000 %
     epoch 9, minibatch 250/250, test error of best model 73.080000 %
epoch 10, minibatch 250/250, validation error 69.990000 %
     epoch 10, minibatch 250/250, test error of best model 69.910000 %
epoch 11, minibatch 250/250, validation error 69.110000 %
     epoch 11, minibatch 250/250, test error of best model 69.300000 %
epoch 12, minibatch 250/250, validation error 67.630000 %
     epoch 12, minibatch 250/250, test error of best model 67.850000 %
epoch 13, minibatch 250/250, validation error 61.610000 %
     epoch 13, minibatch 250/250, test error of best model 61.880000 %
epoch 14, minibatch 250/250, validation error 52.370000 %
     epoch 14, minibatch 250/250, test error of best model 52.900000 %
epoch 15, minibatch 250/250, validation error 44.480000 %
     epoch 15, minibatch 250/250, test error of best model 44.020000 %
epoch 16, minibatch 250/250, validation error 38.260000 %
     epoch 16, minibatch 250/250, test error of best model 38.430000 %
epoch 17, minibatch 250/250, validation error 31.550000 %
     epoch 17, minibatch 250/250, test error of best model 32.710000 %
epoch 18, minibatch 250/250, validation error 25.930000 %
     epoch 18, minibatch 250/250, test error of best model 27.730000 %
epoch 19, minibatch 250/250, validation error 22.780000 %
     epoch 19, minibatch 250/250, test error of best model 24.290000 %
epoch 20, minibatch 250/250, validation error 21.220000 %
     epoch 20, minibatch 250/250, test error of best model 22.210000 %
epoch 21, minibatch 250/250, validation error 19.870000 %
     epoch 21, minibatch 250/250, test error of best model 20.800000 %
epoch 22, minibatch 250/250, validation error 18.850000 %
     epoch 22, minibatch 250/250, test error of best model 19.850000 %
epoch 23, minibatch 250/250, validation error 18.090000 %
     epoch 23, minibatch 250/250, test error of best model 18.920000 %
epoch 24, minibatch 250/250, validation error 17.280000 %
     epoch 24, minibatch 250/250, test error of best model 18.180000 %
epoch 25, minibatch 250/250, validation error 16.840000 %
     epoch 25, minibatch 250/250, test error of best model 17.480000 %
epoch 26, minibatch 250/250, validation error 16.340000 %
     epoch 26, minibatch 250/250, test error of best model 16.970000 %
epoch 27, minibatch 250/250, validation error 15.740000 %
     epoch 27, minibatch 250/250, test error of best model 16.540000 %
epoch 28, minibatch 250/250, validation error 15.370000 %
     epoch 28, minibatch 250/250, test error of best model 16.180000 %
epoch 29, minibatch 250/250, validation error 14.870000 %
     epoch 29, minibatch 250/250, test error of best model 15.710000 %
epoch 30, minibatch 250/250, validation error 14.530000 %
     epoch 30, minibatch 250/250, test error of best model 15.390000 %
epoch 31, minibatch 250/250, validation error 14.220000 %
     epoch 31, minibatch 250/250, test error of best model 15.130000 %
epoch 32, minibatch 250/250, validation error 13.880000 %
     epoch 32, minibatch 250/250, test error of best model 14.800000 %
epoch 33, minibatch 250/250, validation error 13.610000 %
     epoch 33, minibatch 250/250, test error of best model 14.450000 %
epoch 34, minibatch 250/250, validation error 13.310000 %
     epoch 34, minibatch 250/250, test error of best model 14.190000 %
epoch 35, minibatch 250/250, validation error 12.960000 %
     epoch 35, minibatch 250/250, test error of best model 13.940000 %
epoch 36, minibatch 250/250, validation error 12.680000 %
     epoch 36, minibatch 250/250, test error of best model 13.570000 %
epoch 37, minibatch 250/250, validation error 12.450000 %
     epoch 37, minibatch 250/250, test error of best model 13.210000 %
epoch 38, minibatch 250/250, validation error 12.160000 %
     epoch 38, minibatch 250/250, test error of best model 12.990000 %
epoch 39, minibatch 250/250, validation error 11.850000 %
     epoch 39, minibatch 250/250, test error of best model 12.700000 %
epoch 40, minibatch 250/250, validation error 11.810000 %
     epoch 40, minibatch 250/250, test error of best model 12.420000 %
epoch 41, minibatch 250/250, validation error 11.640000 %
     epoch 41, minibatch 250/250, test error of best model 12.240000 %
epoch 42, minibatch 250/250, validation error 11.400000 %
     epoch 42, minibatch 250/250, test error of best model 12.010000 %
epoch 43, minibatch 250/250, validation error 11.290000 %
     epoch 43, minibatch 250/250, test error of best model 11.790000 %
epoch 44, minibatch 250/250, validation error 11.110000 %
     epoch 44, minibatch 250/250, test error of best model 11.750000 %
epoch 45, minibatch 250/250, validation error 11.020000 %
     epoch 45, minibatch 250/250, test error of best model 11.560000 %
epoch 46, minibatch 250/250, validation error 10.920000 %
     epoch 46, minibatch 250/250, test error of best model 11.470000 %
epoch 47, minibatch 250/250, validation error 10.830000 %
     epoch 47, minibatch 250/250, test error of best model 11.420000 %
epoch 48, minibatch 250/250, validation error 10.670000 %
     epoch 48, minibatch 250/250, test error of best model 11.360000 %
epoch 49, minibatch 250/250, validation error 10.510000 %
     epoch 49, minibatch 250/250, test error of best model 11.260000 %
epoch 50, minibatch 250/250, validation error 10.430000 %
     epoch 50, minibatch 250/250, test error of best model 11.150000 %
epoch 51, minibatch 250/250, validation error 10.300000 %
     epoch 51, minibatch 250/250, test error of best model 11.050000 %
epoch 52, minibatch 250/250, validation error 10.200000 %
     epoch 52, minibatch 250/250, test error of best model 10.940000 %
epoch 53, minibatch 250/250, validation error 10.150000 %
     epoch 53, minibatch 250/250, test error of best model 10.850000 %
epoch 54, minibatch 250/250, validation error 10.050000 %
     epoch 54, minibatch 250/250, test error of best model 10.760000 %
epoch 55, minibatch 250/250, validation error 9.980000 %
     epoch 55, minibatch 250/250, test error of best model 10.670000 %
epoch 56, minibatch 250/250, validation error 9.940000 %
     epoch 56, minibatch 250/250, test error of best model 10.620000 %
epoch 57, minibatch 250/250, validation error 9.840000 %
     epoch 57, minibatch 250/250, test error of best model 10.560000 %
epoch 58, minibatch 250/250, validation error 9.800000 %
     epoch 58, minibatch 250/250, test error of best model 10.420000 %
epoch 59, minibatch 250/250, validation error 9.760000 %
     epoch 59, minibatch 250/250, test error of best model 10.340000 %
epoch 60, minibatch 250/250, validation error 9.690000 %
     epoch 60, minibatch 250/250, test error of best model 10.230000 %
epoch 61, minibatch 250/250, validation error 9.630000 %
     epoch 61, minibatch 250/250, test error of best model 10.210000 %
epoch 62, minibatch 250/250, validation error 9.570000 %
     epoch 62, minibatch 250/250, test error of best model 10.180000 %
epoch 63, minibatch 250/250, validation error 9.510000 %
     epoch 63, minibatch 250/250, test error of best model 10.090000 %
epoch 64, minibatch 250/250, validation error 9.480000 %
     epoch 64, minibatch 250/250, test error of best model 10.030000 %
epoch 65, minibatch 250/250, validation error 9.440000 %
     epoch 65, minibatch 250/250, test error of best model 9.920000 %
epoch 66, minibatch 250/250, validation error 9.410000 %
     epoch 66, minibatch 250/250, test error of best model 9.870000 %
epoch 67, minibatch 250/250, validation error 9.350000 %
     epoch 67, minibatch 250/250, test error of best model 9.780000 %
epoch 68, minibatch 250/250, validation error 9.310000 %
     epoch 68, minibatch 250/250, test error of best model 9.760000 %
epoch 69, minibatch 250/250, validation error 9.250000 %
     epoch 69, minibatch 250/250, test error of best model 9.670000 %
epoch 70, minibatch 250/250, validation error 9.170000 %
     epoch 70, minibatch 250/250, test error of best model 9.680000 %
epoch 71, minibatch 250/250, validation error 9.080000 %
     epoch 71, minibatch 250/250, test error of best model 9.620000 %
epoch 72, minibatch 250/250, validation error 9.050000 %
     epoch 72, minibatch 250/250, test error of best model 9.560000 %
epoch 73, minibatch 250/250, validation error 9.030000 %
     epoch 73, minibatch 250/250, test error of best model 9.510000 %
epoch 74, minibatch 250/250, validation error 9.020000 %
     epoch 74, minibatch 250/250, test error of best model 9.440000 %
epoch 75, minibatch 250/250, validation error 9.020000 %
epoch 76, minibatch 250/250, validation error 8.990000 %
     epoch 76, minibatch 250/250, test error of best model 9.370000 %
epoch 77, minibatch 250/250, validation error 8.910000 %
     epoch 77, minibatch 250/250, test error of best model 9.310000 %
epoch 78, minibatch 250/250, validation error 8.920000 %
epoch 79, minibatch 250/250, validation error 8.920000 %
epoch 80, minibatch 250/250, validation error 8.900000 %
     epoch 80, minibatch 250/250, test error of best model 9.130000 %
epoch 81, minibatch 250/250, validation error 8.900000 %
epoch 82, minibatch 250/250, validation error 8.860000 %
     epoch 82, minibatch 250/250, test error of best model 9.120000 %
epoch 83, minibatch 250/250, validation error 8.800000 %
     epoch 83, minibatch 250/250, test error of best model 9.080000 %
epoch 84, minibatch 250/250, validation error 8.770000 %
     epoch 84, minibatch 250/250, test error of best model 9.080000 %
epoch 85, minibatch 250/250, validation error 8.780000 %
epoch 86, minibatch 250/250, validation error 8.760000 %
     epoch 86, minibatch 250/250, test error of best model 9.090000 %
epoch 87, minibatch 250/250, validation error 8.770000 %
epoch 88, minibatch 250/250, validation error 8.740000 %
     epoch 88, minibatch 250/250, test error of best model 9.130000 %
epoch 89, minibatch 250/250, validation error 8.730000 %
     epoch 89, minibatch 250/250, test error of best model 9.130000 %
epoch 90, minibatch 250/250, validation error 8.770000 %
epoch 91, minibatch 250/250, validation error 8.750000 %
epoch 92, minibatch 250/250, validation error 8.750000 %
epoch 93, minibatch 250/250, validation error 8.720000 %
     epoch 93, minibatch 250/250, test error of best model 9.020000 %
epoch 94, minibatch 250/250, validation error 8.670000 %
     epoch 94, minibatch 250/250, test error of best model 8.990000 %
epoch 95, minibatch 250/250, validation error 8.680000 %
epoch 96, minibatch 250/250, validation error 8.690000 %
epoch 97, minibatch 250/250, validation error 8.660000 %
     epoch 97, minibatch 250/250, test error of best model 8.930000 %
epoch 98, minibatch 250/250, validation error 8.650000 %
     epoch 98, minibatch 250/250, test error of best model 8.910000 %
epoch 99, minibatch 250/250, validation error 8.620000 %
