... building the model
... training
epoch 1, minibatch 3600/3600, validation error 22.218333 %
     epoch 1, minibatch 3600/3600, test error of best model 21.470000 %
epoch 2, minibatch 3600/3600, validation error 20.508333 %
     epoch 2, minibatch 3600/3600, test error of best model 19.670000 %
epoch 3, minibatch 3600/3600, validation error 19.608333 %
     epoch 3, minibatch 3600/3600, test error of best model 18.830000 %
epoch 4, minibatch 3600/3600, validation error 19.048333 %
     epoch 4, minibatch 3600/3600, test error of best model 18.190000 %
epoch 5, minibatch 3600/3600, validation error 18.568333 %
     epoch 5, minibatch 3600/3600, test error of best model 17.740000 %
epoch 6, minibatch 3600/3600, validation error 18.155000 %
     epoch 6, minibatch 3600/3600, test error of best model 17.350000 %
epoch 7, minibatch 3600/3600, validation error 17.773333 %
     epoch 7, minibatch 3600/3600, test error of best model 16.950000 %
epoch 8, minibatch 3600/3600, validation error 17.411667 %
     epoch 8, minibatch 3600/3600, test error of best model 16.700000 %
epoch 9, minibatch 3600/3600, validation error 16.976667 %
     epoch 9, minibatch 3600/3600, test error of best model 16.290000 %
epoch 10, minibatch 3600/3600, validation error 16.728333 %
     epoch 10, minibatch 3600/3600, test error of best model 16.040000 %
epoch 11, minibatch 3600/3600, validation error 16.408333 %
     epoch 11, minibatch 3600/3600, test error of best model 15.740000 %
epoch 12, minibatch 3600/3600, validation error 16.140000 %
     epoch 12, minibatch 3600/3600, test error of best model 15.390000 %
epoch 13, minibatch 3600/3600, validation error 15.873333 %
     epoch 13, minibatch 3600/3600, test error of best model 15.150000 %
epoch 14, minibatch 3600/3600, validation error 15.651667 %
     epoch 14, minibatch 3600/3600, test error of best model 14.880000 %
epoch 15, minibatch 3600/3600, validation error 15.411667 %
     epoch 15, minibatch 3600/3600, test error of best model 14.640000 %
epoch 16, minibatch 3600/3600, validation error 15.151667 %
     epoch 16, minibatch 3600/3600, test error of best model 14.440000 %
epoch 17, minibatch 3600/3600, validation error 14.931667 %
     epoch 17, minibatch 3600/3600, test error of best model 14.320000 %
epoch 18, minibatch 3600/3600, validation error 14.716667 %
     epoch 18, minibatch 3600/3600, test error of best model 14.130000 %
epoch 19, minibatch 3600/3600, validation error 14.488333 %
     epoch 19, minibatch 3600/3600, test error of best model 13.970000 %
epoch 20, minibatch 3600/3600, validation error 14.311667 %
     epoch 20, minibatch 3600/3600, test error of best model 13.760000 %
epoch 21, minibatch 3600/3600, validation error 14.168333 %
     epoch 21, minibatch 3600/3600, test error of best model 13.580000 %
epoch 22, minibatch 3600/3600, validation error 14.020000 %
     epoch 22, minibatch 3600/3600, test error of best model 13.410000 %
epoch 23, minibatch 3600/3600, validation error 13.886667 %
     epoch 23, minibatch 3600/3600, test error of best model 13.270000 %
epoch 24, minibatch 3600/3600, validation error 13.731667 %
     epoch 24, minibatch 3600/3600, test error of best model 13.100000 %
epoch 25, minibatch 3600/3600, validation error 13.543333 %
     epoch 25, minibatch 3600/3600, test error of best model 12.980000 %
epoch 26, minibatch 3600/3600, validation error 13.418333 %
     epoch 26, minibatch 3600/3600, test error of best model 12.840000 %
epoch 27, minibatch 3600/3600, validation error 13.306667 %
     epoch 27, minibatch 3600/3600, test error of best model 12.740000 %
epoch 28, minibatch 3600/3600, validation error 13.225000 %
     epoch 28, minibatch 3600/3600, test error of best model 12.660000 %
epoch 29, minibatch 3600/3600, validation error 13.095000 %
     epoch 29, minibatch 3600/3600, test error of best model 12.580000 %
epoch 30, minibatch 3600/3600, validation error 12.995000 %
     epoch 30, minibatch 3600/3600, test error of best model 12.470000 %
epoch 31, minibatch 3600/3600, validation error 12.871667 %
     epoch 31, minibatch 3600/3600, test error of best model 12.330000 %
epoch 32, minibatch 3600/3600, validation error 12.751667 %
     epoch 32, minibatch 3600/3600, test error of best model 12.150000 %
epoch 33, minibatch 3600/3600, validation error 12.626667 %
     epoch 33, minibatch 3600/3600, test error of best model 12.050000 %
epoch 34, minibatch 3600/3600, validation error 12.558333 %
     epoch 34, minibatch 3600/3600, test error of best model 11.940000 %
epoch 35, minibatch 3600/3600, validation error 12.473333 %
     epoch 35, minibatch 3600/3600, test error of best model 11.920000 %
epoch 36, minibatch 3600/3600, validation error 12.326667 %
     epoch 36, minibatch 3600/3600, test error of best model 11.800000 %
epoch 37, minibatch 3600/3600, validation error 12.210000 %
     epoch 37, minibatch 3600/3600, test error of best model 11.740000 %
epoch 38, minibatch 3600/3600, validation error 12.086667 %
     epoch 38, minibatch 3600/3600, test error of best model 11.670000 %
epoch 39, minibatch 3600/3600, validation error 12.003333 %
     epoch 39, minibatch 3600/3600, test error of best model 11.570000 %
epoch 40, minibatch 3600/3600, validation error 11.893333 %
     epoch 40, minibatch 3600/3600, test error of best model 11.480000 %
epoch 41, minibatch 3600/3600, validation error 11.793333 %
     epoch 41, minibatch 3600/3600, test error of best model 11.320000 %
epoch 42, minibatch 3600/3600, validation error 11.710000 %
     epoch 42, minibatch 3600/3600, test error of best model 11.210000 %
epoch 43, minibatch 3600/3600, validation error 11.608333 %
     epoch 43, minibatch 3600/3600, test error of best model 11.080000 %
epoch 44, minibatch 3600/3600, validation error 11.535000 %
