... building the model
... training
epoch 1, minibatch 3600/3600, validation error 36.910000 %
     epoch 1, minibatch 3600/3600, test error of best model 36.660000 %
epoch 2, minibatch 3600/3600, validation error 39.100000 %
epoch 3, minibatch 3600/3600, validation error 35.380000 %
     epoch 3, minibatch 3600/3600, test error of best model 34.070000 %
epoch 4, minibatch 3600/3600, validation error 35.365000 %
     epoch 4, minibatch 3600/3600, test error of best model 34.690000 %
epoch 5, minibatch 3600/3600, validation error 37.771667 %
epoch 6, minibatch 3600/3600, validation error 37.338333 %
epoch 7, minibatch 3600/3600, validation error 35.665000 %
epoch 8, minibatch 3600/3600, validation error 38.948333 %
epoch 9, minibatch 3600/3600, validation error 38.803333 %
epoch 10, minibatch 3600/3600, validation error 38.315000 %
epoch 11, minibatch 3600/3600, validation error 36.191667 %
epoch 12, minibatch 3600/3600, validation error 37.488333 %
epoch 13, minibatch 3600/3600, validation error 36.765000 %
epoch 14, minibatch 3600/3600, validation error 37.038333 %
epoch 15, minibatch 3600/3600, validation error 37.668333 %
epoch 16, minibatch 3600/3600, validation error 35.878333 %
epoch 17, minibatch 3600/3600, validation error 37.341667 %
epoch 18, minibatch 3600/3600, validation error 39.245000 %
epoch 19, minibatch 3600/3600, validation error 39.791667 %
epoch 20, minibatch 3600/3600, validation error 41.368333 %
epoch 21, minibatch 3600/3600, validation error 40.945000 %
epoch 22, minibatch 3600/3600, validation error 38.915000 %
epoch 23, minibatch 3600/3600, validation error 38.220000 %
epoch 24, minibatch 3600/3600, validation error 38.540000 %
epoch 25, minibatch 3600/3600, validation error 37.428333 %
epoch 26, minibatch 3600/3600, validation error 37.613333 %
epoch 27, minibatch 3600/3600, validation error 36.876667 %
epoch 28, minibatch 3600/3600, validation error 38.588333 %
epoch 29, minibatch 3600/3600, validation error 36.466667 %
epoch 30, minibatch 3600/3600, validation error 37.773333 %
epoch 31, minibatch 3600/3600, validation error 40.068333 %
epoch 32, minibatch 3600/3600, validation error 39.035000 %
epoch 33, minibatch 3600/3600, validation error 37.350000 %
epoch 34, minibatch 3600/3600, validation error 38.315000 %
epoch 35, minibatch 3600/3600, validation error 38.631667 %
epoch 36, minibatch 3600/3600, validation error 37.716667 %
epoch 37, minibatch 3600/3600, validation error 36.946667 %
epoch 38, minibatch 3600/3600, validation error 42.343333 %
epoch 39, minibatch 3600/3600, validation error 37.900000 %
epoch 40, minibatch 3600/3600, validation error 37.195000 %
epoch 41, minibatch 3600/3600, validation error 36.773333 %
epoch 42, minibatch 3600/3600, validation error 36.631667 %
epoch 43, minibatch 3600/3600, validation error 37.496667 %
epoch 44, minibatch 3600/3600, validation error 36.398333 %
epoch 45, minibatch 3600/3600, validation error 36.976667 %
epoch 46, minibatch 3600/3600, validation error 38.581667 %
epoch 47, minibatch 3600/3600, validation error 37.741667 %
epoch 48, minibatch 3600/3600, validation error 36.486667 %
epoch 49, minibatch 3600/3600, validation error 36.898333 %
epoch 50, minibatch 3600/3600, validation error 38.296667 %
epoch 51, minibatch 3600/3600, validation error 38.758333 %
epoch 52, minibatch 3600/3600, validation error 38.381667 %
epoch 53, minibatch 3600/3600, validation error 38.730000 %
epoch 54, minibatch 3600/3600, validation error 38.755000 %
epoch 55, minibatch 3600/3600, validation error 37.221667 %
epoch 56, minibatch 3600/3600, validation error 35.723333 %
epoch 57, minibatch 3600/3600, validation error 36.488333 %
epoch 58, minibatch 3600/3600, validation error 37.921667 %
epoch 59, minibatch 3600/3600, validation error 39.036667 %
epoch 60, minibatch 3600/3600, validation error 37.935000 %
epoch 61, minibatch 3600/3600, validation error 37.488333 %
epoch 62, minibatch 3600/3600, validation error 39.093333 %
epoch 63, minibatch 3600/3600, validation error 37.478333 %
epoch 64, minibatch 3600/3600, validation error 39.056667 %
epoch 65, minibatch 3600/3600, validation error 39.115000 %
epoch 66, minibatch 3600/3600, validation error 39.513333 %
epoch 67, minibatch 3600/3600, validation error 37.571667 %
epoch 68, minibatch 3600/3600, validation error 37.026667 %
epoch 69, minibatch 3600/3600, validation error 37.576667 %
epoch 70, minibatch 3600/3600, validation error 38.478333 %
epoch 71, minibatch 3600/3600, validation error 38.135000 %
epoch 72, minibatch 3600/3600, validation error 37.453333 %
epoch 73, minibatch 3600/3600, validation error 36.966667 %
epoch 74, minibatch 3600/3600, validation error 37.275000 %
epoch 75, minibatch 3600/3600, validation error 36.805000 %
epoch 76, minibatch 3600/3600, validation error 38.505000 %
epoch 77, minibatch 3600/3600, validation error 39.615000 %
epoch 78, minibatch 3600/3600, validation error 38.448333 %
epoch 79, minibatch 3600/3600, validation error 38.563333 %
finished patience
Optimization complete. Best validation score of 35.365000 % obtained at iteration 14400, with test performance 34.690000 %
