... building the model
... training
epoch 1, minibatch 3600/3600, validation error 28.751667 %
     epoch 1, minibatch 3600/3600, test error of best model 27.570000 %
epoch 2, minibatch 3600/3600, validation error 19.995000 %
     epoch 2, minibatch 3600/3600, test error of best model 18.820000 %
epoch 3, minibatch 3600/3600, validation error 18.663333 %
     epoch 3, minibatch 3600/3600, test error of best model 17.240000 %
epoch 4, minibatch 3600/3600, validation error 18.101667 %
     epoch 4, minibatch 3600/3600, test error of best model 16.520000 %
epoch 5, minibatch 3600/3600, validation error 17.960000 %
     epoch 5, minibatch 3600/3600, test error of best model 16.410000 %
epoch 6, minibatch 3600/3600, validation error 17.836667 %
     epoch 6, minibatch 3600/3600, test error of best model 16.390000 %
epoch 7, minibatch 3600/3600, validation error 17.620000 %
     epoch 7, minibatch 3600/3600, test error of best model 16.210000 %
epoch 8, minibatch 3600/3600, validation error 17.268333 %
     epoch 8, minibatch 3600/3600, test error of best model 16.050000 %
epoch 9, minibatch 3600/3600, validation error 16.720000 %
     epoch 9, minibatch 3600/3600, test error of best model 15.560000 %
epoch 10, minibatch 3600/3600, validation error 15.943333 %
     epoch 10, minibatch 3600/3600, test error of best model 14.690000 %
epoch 11, minibatch 3600/3600, validation error 15.088333 %
     epoch 11, minibatch 3600/3600, test error of best model 13.790000 %
epoch 12, minibatch 3600/3600, validation error 14.116667 %
     epoch 12, minibatch 3600/3600, test error of best model 12.970000 %
epoch 13, minibatch 3600/3600, validation error 13.241667 %
     epoch 13, minibatch 3600/3600, test error of best model 11.920000 %
epoch 14, minibatch 3600/3600, validation error 12.323333 %
     epoch 14, minibatch 3600/3600, test error of best model 11.190000 %
epoch 15, minibatch 3600/3600, validation error 11.296667 %
     epoch 15, minibatch 3600/3600, test error of best model 10.570000 %
epoch 16, minibatch 3600/3600, validation error 10.415000 %
     epoch 16, minibatch 3600/3600, test error of best model 9.660000 %
epoch 17, minibatch 3600/3600, validation error 9.496667 %
     epoch 17, minibatch 3600/3600, test error of best model 8.850000 %
epoch 18, minibatch 3600/3600, validation error 8.711667 %
     epoch 18, minibatch 3600/3600, test error of best model 8.020000 %
epoch 19, minibatch 3600/3600, validation error 8.010000 %
     epoch 19, minibatch 3600/3600, test error of best model 7.110000 %
epoch 20, minibatch 3600/3600, validation error 7.345000 %
     epoch 20, minibatch 3600/3600, test error of best model 6.490000 %
epoch 21, minibatch 3600/3600, validation error 6.768333 %
     epoch 21, minibatch 3600/3600, test error of best model 6.090000 %
epoch 22, minibatch 3600/3600, validation error 6.273333 %
     epoch 22, minibatch 3600/3600, test error of best model 5.620000 %
epoch 23, minibatch 3600/3600, validation error 5.856667 %
     epoch 23, minibatch 3600/3600, test error of best model 5.310000 %
epoch 24, minibatch 3600/3600, validation error 5.493333 %
     epoch 24, minibatch 3600/3600, test error of best model 4.960000 %
epoch 25, minibatch 3600/3600, validation error 5.175000 %
     epoch 25, minibatch 3600/3600, test error of best model 4.820000 %
epoch 26, minibatch 3600/3600, validation error 4.885000 %
     epoch 26, minibatch 3600/3600, test error of best model 4.620000 %
epoch 27, minibatch 3600/3600, validation error 4.630000 %
     epoch 27, minibatch 3600/3600, test error of best model 4.290000 %
epoch 28, minibatch 3600/3600, validation error 4.456667 %
     epoch 28, minibatch 3600/3600, test error of best model 4.100000 %
epoch 29, minibatch 3600/3600, validation error 4.280000 %
     epoch 29, minibatch 3600/3600, test error of best model 3.930000 %
epoch 30, minibatch 3600/3600, validation error 4.105000 %
     epoch 30, minibatch 3600/3600, test error of best model 3.780000 %
epoch 31, minibatch 3600/3600, validation error 3.960000 %
     epoch 31, minibatch 3600/3600, test error of best model 3.660000 %
epoch 32, minibatch 3600/3600, validation error 3.803333 %
     epoch 32, minibatch 3600/3600, test error of best model 3.530000 %
epoch 33, minibatch 3600/3600, validation error 3.660000 %
     epoch 33, minibatch 3600/3600, test error of best model 3.440000 %
epoch 34, minibatch 3600/3600, validation error 3.560000 %
     epoch 34, minibatch 3600/3600, test error of best model 3.360000 %
epoch 35, minibatch 3600/3600, validation error 3.470000 %
     epoch 35, minibatch 3600/3600, test error of best model 3.210000 %
epoch 36, minibatch 3600/3600, validation error 3.376667 %
     epoch 36, minibatch 3600/3600, test error of best model 3.180000 %
epoch 37, minibatch 3600/3600, validation error 3.293333 %
     epoch 37, minibatch 3600/3600, test error of best model 3.090000 %
epoch 38, minibatch 3600/3600, validation error 3.208333 %
