... loading data
... building the model
... training
epoch 1, minibatch 250/250, validation error 10.790000 %
     epoch 1, minibatch 250/250, test error of best model 11.280000 %
epoch 2, minibatch 250/250, validation error 11.820000 %
epoch 3, minibatch 250/250, validation error 10.790000 %
     epoch 3, minibatch 250/250, test error of best model 11.230000 %
epoch 4, minibatch 250/250, validation error 10.870000 %
epoch 5, minibatch 250/250, validation error 11.170000 %
epoch 6, minibatch 250/250, validation error 10.860000 %
epoch 7, minibatch 250/250, validation error 10.480000 %
     epoch 7, minibatch 250/250, test error of best model 10.580000 %
epoch 8, minibatch 250/250, validation error 10.140000 %
     epoch 8, minibatch 250/250, test error of best model 10.330000 %
epoch 9, minibatch 250/250, validation error 10.300000 %
epoch 10, minibatch 250/250, validation error 9.790000 %
     epoch 10, minibatch 250/250, test error of best model 9.990000 %
epoch 11, minibatch 250/250, validation error 10.010000 %
epoch 12, minibatch 250/250, validation error 9.980000 %
epoch 13, minibatch 250/250, validation error 10.040000 %
epoch 14, minibatch 250/250, validation error 9.950000 %
epoch 15, minibatch 250/250, validation error 9.830000 %
epoch 16, minibatch 250/250, validation error 9.830000 %
epoch 17, minibatch 250/250, validation error 9.780000 %
     epoch 17, minibatch 250/250, test error of best model 9.890000 %
epoch 18, minibatch 250/250, validation error 10.110000 %
epoch 19, minibatch 250/250, validation error 9.700000 %
     epoch 19, minibatch 250/250, test error of best model 9.880000 %
epoch 20, minibatch 250/250, validation error 10.400000 %
epoch 21, minibatch 250/250, validation error 9.560000 %
     epoch 21, minibatch 250/250, test error of best model 9.930000 %
epoch 22, minibatch 250/250, validation error 9.830000 %
epoch 23, minibatch 250/250, validation error 9.700000 %
epoch 24, minibatch 250/250, validation error 9.600000 %
epoch 25, minibatch 250/250, validation error 10.470000 %
epoch 26, minibatch 250/250, validation error 9.650000 %
epoch 27, minibatch 250/250, validation error 9.930000 %
epoch 28, minibatch 250/250, validation error 9.630000 %
epoch 29, minibatch 250/250, validation error 9.880000 %
epoch 30, minibatch 250/250, validation error 9.460000 %
     epoch 30, minibatch 250/250, test error of best model 9.680000 %
epoch 31, minibatch 250/250, validation error 9.490000 %
epoch 32, minibatch 250/250, validation error 9.540000 %
epoch 33, minibatch 250/250, validation error 9.730000 %
epoch 34, minibatch 250/250, validation error 9.670000 %
epoch 35, minibatch 250/250, validation error 9.520000 %
epoch 36, minibatch 250/250, validation error 9.550000 %
epoch 37, minibatch 250/250, validation error 9.320000 %
     epoch 37, minibatch 250/250, test error of best model 9.450000 %
epoch 38, minibatch 250/250, validation error 9.480000 %
epoch 39, minibatch 250/250, validation error 8.970000 %
     epoch 39, minibatch 250/250, test error of best model 9.540000 %
epoch 40, minibatch 250/250, validation error 9.140000 %
epoch 41, minibatch 250/250, validation error 9.070000 %
epoch 42, minibatch 250/250, validation error 8.820000 %
     epoch 42, minibatch 250/250, test error of best model 9.250000 %
epoch 43, minibatch 250/250, validation error 8.930000 %
epoch 44, minibatch 250/250, validation error 8.970000 %
epoch 45, minibatch 250/250, validation error 8.680000 %
     epoch 45, minibatch 250/250, test error of best model 8.920000 %
epoch 46, minibatch 250/250, validation error 9.220000 %
epoch 47, minibatch 250/250, validation error 9.090000 %
epoch 48, minibatch 250/250, validation error 8.810000 %
epoch 49, minibatch 250/250, validation error 8.910000 %
epoch 50, minibatch 250/250, validation error 8.960000 %
epoch 51, minibatch 250/250, validation error 8.750000 %
epoch 52, minibatch 250/250, validation error 8.790000 %
epoch 53, minibatch 250/250, validation error 8.920000 %
epoch 54, minibatch 250/250, validation error 8.630000 %
     epoch 54, minibatch 250/250, test error of best model 9.250000 %
epoch 55, minibatch 250/250, validation error 8.780000 %
epoch 56, minibatch 250/250, validation error 8.790000 %
epoch 57, minibatch 250/250, validation error 9.740000 %
epoch 58, minibatch 250/250, validation error 8.960000 %
epoch 59, minibatch 250/250, validation error 9.060000 %
epoch 60, minibatch 250/250, validation error 9.140000 %
epoch 61, minibatch 250/250, validation error 9.140000 %
epoch 62, minibatch 250/250, validation error 9.380000 %
epoch 63, minibatch 250/250, validation error 9.370000 %
epoch 64, minibatch 250/250, validation error 9.240000 %
epoch 65, minibatch 250/250, validation error 9.220000 %
epoch 66, minibatch 250/250, validation error 9.240000 %
epoch 67, minibatch 250/250, validation error 9.100000 %
epoch 68, minibatch 250/250, validation error 9.380000 %
epoch 69, minibatch 250/250, validation error 9.050000 %
epoch 70, minibatch 250/250, validation error 8.980000 %
epoch 71, minibatch 250/250, validation error 9.030000 %
epoch 72, minibatch 250/250, validation error 9.030000 %
epoch 73, minibatch 250/250, validation error 8.990000 %
epoch 74, minibatch 250/250, validation error 9.090000 %
epoch 75, minibatch 250/250, validation error 9.130000 %
epoch 76, minibatch 250/250, validation error 9.250000 %
epoch 77, minibatch 250/250, validation error 9.510000 %
epoch 78, minibatch 250/250, validation error 9.350000 %
epoch 79, minibatch 250/250, validation error 9.310000 %
epoch 80, minibatch 250/250, validation error 9.220000 %
epoch 81, minibatch 250/250, validation error 9.240000 %
epoch 82, minibatch 250/250, validation error 9.280000 %
epoch 83, minibatch 250/250, validation error 9.240000 %
epoch 84, minibatch 250/250, validation error 9.280000 %
epoch 85, minibatch 250/250, validation error 9.410000 %
epoch 86, minibatch 250/250, validation error 9.200000 %
epoch 87, minibatch 250/250, validation error 9.140000 %
epoch 88, minibatch 250/250, validation error 8.990000 %
epoch 89, minibatch 250/250, validation error 9.250000 %
epoch 90, minibatch 250/250, validation error 9.130000 %
epoch 91, minibatch 250/250, validation error 9.410000 %
epoch 92, minibatch 250/250, validation error 9.160000 %
epoch 93, minibatch 250/250, validation error 9.360000 %
epoch 94, minibatch 250/250, validation error 9.210000 %
epoch 95, minibatch 250/250, validation error 9.480000 %
epoch 96, minibatch 250/250, validation error 9.300000 %
epoch 97, minibatch 250/250, validation error 9.190000 %
epoch 98, minibatch 250/250, validation error 9.270000 %
epoch 99, minibatch 250/250, validation error 9.330000 %
epoch 100, minibatch 250/250, validation error 9.220000 %
epoch 101, minibatch 250/250, validation error 9.110000 %
epoch 102, minibatch 250/250, validation error 9.250000 %
