... loading data
... building the model
... training
epoch 1, minibatch 250/250, validation error 8.320000 %
     epoch 1, minibatch 250/250, test error of best model 8.970000 %
epoch 2, minibatch 250/250, validation error 7.950000 %
     epoch 2, minibatch 250/250, test error of best model 8.390000 %
epoch 3, minibatch 250/250, validation error 7.580000 %
     epoch 3, minibatch 250/250, test error of best model 7.880000 %
epoch 4, minibatch 250/250, validation error 7.310000 %
     epoch 4, minibatch 250/250, test error of best model 7.630000 %
epoch 5, minibatch 250/250, validation error 7.030000 %
     epoch 5, minibatch 250/250, test error of best model 7.380000 %
epoch 6, minibatch 250/250, validation error 6.840000 %
     epoch 6, minibatch 250/250, test error of best model 7.210000 %
epoch 7, minibatch 250/250, validation error 6.680000 %
     epoch 7, minibatch 250/250, test error of best model 7.030000 %
epoch 8, minibatch 250/250, validation error 6.490000 %
     epoch 8, minibatch 250/250, test error of best model 6.910000 %
epoch 9, minibatch 250/250, validation error 6.400000 %
     epoch 9, minibatch 250/250, test error of best model 6.860000 %
epoch 10, minibatch 250/250, validation error 6.300000 %
     epoch 10, minibatch 250/250, test error of best model 6.770000 %
epoch 11, minibatch 250/250, validation error 6.220000 %
     epoch 11, minibatch 250/250, test error of best model 6.720000 %
epoch 12, minibatch 250/250, validation error 6.140000 %
     epoch 12, minibatch 250/250, test error of best model 6.600000 %
epoch 13, minibatch 250/250, validation error 6.040000 %
     epoch 13, minibatch 250/250, test error of best model 6.540000 %
epoch 14, minibatch 250/250, validation error 5.940000 %
     epoch 14, minibatch 250/250, test error of best model 6.430000 %
epoch 15, minibatch 250/250, validation error 5.850000 %
     epoch 15, minibatch 250/250, test error of best model 6.360000 %
epoch 16, minibatch 250/250, validation error 5.790000 %
     epoch 16, minibatch 250/250, test error of best model 6.260000 %
epoch 17, minibatch 250/250, validation error 5.600000 %
     epoch 17, minibatch 250/250, test error of best model 6.170000 %
epoch 18, minibatch 250/250, validation error 5.530000 %
     epoch 18, minibatch 250/250, test error of best model 6.050000 %
epoch 19, minibatch 250/250, validation error 5.460000 %
     epoch 19, minibatch 250/250, test error of best model 5.950000 %
epoch 20, minibatch 250/250, validation error 5.440000 %
     epoch 20, minibatch 250/250, test error of best model 5.870000 %
epoch 21, minibatch 250/250, validation error 5.350000 %
     epoch 21, minibatch 250/250, test error of best model 5.820000 %
epoch 22, minibatch 250/250, validation error 5.260000 %
     epoch 22, minibatch 250/250, test error of best model 5.710000 %
epoch 23, minibatch 250/250, validation error 5.210000 %
     epoch 23, minibatch 250/250, test error of best model 5.630000 %
epoch 24, minibatch 250/250, validation error 5.160000 %
     epoch 24, minibatch 250/250, test error of best model 5.550000 %
epoch 25, minibatch 250/250, validation error 5.110000 %
     epoch 25, minibatch 250/250, test error of best model 5.510000 %
epoch 26, minibatch 250/250, validation error 5.040000 %
     epoch 26, minibatch 250/250, test error of best model 5.470000 %
epoch 27, minibatch 250/250, validation error 4.990000 %
     epoch 27, minibatch 250/250, test error of best model 5.410000 %
epoch 28, minibatch 250/250, validation error 4.960000 %
     epoch 28, minibatch 250/250, test error of best model 5.380000 %
epoch 29, minibatch 250/250, validation error 4.910000 %
     epoch 29, minibatch 250/250, test error of best model 5.350000 %
epoch 30, minibatch 250/250, validation error 4.880000 %
     epoch 30, minibatch 250/250, test error of best model 5.310000 %
epoch 31, minibatch 250/250, validation error 4.840000 %
     epoch 31, minibatch 250/250, test error of best model 5.260000 %
epoch 32, minibatch 250/250, validation error 4.780000 %
     epoch 32, minibatch 250/250, test error of best model 5.200000 %
epoch 33, minibatch 250/250, validation error 4.740000 %
     epoch 33, minibatch 250/250, test error of best model 5.120000 %
epoch 34, minibatch 250/250, validation error 4.710000 %
     epoch 34, minibatch 250/250, test error of best model 5.050000 %
epoch 35, minibatch 250/250, validation error 4.680000 %
     epoch 35, minibatch 250/250, test error of best model 5.010000 %
epoch 36, minibatch 250/250, validation error 4.640000 %
     epoch 36, minibatch 250/250, test error of best model 4.950000 %
epoch 37, minibatch 250/250, validation error 4.610000 %
     epoch 37, minibatch 250/250, test error of best model 4.820000 %
epoch 38, minibatch 250/250, validation error 4.570000 %
     epoch 38, minibatch 250/250, test error of best model 4.800000 %
epoch 39, minibatch 250/250, validation error 4.520000 %
     epoch 39, minibatch 250/250, test error of best model 4.780000 %
epoch 40, minibatch 250/250, validation error 4.480000 %
     epoch 40, minibatch 250/250, test error of best model 4.750000 %
epoch 41, minibatch 250/250, validation error 4.460000 %
     epoch 41, minibatch 250/250, test error of best model 4.730000 %
epoch 42, minibatch 250/250, validation error 4.450000 %
     epoch 42, minibatch 250/250, test error of best model 4.700000 %
epoch 43, minibatch 250/250, validation error 4.450000 %
epoch 44, minibatch 250/250, validation error 4.400000 %
     epoch 44, minibatch 250/250, test error of best model 4.640000 %
epoch 45, minibatch 250/250, validation error 4.370000 %
     epoch 45, minibatch 250/250, test error of best model 4.640000 %
epoch 46, minibatch 250/250, validation error 4.340000 %
     epoch 46, minibatch 250/250, test error of best model 4.600000 %
epoch 47, minibatch 250/250, validation error 4.350000 %
epoch 48, minibatch 250/250, validation error 4.310000 %
     epoch 48, minibatch 250/250, test error of best model 4.550000 %
epoch 49, minibatch 250/250, validation error 4.270000 %
     epoch 49, minibatch 250/250, test error of best model 4.510000 %
epoch 50, minibatch 250/250, validation error 4.210000 %
     epoch 50, minibatch 250/250, test error of best model 4.460000 %
epoch 51, minibatch 250/250, validation error 4.190000 %
     epoch 51, minibatch 250/250, test error of best model 4.440000 %
epoch 52, minibatch 250/250, validation error 4.190000 %
epoch 53, minibatch 250/250, validation error 4.180000 %
     epoch 53, minibatch 250/250, test error of best model 4.370000 %
epoch 54, minibatch 250/250, validation error 4.150000 %
     epoch 54, minibatch 250/250, test error of best model 4.370000 %
epoch 55, minibatch 250/250, validation error 4.150000 %
epoch 56, minibatch 250/250, validation error 4.130000 %
     epoch 56, minibatch 250/250, test error of best model 4.300000 %
epoch 57, minibatch 250/250, validation error 4.130000 %
epoch 58, minibatch 250/250, validation error 4.110000 %
     epoch 58, minibatch 250/250, test error of best model 4.260000 %
epoch 59, minibatch 250/250, validation error 4.050000 %
     epoch 59, minibatch 250/250, test error of best model 4.230000 %
epoch 60, minibatch 250/250, validation error 4.020000 %
     epoch 60, minibatch 250/250, test error of best model 4.150000 %
epoch 61, minibatch 250/250, validation error 4.010000 %
     epoch 61, minibatch 250/250, test error of best model 4.140000 %
epoch 62, minibatch 250/250, validation error 3.950000 %
     epoch 62, minibatch 250/250, test error of best model 4.160000 %
epoch 63, minibatch 250/250, validation error 3.950000 %
epoch 64, minibatch 250/250, validation error 3.910000 %
     epoch 64, minibatch 250/250, test error of best model 4.100000 %
epoch 65, minibatch 250/250, validation error 3.890000 %
     epoch 65, minibatch 250/250, test error of best model 4.070000 %
epoch 66, minibatch 250/250, validation error 3.870000 %
     epoch 66, minibatch 250/250, test error of best model 4.050000 %
epoch 67, minibatch 250/250, validation error 3.820000 %
     epoch 67, minibatch 250/250, test error of best model 4.010000 %
epoch 68, minibatch 250/250, validation error 3.820000 %
epoch 69, minibatch 250/250, validation error 3.810000 %
     epoch 69, minibatch 250/250, test error of best model 3.950000 %
epoch 70, minibatch 250/250, validation error 3.820000 %
epoch 71, minibatch 250/250, validation error 3.780000 %
     epoch 71, minibatch 250/250, test error of best model 3.880000 %
epoch 72, minibatch 250/250, validation error 3.760000 %
     epoch 72, minibatch 250/250, test error of best model 3.830000 %
epoch 73, minibatch 250/250, validation error 3.750000 %
     epoch 73, minibatch 250/250, test error of best model 3.820000 %
epoch 74, minibatch 250/250, validation error 3.750000 %
epoch 75, minibatch 250/250, validation error 3.720000 %
     epoch 75, minibatch 250/250, test error of best model 3.790000 %
epoch 76, minibatch 250/250, validation error 3.740000 %
epoch 77, minibatch 250/250, validation error 3.720000 %
epoch 78, minibatch 250/250, validation error 3.690000 %
     epoch 78, minibatch 250/250, test error of best model 3.750000 %
epoch 79, minibatch 250/250, validation error 3.700000 %
epoch 80, minibatch 250/250, validation error 3.680000 %
     epoch 80, minibatch 250/250, test error of best model 3.700000 %
epoch 81, minibatch 250/250, validation error 3.690000 %
epoch 82, minibatch 250/250, validation error 3.660000 %
     epoch 82, minibatch 250/250, test error of best model 3.650000 %
epoch 83, minibatch 250/250, validation error 3.620000 %
     epoch 83, minibatch 250/250, test error of best model 3.630000 %
epoch 84, minibatch 250/250, validation error 3.620000 %
epoch 85, minibatch 250/250, validation error 3.600000 %
     epoch 85, minibatch 250/250, test error of best model 3.620000 %
epoch 86, minibatch 250/250, validation error 3.600000 %
epoch 87, minibatch 250/250, validation error 3.560000 %
     epoch 87, minibatch 250/250, test error of best model 3.590000 %
epoch 88, minibatch 250/250, validation error 3.550000 %
     epoch 88, minibatch 250/250, test error of best model 3.600000 %
epoch 89, minibatch 250/250, validation error 3.540000 %
     epoch 89, minibatch 250/250, test error of best model 3.580000 %
epoch 90, minibatch 250/250, validation error 3.540000 %
epoch 91, minibatch 250/250, validation error 3.510000 %
     epoch 91, minibatch 250/250, test error of best model 3.560000 %
epoch 92, minibatch 250/250, validation error 3.490000 %
     epoch 92, minibatch 250/250, test error of best model 3.570000 %
epoch 93, minibatch 250/250, validation error 3.470000 %
     epoch 93, minibatch 250/250, test error of best model 3.560000 %
epoch 94, minibatch 250/250, validation error 3.500000 %
epoch 95, minibatch 250/250, validation error 3.490000 %
epoch 96, minibatch 250/250, validation error 3.480000 %
epoch 97, minibatch 250/250, validation error 3.430000 %
     epoch 97, minibatch 250/250, test error of best model 3.510000 %
epoch 98, minibatch 250/250, validation error 3.400000 %
     epoch 98, minibatch 250/250, test error of best model 3.500000 %
epoch 99, minibatch 250/250, validation error 3.410000 %
epoch 100, minibatch 250/250, validation error 3.390000 %
     epoch 100, minibatch 250/250, test error of best model 3.530000 %
epoch 101, minibatch 250/250, validation error 3.410000 %
epoch 102, minibatch 250/250, validation error 3.390000 %
epoch 103, minibatch 250/250, validation error 3.390000 %
epoch 104, minibatch 250/250, validation error 3.400000 %
