... loading data
training member 0
epoch 1, minibatch 500/500, validation error 12.780000 %
epoch 2, minibatch 500/500, validation error 10.910000 %
epoch 3, minibatch 500/500, validation error 9.940000 %
epoch 4, minibatch 500/500, validation error 9.170000 %
epoch 5, minibatch 500/500, validation error 8.720000 %
epoch 6, minibatch 500/500, validation error 8.240000 %
epoch 7, minibatch 500/500, validation error 7.740000 %
epoch 8, minibatch 500/500, validation error 7.410000 %
epoch 9, minibatch 500/500, validation error 7.200000 %
epoch 10, minibatch 500/500, validation error 6.850000 %
epoch 11, minibatch 500/500, validation error 6.700000 %
epoch 12, minibatch 500/500, validation error 6.570000 %
epoch 13, minibatch 500/500, validation error 6.470000 %
epoch 14, minibatch 500/500, validation error 6.290000 %
epoch 15, minibatch 500/500, validation error 6.160000 %
epoch 16, minibatch 500/500, validation error 6.010000 %
epoch 17, minibatch 500/500, validation error 5.860000 %
epoch 18, minibatch 500/500, validation error 5.800000 %
epoch 19, minibatch 500/500, validation error 5.650000 %
epoch 20, minibatch 500/500, validation error 5.560000 %
epoch 21, minibatch 500/500, validation error 5.500000 %
epoch 22, minibatch 500/500, validation error 5.440000 %
epoch 23, minibatch 500/500, validation error 5.420000 %
epoch 24, minibatch 500/500, validation error 5.320000 %
epoch 25, minibatch 500/500, validation error 5.260000 %
epoch 26, minibatch 500/500, validation error 5.170000 %
epoch 27, minibatch 500/500, validation error 5.080000 %
epoch 28, minibatch 500/500, validation error 5.000000 %
epoch 29, minibatch 500/500, validation error 4.950000 %
epoch 30, minibatch 500/500, validation error 4.900000 %
epoch 31, minibatch 500/500, validation error 4.890000 %
epoch 32, minibatch 500/500, validation error 4.820000 %
epoch 33, minibatch 500/500, validation error 4.790000 %
epoch 34, minibatch 500/500, validation error 4.770000 %
epoch 35, minibatch 500/500, validation error 4.760000 %
epoch 36, minibatch 500/500, validation error 4.680000 %
epoch 37, minibatch 500/500, validation error 4.610000 %
epoch 39, minibatch 500/500, validation error 4.550000 %
epoch 40, minibatch 500/500, validation error 4.540000 %
epoch 41, minibatch 500/500, validation error 4.480000 %
epoch 42, minibatch 500/500, validation error 4.400000 %
epoch 43, minibatch 500/500, validation error 4.350000 %
epoch 44, minibatch 500/500, validation error 4.300000 %
epoch 45, minibatch 500/500, validation error 4.230000 %
epoch 46, minibatch 500/500, validation error 4.170000 %
epoch 47, minibatch 500/500, validation error 4.140000 %
epoch 48, minibatch 500/500, validation error 4.100000 %
epoch 49, minibatch 500/500, validation error 4.060000 %
epoch 51, minibatch 500/500, validation error 4.010000 %
epoch 53, minibatch 500/500, validation error 4.000000 %
epoch 55, minibatch 500/500, validation error 3.950000 %
epoch 56, minibatch 500/500, validation error 3.930000 %
epoch 57, minibatch 500/500, validation error 3.900000 %
epoch 58, minibatch 500/500, validation error 3.890000 %
epoch 59, minibatch 500/500, validation error 3.850000 %
epoch 62, minibatch 500/500, validation error 3.830000 %
epoch 63, minibatch 500/500, validation error 3.800000 %
epoch 84, minibatch 500/500, validation error 3.790000 %
epoch 85, minibatch 500/500, validation error 3.750000 %
epoch 93, minibatch 500/500, validation error 3.740000 %
epoch 104, minibatch 500/500, validation error 3.720000 %
epoch 105, minibatch 500/500, validation error 3.720000 %
epoch 108, minibatch 500/500, validation error 3.710000 %
epoch 129, minibatch 500/500, validation error 3.670000 %
epoch 132, minibatch 500/500, validation error 3.630000 %
epoch 133, minibatch 500/500, validation error 3.620000 %
epoch 134, minibatch 500/500, validation error 3.610000 %
epoch 135, minibatch 500/500, validation error 3.570000 %
epoch 137, minibatch 500/500, validation error 3.550000 %
epoch 164, minibatch 500/500, validation error 3.480000 %
Selection : Best validation score of 3.48 %
training member 1
epoch 1, minibatch 500/500, validation error 12.630000 %
epoch 2, minibatch 500/500, validation error 10.880000 %
epoch 3, minibatch 500/500, validation error 9.890000 %
epoch 4, minibatch 500/500, validation error 9.120000 %
epoch 5, minibatch 500/500, validation error 8.620000 %
epoch 6, minibatch 500/500, validation error 8.220000 %
epoch 7, minibatch 500/500, validation error 7.820000 %
epoch 8, minibatch 500/500, validation error 7.580000 %
epoch 9, minibatch 500/500, validation error 7.330000 %
epoch 10, minibatch 500/500, validation error 7.070000 %
epoch 11, minibatch 500/500, validation error 6.940000 %
epoch 12, minibatch 500/500, validation error 6.660000 %
epoch 13, minibatch 500/500, validation error 6.550000 %
epoch 14, minibatch 500/500, validation error 6.320000 %
epoch 15, minibatch 500/500, validation error 6.110000 %
epoch 16, minibatch 500/500, validation error 5.870000 %
epoch 17, minibatch 500/500, validation error 5.710000 %
epoch 18, minibatch 500/500, validation error 5.510000 %
epoch 19, minibatch 500/500, validation error 5.390000 %
epoch 20, minibatch 500/500, validation error 5.250000 %
epoch 21, minibatch 500/500, validation error 5.200000 %
epoch 22, minibatch 500/500, validation error 5.170000 %
epoch 23, minibatch 500/500, validation error 5.060000 %
epoch 24, minibatch 500/500, validation error 4.990000 %
epoch 25, minibatch 500/500, validation error 4.910000 %
epoch 26, minibatch 500/500, validation error 4.850000 %
epoch 27, minibatch 500/500, validation error 4.770000 %
epoch 28, minibatch 500/500, validation error 4.670000 %
epoch 29, minibatch 500/500, validation error 4.670000 %
epoch 30, minibatch 500/500, validation error 4.670000 %
epoch 31, minibatch 500/500, validation error 4.580000 %
epoch 32, minibatch 500/500, validation error 4.520000 %
epoch 33, minibatch 500/500, validation error 4.420000 %
epoch 34, minibatch 500/500, validation error 4.380000 %
epoch 38, minibatch 500/500, validation error 4.350000 %
epoch 39, minibatch 500/500, validation error 4.330000 %
epoch 40, minibatch 500/500, validation error 4.310000 %
epoch 42, minibatch 500/500, validation error 4.250000 %
epoch 43, minibatch 500/500, validation error 4.190000 %
epoch 44, minibatch 500/500, validation error 4.180000 %
epoch 45, minibatch 500/500, validation error 4.160000 %
epoch 46, minibatch 500/500, validation error 4.100000 %
epoch 48, minibatch 500/500, validation error 4.080000 %
epoch 49, minibatch 500/500, validation error 4.040000 %
epoch 51, minibatch 500/500, validation error 4.010000 %
epoch 52, minibatch 500/500, validation error 3.970000 %
epoch 53, minibatch 500/500, validation error 3.950000 %
epoch 57, minibatch 500/500, validation error 3.950000 %
epoch 62, minibatch 500/500, validation error 3.920000 %
epoch 65, minibatch 500/500, validation error 3.920000 %
epoch 68, minibatch 500/500, validation error 3.880000 %
epoch 74, minibatch 500/500, validation error 3.830000 %
epoch 78, minibatch 500/500, validation error 3.820000 %
epoch 79, minibatch 500/500, validation error 3.770000 %
epoch 80, minibatch 500/500, validation error 3.740000 %
epoch 81, minibatch 500/500, validation error 3.740000 %
epoch 82, minibatch 500/500, validation error 3.690000 %
epoch 83, minibatch 500/500, validation error 3.660000 %
epoch 103, minibatch 500/500, validation error 3.630000 %
epoch 108, minibatch 500/500, validation error 3.630000 %
epoch 110, minibatch 500/500, validation error 3.580000 %
epoch 113, minibatch 500/500, validation error 3.560000 %
epoch 114, minibatch 500/500, validation error 3.520000 %
epoch 115, minibatch 500/500, validation error 3.510000 %
epoch 122, minibatch 500/500, validation error 3.480000 %
epoch 177, minibatch 500/500, validation error 3.430000 %
Selection : Best validation score of 3.43 %
training member 2
epoch 1, minibatch 500/500, validation error 13.020000 %
epoch 2, minibatch 500/500, validation error 11.120000 %
epoch 3, minibatch 500/500, validation error 10.240000 %
epoch 4, minibatch 500/500, validation error 9.460000 %
epoch 5, minibatch 500/500, validation error 8.850000 %
epoch 6, minibatch 500/500, validation error 8.340000 %
epoch 7, minibatch 500/500, validation error 7.820000 %
epoch 8, minibatch 500/500, validation error 7.420000 %
epoch 9, minibatch 500/500, validation error 7.260000 %
epoch 10, minibatch 500/500, validation error 7.070000 %
epoch 11, minibatch 500/500, validation error 6.890000 %
epoch 12, minibatch 500/500, validation error 6.660000 %
epoch 13, minibatch 500/500, validation error 6.480000 %
epoch 14, minibatch 500/500, validation error 6.330000 %
epoch 15, minibatch 500/500, validation error 6.170000 %
epoch 16, minibatch 500/500, validation error 6.040000 %
epoch 17, minibatch 500/500, validation error 6.020000 %
epoch 18, minibatch 500/500, validation error 5.900000 %
epoch 19, minibatch 500/500, validation error 5.750000 %
epoch 20, minibatch 500/500, validation error 5.650000 %
epoch 21, minibatch 500/500, validation error 5.490000 %
epoch 22, minibatch 500/500, validation error 5.440000 %
epoch 23, minibatch 500/500, validation error 5.320000 %
epoch 24, minibatch 500/500, validation error 5.280000 %
epoch 25, minibatch 500/500, validation error 5.220000 %
epoch 26, minibatch 500/500, validation error 5.120000 %
epoch 27, minibatch 500/500, validation error 5.060000 %
epoch 28, minibatch 500/500, validation error 5.060000 %
epoch 29, minibatch 500/500, validation error 4.970000 %
epoch 30, minibatch 500/500, validation error 4.910000 %
epoch 31, minibatch 500/500, validation error 4.860000 %
epoch 32, minibatch 500/500, validation error 4.770000 %
epoch 33, minibatch 500/500, validation error 4.670000 %
epoch 35, minibatch 500/500, validation error 4.620000 %
epoch 36, minibatch 500/500, validation error 4.540000 %
epoch 37, minibatch 500/500, validation error 4.500000 %
epoch 38, minibatch 500/500, validation error 4.450000 %
epoch 39, minibatch 500/500, validation error 4.400000 %
epoch 40, minibatch 500/500, validation error 4.350000 %
epoch 41, minibatch 500/500, validation error 4.300000 %
epoch 42, minibatch 500/500, validation error 4.250000 %
epoch 43, minibatch 500/500, validation error 4.240000 %
epoch 44, minibatch 500/500, validation error 4.180000 %
epoch 45, minibatch 500/500, validation error 4.140000 %
epoch 46, minibatch 500/500, validation error 4.100000 %
epoch 47, minibatch 500/500, validation error 4.020000 %
epoch 50, minibatch 500/500, validation error 4.000000 %
epoch 58, minibatch 500/500, validation error 3.960000 %
epoch 59, minibatch 500/500, validation error 3.910000 %
epoch 61, minibatch 500/500, validation error 3.900000 %
epoch 62, minibatch 500/500, validation error 3.880000 %
epoch 64, minibatch 500/500, validation error 3.850000 %
epoch 66, minibatch 500/500, validation error 3.820000 %
epoch 72, minibatch 500/500, validation error 3.790000 %
epoch 75, minibatch 500/500, validation error 3.770000 %
epoch 78, minibatch 500/500, validation error 3.770000 %
epoch 80, minibatch 500/500, validation error 3.750000 %
epoch 81, minibatch 500/500, validation error 3.680000 %
epoch 86, minibatch 500/500, validation error 3.630000 %
epoch 87, minibatch 500/500, validation error 3.610000 %
epoch 89, minibatch 500/500, validation error 3.570000 %
epoch 90, minibatch 500/500, validation error 3.560000 %
epoch 92, minibatch 500/500, validation error 3.550000 %
epoch 93, minibatch 500/500, validation error 3.500000 %
epoch 97, minibatch 500/500, validation error 3.500000 %
epoch 98, minibatch 500/500, validation error 3.470000 %
epoch 111, minibatch 500/500, validation error 3.450000 %
epoch 148, minibatch 500/500, validation error 3.440000 %
epoch 149, minibatch 500/500, validation error 3.400000 %
epoch 193, minibatch 500/500, validation error 3.370000 %
Selection : Best validation score of 3.37 %
training member 3
epoch 1, minibatch 500/500, validation error 13.720000 %
epoch 2, minibatch 500/500, validation error 12.140000 %
epoch 3, minibatch 500/500, validation error 10.980000 %
epoch 4, minibatch 500/500, validation error 10.050000 %
epoch 5, minibatch 500/500, validation error 9.460000 %
epoch 6, minibatch 500/500, validation error 9.070000 %
epoch 7, minibatch 500/500, validation error 8.680000 %
epoch 8, minibatch 500/500, validation error 8.380000 %
epoch 9, minibatch 500/500, validation error 7.970000 %
epoch 10, minibatch 500/500, validation error 7.680000 %
epoch 11, minibatch 500/500, validation error 7.550000 %
epoch 12, minibatch 500/500, validation error 7.310000 %
epoch 13, minibatch 500/500, validation error 7.020000 %
epoch 14, minibatch 500/500, validation error 6.850000 %
epoch 15, minibatch 500/500, validation error 6.680000 %
epoch 16, minibatch 500/500, validation error 6.500000 %
epoch 17, minibatch 500/500, validation error 6.330000 %
epoch 18, minibatch 500/500, validation error 6.240000 %
epoch 19, minibatch 500/500, validation error 6.210000 %
epoch 20, minibatch 500/500, validation error 6.040000 %
epoch 21, minibatch 500/500, validation error 5.890000 %
epoch 22, minibatch 500/500, validation error 5.750000 %
epoch 23, minibatch 500/500, validation error 5.630000 %
epoch 24, minibatch 500/500, validation error 5.580000 %
epoch 25, minibatch 500/500, validation error 5.450000 %
epoch 26, minibatch 500/500, validation error 5.390000 %
epoch 27, minibatch 500/500, validation error 5.290000 %
epoch 28, minibatch 500/500, validation error 5.210000 %
