... loading data
... building the model
... training
epoch 1, minibatch 500/500, validation error 12.810000 %
     epoch 1, minibatch 500/500, test error of best model 13.720000 %
epoch 2, minibatch 500/500, validation error 11.610000 %
     epoch 2, minibatch 500/500, test error of best model 11.980000 %
epoch 3, minibatch 500/500, validation error 10.460000 %
     epoch 3, minibatch 500/500, test error of best model 11.040000 %
epoch 4, minibatch 500/500, validation error 9.730000 %
     epoch 4, minibatch 500/500, test error of best model 10.210000 %
epoch 5, minibatch 500/500, validation error 9.270000 %
     epoch 5, minibatch 500/500, test error of best model 9.650000 %
epoch 6, minibatch 500/500, validation error 8.660000 %
     epoch 6, minibatch 500/500, test error of best model 9.290000 %
epoch 7, minibatch 500/500, validation error 8.340000 %
     epoch 7, minibatch 500/500, test error of best model 8.950000 %
epoch 8, minibatch 500/500, validation error 7.890000 %
     epoch 8, minibatch 500/500, test error of best model 8.500000 %
epoch 9, minibatch 500/500, validation error 7.590000 %
     epoch 9, minibatch 500/500, test error of best model 8.080000 %
epoch 10, minibatch 500/500, validation error 7.130000 %
     epoch 10, minibatch 500/500, test error of best model 7.840000 %
epoch 11, minibatch 500/500, validation error 6.790000 %
     epoch 11, minibatch 500/500, test error of best model 7.450000 %
epoch 12, minibatch 500/500, validation error 6.570000 %
     epoch 12, minibatch 500/500, test error of best model 7.250000 %
epoch 13, minibatch 500/500, validation error 6.300000 %
     epoch 13, minibatch 500/500, test error of best model 6.980000 %
epoch 14, minibatch 500/500, validation error 6.130000 %
     epoch 14, minibatch 500/500, test error of best model 6.740000 %
epoch 15, minibatch 500/500, validation error 5.910000 %
     epoch 15, minibatch 500/500, test error of best model 6.610000 %
epoch 16, minibatch 500/500, validation error 5.710000 %
     epoch 16, minibatch 500/500, test error of best model 6.410000 %
epoch 17, minibatch 500/500, validation error 5.560000 %
     epoch 17, minibatch 500/500, test error of best model 6.340000 %
epoch 18, minibatch 500/500, validation error 5.460000 %
     epoch 18, minibatch 500/500, test error of best model 6.180000 %
epoch 19, minibatch 500/500, validation error 5.320000 %
     epoch 19, minibatch 500/500, test error of best model 6.060000 %
epoch 20, minibatch 500/500, validation error 5.200000 %
     epoch 20, minibatch 500/500, test error of best model 5.920000 %
epoch 21, minibatch 500/500, validation error 5.080000 %
     epoch 21, minibatch 500/500, test error of best model 5.800000 %
epoch 22, minibatch 500/500, validation error 5.020000 %
     epoch 22, minibatch 500/500, test error of best model 5.710000 %
epoch 23, minibatch 500/500, validation error 4.930000 %
     epoch 23, minibatch 500/500, test error of best model 5.680000 %
epoch 24, minibatch 500/500, validation error 4.910000 %
     epoch 24, minibatch 500/500, test error of best model 5.570000 %
epoch 25, minibatch 500/500, validation error 4.910000 %
     epoch 25, minibatch 500/500, test error of best model 5.530000 %
epoch 26, minibatch 500/500, validation error 4.820000 %
     epoch 26, minibatch 500/500, test error of best model 5.520000 %
epoch 27, minibatch 500/500, validation error 4.760000 %
     epoch 27, minibatch 500/500, test error of best model 5.450000 %
epoch 28, minibatch 500/500, validation error 4.680000 %
     epoch 28, minibatch 500/500, test error of best model 5.360000 %
epoch 29, minibatch 500/500, validation error 4.590000 %
     epoch 29, minibatch 500/500, test error of best model 5.190000 %
epoch 30, minibatch 500/500, validation error 4.480000 %
     epoch 30, minibatch 500/500, test error of best model 5.130000 %
epoch 31, minibatch 500/500, validation error 4.390000 %
     epoch 31, minibatch 500/500, test error of best model 5.080000 %
epoch 32, minibatch 500/500, validation error 4.310000 %
     epoch 32, minibatch 500/500, test error of best model 5.020000 %
epoch 33, minibatch 500/500, validation error 4.210000 %
     epoch 33, minibatch 500/500, test error of best model 5.000000 %
epoch 34, minibatch 500/500, validation error 4.200000 %
     epoch 34, minibatch 500/500, test error of best model 4.930000 %
epoch 35, minibatch 500/500, validation error 4.130000 %
     epoch 35, minibatch 500/500, test error of best model 4.890000 %
epoch 36, minibatch 500/500, validation error 4.100000 %
     epoch 36, minibatch 500/500, test error of best model 4.840000 %
epoch 37, minibatch 500/500, validation error 4.130000 %
epoch 38, minibatch 500/500, validation error 4.120000 %
epoch 39, minibatch 500/500, validation error 4.040000 %
     epoch 39, minibatch 500/500, test error of best model 4.560000 %
epoch 40, minibatch 500/500, validation error 4.010000 %
     epoch 40, minibatch 500/500, test error of best model 4.540000 %
epoch 41, minibatch 500/500, validation error 3.980000 %
     epoch 41, minibatch 500/500, test error of best model 4.510000 %
epoch 42, minibatch 500/500, validation error 3.910000 %
     epoch 42, minibatch 500/500, test error of best model 4.510000 %
epoch 43, minibatch 500/500, validation error 3.830000 %
     epoch 43, minibatch 500/500, test error of best model 4.510000 %
epoch 44, minibatch 500/500, validation error 3.800000 %
     epoch 44, minibatch 500/500, test error of best model 4.500000 %
epoch 45, minibatch 500/500, validation error 3.770000 %
     epoch 45, minibatch 500/500, test error of best model 4.470000 %
epoch 46, minibatch 500/500, validation error 3.810000 %
epoch 47, minibatch 500/500, validation error 3.780000 %
epoch 48, minibatch 500/500, validation error 3.770000 %
epoch 49, minibatch 500/500, validation error 3.740000 %
     epoch 49, minibatch 500/500, test error of best model 4.290000 %
epoch 50, minibatch 500/500, validation error 3.680000 %
     epoch 50, minibatch 500/500, test error of best model 4.300000 %
epoch 51, minibatch 500/500, validation error 3.680000 %
epoch 52, minibatch 500/500, validation error 3.690000 %
epoch 53, minibatch 500/500, validation error 3.680000 %
epoch 54, minibatch 500/500, validation error 3.660000 %
     epoch 54, minibatch 500/500, test error of best model 4.080000 %
epoch 55, minibatch 500/500, validation error 3.580000 %
     epoch 55, minibatch 500/500, test error of best model 4.040000 %
epoch 56, minibatch 500/500, validation error 3.590000 %
epoch 57, minibatch 500/500, validation error 3.530000 %
     epoch 57, minibatch 500/500, test error of best model 3.990000 %
epoch 58, minibatch 500/500, validation error 3.510000 %
     epoch 58, minibatch 500/500, test error of best model 3.950000 %
epoch 59, minibatch 500/500, validation error 3.510000 %
epoch 60, minibatch 500/500, validation error 3.530000 %
epoch 61, minibatch 500/500, validation error 3.510000 %
epoch 62, minibatch 500/500, validation error 3.470000 %
     epoch 62, minibatch 500/500, test error of best model 3.940000 %
epoch 63, minibatch 500/500, validation error 3.450000 %
     epoch 63, minibatch 500/500, test error of best model 3.970000 %
epoch 64, minibatch 500/500, validation error 3.420000 %
     epoch 64, minibatch 500/500, test error of best model 3.970000 %
epoch 65, minibatch 500/500, validation error 3.390000 %
     epoch 65, minibatch 500/500, test error of best model 3.950000 %
epoch 66, minibatch 500/500, validation error 3.390000 %
epoch 67, minibatch 500/500, validation error 3.310000 %
     epoch 67, minibatch 500/500, test error of best model 3.890000 %
epoch 68, minibatch 500/500, validation error 3.330000 %
epoch 69, minibatch 500/500, validation error 3.320000 %
epoch 70, minibatch 500/500, validation error 3.340000 %
epoch 71, minibatch 500/500, validation error 3.380000 %
epoch 72, minibatch 500/500, validation error 3.360000 %
epoch 73, minibatch 500/500, validation error 3.370000 %
epoch 74, minibatch 500/500, validation error 3.310000 %
epoch 75, minibatch 500/500, validation error 3.280000 %
     epoch 75, minibatch 500/500, test error of best model 3.740000 %
epoch 76, minibatch 500/500, validation error 3.300000 %
epoch 77, minibatch 500/500, validation error 3.300000 %
epoch 78, minibatch 500/500, validation error 3.250000 %
     epoch 78, minibatch 500/500, test error of best model 3.700000 %
epoch 79, minibatch 500/500, validation error 3.270000 %
epoch 80, minibatch 500/500, validation error 3.240000 %
     epoch 80, minibatch 500/500, test error of best model 3.710000 %
epoch 81, minibatch 500/500, validation error 3.230000 %
     epoch 81, minibatch 500/500, test error of best model 3.660000 %
epoch 82, minibatch 500/500, validation error 3.200000 %
     epoch 82, minibatch 500/500, test error of best model 3.630000 %
epoch 83, minibatch 500/500, validation error 3.170000 %
     epoch 83, minibatch 500/500, test error of best model 3.630000 %
epoch 84, minibatch 500/500, validation error 3.120000 %
     epoch 84, minibatch 500/500, test error of best model 3.620000 %
epoch 85, minibatch 500/500, validation error 3.150000 %
epoch 86, minibatch 500/500, validation error 3.210000 %
epoch 87, minibatch 500/500, validation error 3.180000 %
epoch 88, minibatch 500/500, validation error 3.220000 %
epoch 89, minibatch 500/500, validation error 3.190000 %
epoch 90, minibatch 500/500, validation error 3.230000 %
epoch 91, minibatch 500/500, validation error 3.180000 %
epoch 92, minibatch 500/500, validation error 3.130000 %
epoch 93, minibatch 500/500, validation error 3.140000 %
epoch 94, minibatch 500/500, validation error 3.120000 %
epoch 95, minibatch 500/500, validation error 3.120000 %
     epoch 95, minibatch 500/500, test error of best model 3.600000 %
epoch 96, minibatch 500/500, validation error 3.120000 %
epoch 97, minibatch 500/500, validation error 3.130000 %
epoch 98, minibatch 500/500, validation error 3.120000 %
epoch 99, minibatch 500/500, validation error 3.090000 %
     epoch 99, minibatch 500/500, test error of best model 3.470000 %
epoch 100, minibatch 500/500, validation error 3.070000 %
     epoch 100, minibatch 500/500, test error of best model 3.490000 %
epoch 101, minibatch 500/500, validation error 3.060000 %
     epoch 101, minibatch 500/500, test error of best model 3.480000 %
epoch 102, minibatch 500/500, validation error 3.070000 %
epoch 103, minibatch 500/500, validation error 3.080000 %
epoch 104, minibatch 500/500, validation error 3.070000 %
epoch 105, minibatch 500/500, validation error 3.030000 %
     epoch 105, minibatch 500/500, test error of best model 3.530000 %
epoch 106, minibatch 500/500, validation error 3.080000 %
epoch 107, minibatch 500/500, validation error 3.090000 %
epoch 108, minibatch 500/500, validation error 3.100000 %
epoch 109, minibatch 500/500, validation error 3.100000 %
epoch 110, minibatch 500/500, validation error 3.090000 %
epoch 111, minibatch 500/500, validation error 3.060000 %
epoch 112, minibatch 500/500, validation error 3.040000 %
epoch 113, minibatch 500/500, validation error 3.090000 %
epoch 114, minibatch 500/500, validation error 3.080000 %
epoch 115, minibatch 500/500, validation error 3.140000 %
epoch 116, minibatch 500/500, validation error 3.080000 %
epoch 117, minibatch 500/500, validation error 3.100000 %
epoch 118, minibatch 500/500, validation error 3.120000 %
epoch 119, minibatch 500/500, validation error 3.240000 %
epoch 120, minibatch 500/500, validation error 3.170000 %
epoch 121, minibatch 500/500, validation error 3.210000 %
epoch 122, minibatch 500/500, validation error 3.170000 %
epoch 123, minibatch 500/500, validation error 3.230000 %
epoch 124, minibatch 500/500, validation error 3.210000 %
epoch 125, minibatch 500/500, validation error 3.270000 %
epoch 126, minibatch 500/500, validation error 3.290000 %
epoch 127, minibatch 500/500, validation error 3.230000 %
epoch 128, minibatch 500/500, validation error 3.290000 %
epoch 129, minibatch 500/500, validation error 3.320000 %
epoch 130, minibatch 500/500, validation error 3.380000 %
epoch 131, minibatch 500/500, validation error 3.340000 %
epoch 132, minibatch 500/500, validation error 3.450000 %
epoch 133, minibatch 500/500, validation error 3.300000 %
epoch 134, minibatch 500/500, validation error 3.230000 %
epoch 135, minibatch 500/500, validation error 3.330000 %
epoch 136, minibatch 500/500, validation error 3.160000 %
