... loading data
... building the model
... training
epoch 1, minibatch 250/250, validation error 6.040000 %
     epoch 1, minibatch 250/250, test error of best model 6.430000 %
epoch 2, minibatch 250/250, validation error 5.600000 %
     epoch 2, minibatch 250/250, test error of best model 6.080000 %
epoch 3, minibatch 250/250, validation error 5.500000 %
     epoch 3, minibatch 250/250, test error of best model 5.930000 %
epoch 4, minibatch 250/250, validation error 5.410000 %
     epoch 4, minibatch 250/250, test error of best model 5.740000 %
epoch 5, minibatch 250/250, validation error 5.250000 %
     epoch 5, minibatch 250/250, test error of best model 5.640000 %
epoch 6, minibatch 250/250, validation error 5.170000 %
     epoch 6, minibatch 250/250, test error of best model 5.530000 %
epoch 7, minibatch 250/250, validation error 5.080000 %
     epoch 7, minibatch 250/250, test error of best model 5.440000 %
epoch 8, minibatch 250/250, validation error 5.000000 %
     epoch 8, minibatch 250/250, test error of best model 5.320000 %
epoch 9, minibatch 250/250, validation error 4.920000 %
     epoch 9, minibatch 250/250, test error of best model 5.220000 %
epoch 10, minibatch 250/250, validation error 4.860000 %
     epoch 10, minibatch 250/250, test error of best model 5.160000 %
epoch 11, minibatch 250/250, validation error 4.830000 %
     epoch 11, minibatch 250/250, test error of best model 5.100000 %
epoch 12, minibatch 250/250, validation error 4.760000 %
     epoch 12, minibatch 250/250, test error of best model 5.040000 %
epoch 13, minibatch 250/250, validation error 4.690000 %
     epoch 13, minibatch 250/250, test error of best model 4.990000 %
epoch 14, minibatch 250/250, validation error 4.670000 %
     epoch 14, minibatch 250/250, test error of best model 4.890000 %
epoch 15, minibatch 250/250, validation error 4.580000 %
     epoch 15, minibatch 250/250, test error of best model 4.860000 %
epoch 16, minibatch 250/250, validation error 4.530000 %
     epoch 16, minibatch 250/250, test error of best model 4.810000 %
epoch 17, minibatch 250/250, validation error 4.510000 %
     epoch 17, minibatch 250/250, test error of best model 4.720000 %
epoch 18, minibatch 250/250, validation error 4.390000 %
     epoch 18, minibatch 250/250, test error of best model 4.680000 %
epoch 19, minibatch 250/250, validation error 4.380000 %
     epoch 19, minibatch 250/250, test error of best model 4.640000 %
epoch 20, minibatch 250/250, validation error 4.330000 %
     epoch 20, minibatch 250/250, test error of best model 4.580000 %
epoch 21, minibatch 250/250, validation error 4.300000 %
     epoch 21, minibatch 250/250, test error of best model 4.550000 %
epoch 22, minibatch 250/250, validation error 4.240000 %
     epoch 22, minibatch 250/250, test error of best model 4.490000 %
epoch 23, minibatch 250/250, validation error 4.210000 %
     epoch 23, minibatch 250/250, test error of best model 4.450000 %
epoch 24, minibatch 250/250, validation error 4.160000 %
     epoch 24, minibatch 250/250, test error of best model 4.390000 %
epoch 25, minibatch 250/250, validation error 4.120000 %
     epoch 25, minibatch 250/250, test error of best model 4.390000 %
epoch 26, minibatch 250/250, validation error 4.100000 %
     epoch 26, minibatch 250/250, test error of best model 4.370000 %
epoch 27, minibatch 250/250, validation error 4.040000 %
     epoch 27, minibatch 250/250, test error of best model 4.350000 %
epoch 28, minibatch 250/250, validation error 3.980000 %
     epoch 28, minibatch 250/250, test error of best model 4.320000 %
epoch 29, minibatch 250/250, validation error 3.930000 %
     epoch 29, minibatch 250/250, test error of best model 4.310000 %
epoch 30, minibatch 250/250, validation error 3.860000 %
     epoch 30, minibatch 250/250, test error of best model 4.280000 %
epoch 31, minibatch 250/250, validation error 3.850000 %
     epoch 31, minibatch 250/250, test error of best model 4.240000 %
epoch 32, minibatch 250/250, validation error 3.840000 %
     epoch 32, minibatch 250/250, test error of best model 4.230000 %
epoch 33, minibatch 250/250, validation error 3.850000 %
epoch 34, minibatch 250/250, validation error 3.850000 %
epoch 35, minibatch 250/250, validation error 3.840000 %
     epoch 35, minibatch 250/250, test error of best model 4.170000 %
epoch 36, minibatch 250/250, validation error 3.770000 %
     epoch 36, minibatch 250/250, test error of best model 4.180000 %
epoch 37, minibatch 250/250, validation error 3.760000 %
     epoch 37, minibatch 250/250, test error of best model 4.150000 %
epoch 38, minibatch 250/250, validation error 3.740000 %
     epoch 38, minibatch 250/250, test error of best model 4.130000 %
epoch 39, minibatch 250/250, validation error 3.710000 %
     epoch 39, minibatch 250/250, test error of best model 4.100000 %
epoch 40, minibatch 250/250, validation error 3.670000 %
     epoch 40, minibatch 250/250, test error of best model 4.140000 %
epoch 41, minibatch 250/250, validation error 3.680000 %
epoch 42, minibatch 250/250, validation error 3.650000 %
     epoch 42, minibatch 250/250, test error of best model 4.070000 %
epoch 43, minibatch 250/250, validation error 3.650000 %
epoch 44, minibatch 250/250, validation error 3.620000 %
     epoch 44, minibatch 250/250, test error of best model 4.000000 %
epoch 45, minibatch 250/250, validation error 3.580000 %
     epoch 45, minibatch 250/250, test error of best model 3.990000 %
epoch 46, minibatch 250/250, validation error 3.570000 %
     epoch 46, minibatch 250/250, test error of best model 3.970000 %
epoch 47, minibatch 250/250, validation error 3.560000 %
     epoch 47, minibatch 250/250, test error of best model 3.920000 %
epoch 48, minibatch 250/250, validation error 3.510000 %
     epoch 48, minibatch 250/250, test error of best model 3.890000 %
epoch 49, minibatch 250/250, validation error 3.530000 %
epoch 50, minibatch 250/250, validation error 3.520000 %
epoch 51, minibatch 250/250, validation error 3.500000 %
     epoch 51, minibatch 250/250, test error of best model 3.840000 %
epoch 52, minibatch 250/250, validation error 3.500000 %
epoch 53, minibatch 250/250, validation error 3.530000 %
epoch 54, minibatch 250/250, validation error 3.550000 %
epoch 55, minibatch 250/250, validation error 3.560000 %
epoch 56, minibatch 250/250, validation error 3.540000 %
epoch 57, minibatch 250/250, validation error 3.550000 %
epoch 58, minibatch 250/250, validation error 3.550000 %
epoch 59, minibatch 250/250, validation error 3.540000 %
epoch 60, minibatch 250/250, validation error 3.550000 %
epoch 61, minibatch 250/250, validation error 3.520000 %
epoch 62, minibatch 250/250, validation error 3.520000 %
epoch 63, minibatch 250/250, validation error 3.450000 %
     epoch 63, minibatch 250/250, test error of best model 3.610000 %
epoch 64, minibatch 250/250, validation error 3.400000 %
     epoch 64, minibatch 250/250, test error of best model 3.600000 %
epoch 65, minibatch 250/250, validation error 3.420000 %
epoch 66, minibatch 250/250, validation error 3.400000 %
epoch 67, minibatch 250/250, validation error 3.360000 %
     epoch 67, minibatch 250/250, test error of best model 3.550000 %
epoch 68, minibatch 250/250, validation error 3.330000 %
     epoch 68, minibatch 250/250, test error of best model 3.540000 %
epoch 69, minibatch 250/250, validation error 3.340000 %
epoch 70, minibatch 250/250, validation error 3.350000 %
epoch 71, minibatch 250/250, validation error 3.360000 %
epoch 72, minibatch 250/250, validation error 3.350000 %
epoch 73, minibatch 250/250, validation error 3.340000 %
epoch 74, minibatch 250/250, validation error 3.370000 %
epoch 75, minibatch 250/250, validation error 3.370000 %
epoch 76, minibatch 250/250, validation error 3.340000 %
epoch 77, minibatch 250/250, validation error 3.330000 %
epoch 78, minibatch 250/250, validation error 3.310000 %
     epoch 78, minibatch 250/250, test error of best model 3.460000 %
epoch 79, minibatch 250/250, validation error 3.310000 %
epoch 80, minibatch 250/250, validation error 3.340000 %
epoch 81, minibatch 250/250, validation error 3.320000 %
epoch 82, minibatch 250/250, validation error 3.320000 %
epoch 83, minibatch 250/250, validation error 3.330000 %
epoch 84, minibatch 250/250, validation error 3.320000 %
epoch 85, minibatch 250/250, validation error 3.330000 %
epoch 86, minibatch 250/250, validation error 3.310000 %
     epoch 86, minibatch 250/250, test error of best model 3.400000 %
epoch 87, minibatch 250/250, validation error 3.270000 %
     epoch 87, minibatch 250/250, test error of best model 3.380000 %
epoch 88, minibatch 250/250, validation error 3.250000 %
     epoch 88, minibatch 250/250, test error of best model 3.350000 %
epoch 89, minibatch 250/250, validation error 3.230000 %
     epoch 89, minibatch 250/250, test error of best model 3.330000 %
epoch 90, minibatch 250/250, validation error 3.210000 %
     epoch 90, minibatch 250/250, test error of best model 3.320000 %
epoch 91, minibatch 250/250, validation error 3.210000 %
epoch 92, minibatch 250/250, validation error 3.190000 %
     epoch 92, minibatch 250/250, test error of best model 3.340000 %
epoch 93, minibatch 250/250, validation error 3.180000 %
     epoch 93, minibatch 250/250, test error of best model 3.320000 %
epoch 94, minibatch 250/250, validation error 3.180000 %
epoch 95, minibatch 250/250, validation error 3.190000 %
epoch 96, minibatch 250/250, validation error 3.200000 %
epoch 97, minibatch 250/250, validation error 3.180000 %
epoch 98, minibatch 250/250, validation error 3.190000 %
epoch 99, minibatch 250/250, validation error 3.180000 %
epoch 100, minibatch 250/250, validation error 3.190000 %
epoch 101, minibatch 250/250, validation error 3.180000 %
epoch 102, minibatch 250/250, validation error 3.180000 %
epoch 103, minibatch 250/250, validation error 3.160000 %
     epoch 103, minibatch 250/250, test error of best model 3.200000 %
epoch 104, minibatch 250/250, validation error 3.150000 %
     epoch 104, minibatch 250/250, test error of best model 3.160000 %
epoch 105, minibatch 250/250, validation error 3.130000 %
     epoch 105, minibatch 250/250, test error of best model 3.160000 %
epoch 106, minibatch 250/250, validation error 3.130000 %
epoch 107, minibatch 250/250, validation error 3.130000 %
     epoch 107, minibatch 250/250, test error of best model 3.100000 %
epoch 108, minibatch 250/250, validation error 3.090000 %
     epoch 108, minibatch 250/250, test error of best model 3.130000 %
epoch 109, minibatch 250/250, validation error 3.110000 %
epoch 110, minibatch 250/250, validation error 3.110000 %
epoch 111, minibatch 250/250, validation error 3.110000 %
epoch 112, minibatch 250/250, validation error 3.080000 %
     epoch 112, minibatch 250/250, test error of best model 3.120000 %
epoch 113, minibatch 250/250, validation error 3.080000 %
epoch 114, minibatch 250/250, validation error 3.080000 %
     epoch 114, minibatch 250/250, test error of best model 3.130000 %
epoch 115, minibatch 250/250, validation error 3.070000 %
     epoch 115, minibatch 250/250, test error of best model 3.130000 %
epoch 116, minibatch 250/250, validation error 3.070000 %
epoch 117, minibatch 250/250, validation error 3.050000 %
     epoch 117, minibatch 250/250, test error of best model 3.140000 %
epoch 118, minibatch 250/250, validation error 3.030000 %
     epoch 118, minibatch 250/250, test error of best model 3.120000 %
epoch 119, minibatch 250/250, validation error 3.040000 %
epoch 120, minibatch 250/250, validation error 3.040000 %
epoch 121, minibatch 250/250, validation error 3.030000 %
epoch 122, minibatch 250/250, validation error 3.050000 %
epoch 123, minibatch 250/250, validation error 3.060000 %
epoch 124, minibatch 250/250, validation error 3.050000 %
epoch 125, minibatch 250/250, validation error 3.070000 %
epoch 126, minibatch 250/250, validation error 3.050000 %
epoch 127, minibatch 250/250, validation error 3.040000 %
epoch 128, minibatch 250/250, validation error 3.050000 %
epoch 129, minibatch 250/250, validation error 3.050000 %
epoch 130, minibatch 250/250, validation error 3.060000 %
epoch 131, minibatch 250/250, validation error 3.060000 %
epoch 132, minibatch 250/250, validation error 3.080000 %
epoch 133, minibatch 250/250, validation error 3.080000 %
epoch 134, minibatch 250/250, validation error 3.080000 %
epoch 135, minibatch 250/250, validation error 3.070000 %
epoch 136, minibatch 250/250, validation error 3.040000 %
epoch 137, minibatch 250/250, validation error 3.060000 %
epoch 138, minibatch 250/250, validation error 3.040000 %
epoch 139, minibatch 250/250, validation error 3.030000 %
     epoch 139, minibatch 250/250, test error of best model 3.090000 %
epoch 140, minibatch 250/250, validation error 3.030000 %
epoch 141, minibatch 250/250, validation error 3.040000 %
epoch 142, minibatch 250/250, validation error 3.020000 %
     epoch 142, minibatch 250/250, test error of best model 3.080000 %
epoch 143, minibatch 250/250, validation error 3.040000 %
epoch 144, minibatch 250/250, validation error 3.000000 %
     epoch 144, minibatch 250/250, test error of best model 3.080000 %
epoch 145, minibatch 250/250, validation error 3.000000 %
epoch 146, minibatch 250/250, validation error 3.000000 %
epoch 147, minibatch 250/250, validation error 3.010000 %
epoch 148, minibatch 250/250, validation error 3.010000 %
epoch 149, minibatch 250/250, validation error 2.970000 %
     epoch 149, minibatch 250/250, test error of best model 3.020000 %
epoch 150, minibatch 250/250, validation error 3.000000 %
epoch 151, minibatch 250/250, validation error 2.980000 %
epoch 152, minibatch 250/250, validation error 2.960000 %
     epoch 152, minibatch 250/250, test error of best model 3.050000 %
epoch 153, minibatch 250/250, validation error 2.920000 %
     epoch 153, minibatch 250/250, test error of best model 3.020000 %
epoch 154, minibatch 250/250, validation error 2.970000 %
epoch 155, minibatch 250/250, validation error 2.950000 %
epoch 156, minibatch 250/250, validation error 2.950000 %
epoch 157, minibatch 250/250, validation error 2.930000 %
epoch 158, minibatch 250/250, validation error 2.930000 %
epoch 159, minibatch 250/250, validation error 2.920000 %
epoch 160, minibatch 250/250, validation error 2.930000 %
epoch 161, minibatch 250/250, validation error 2.910000 %
     epoch 161, minibatch 250/250, test error of best model 3.000000 %
epoch 162, minibatch 250/250, validation error 2.920000 %
epoch 163, minibatch 250/250, validation error 2.920000 %
epoch 164, minibatch 250/250, validation error 2.920000 %
epoch 165, minibatch 250/250, validation error 2.900000 %
     epoch 165, minibatch 250/250, test error of best model 3.000000 %
epoch 166, minibatch 250/250, validation error 2.920000 %
epoch 167, minibatch 250/250, validation error 2.930000 %
epoch 168, minibatch 250/250, validation error 2.890000 %
     epoch 168, minibatch 250/250, test error of best model 2.970000 %
epoch 169, minibatch 250/250, validation error 2.900000 %
epoch 170, minibatch 250/250, validation error 2.860000 %
     epoch 170, minibatch 250/250, test error of best model 2.960000 %
epoch 171, minibatch 250/250, validation error 2.860000 %
     epoch 171, minibatch 250/250, test error of best model 2.960000 %
epoch 172, minibatch 250/250, validation error 2.850000 %
     epoch 172, minibatch 250/250, test error of best model 2.960000 %
epoch 173, minibatch 250/250, validation error 2.850000 %
epoch 174, minibatch 250/250, validation error 2.860000 %
epoch 175, minibatch 250/250, validation error 2.850000 %
epoch 176, minibatch 250/250, validation error 2.860000 %
epoch 177, minibatch 250/250, validation error 2.870000 %
epoch 178, minibatch 250/250, validation error 2.870000 %
epoch 179, minibatch 250/250, validation error 2.860000 %
epoch 180, minibatch 250/250, validation error 2.870000 %
epoch 181, minibatch 250/250, validation error 2.860000 %
epoch 182, minibatch 250/250, validation error 2.850000 %
epoch 183, minibatch 250/250, validation error 2.840000 %
     epoch 183, minibatch 250/250, test error of best model 2.940000 %
epoch 184, minibatch 250/250, validation error 2.850000 %
epoch 185, minibatch 250/250, validation error 2.870000 %
epoch 186, minibatch 250/250, validation error 2.860000 %
epoch 187, minibatch 250/250, validat
