... loading data
training member 0
epoch 1, minibatch 166/166, validation error 13.070707 %
epoch 2, minibatch 166/166, validation error 11.171717 %
epoch 3, minibatch 166/166, validation error 10.030303 %
epoch 4, minibatch 166/166, validation error 9.414141 %
epoch 5, minibatch 166/166, validation error 9.040404 %
epoch 6, minibatch 166/166, validation error 8.494949 %
epoch 7, minibatch 166/166, validation error 8.090909 %
epoch 8, minibatch 166/166, validation error 7.838384 %
epoch 9, minibatch 166/166, validation error 7.585859 %
epoch 10, minibatch 166/166, validation error 7.424242 %
epoch 11, minibatch 166/166, validation error 7.222222 %
epoch 12, minibatch 166/166, validation error 7.131313 %
epoch 13, minibatch 166/166, validation error 7.010101 %
epoch 14, minibatch 166/166, validation error 6.787879 %
epoch 15, minibatch 166/166, validation error 6.676768 %
epoch 16, minibatch 166/166, validation error 6.545455 %
epoch 17, minibatch 166/166, validation error 6.353535 %
epoch 18, minibatch 166/166, validation error 6.181818 %
epoch 19, minibatch 166/166, validation error 6.060606 %
epoch 20, minibatch 166/166, validation error 5.959596 %
epoch 21, minibatch 166/166, validation error 5.848485 %
epoch 23, minibatch 166/166, validation error 5.767677 %
epoch 24, minibatch 166/166, validation error 5.696970 %
epoch 25, minibatch 166/166, validation error 5.656566 %
epoch 26, minibatch 166/166, validation error 5.535354 %
epoch 27, minibatch 166/166, validation error 5.474747 %
epoch 28, minibatch 166/166, validation error 5.383838 %
epoch 29, minibatch 166/166, validation error 5.373737 %
epoch 31, minibatch 166/166, validation error 5.323232 %
epoch 32, minibatch 166/166, validation error 5.262626 %
epoch 33, minibatch 166/166, validation error 5.242424 %
epoch 34, minibatch 166/166, validation error 5.202020 %
epoch 35, minibatch 166/166, validation error 5.202020 %
epoch 37, minibatch 166/166, validation error 5.181818 %
epoch 38, minibatch 166/166, validation error 5.161616 %
epoch 39, minibatch 166/166, validation error 5.121212 %
epoch 40, minibatch 166/166, validation error 5.090909 %
epoch 41, minibatch 166/166, validation error 4.959596 %
epoch 42, minibatch 166/166, validation error 4.868687 %
epoch 43, minibatch 166/166, validation error 4.808081 %
epoch 44, minibatch 166/166, validation error 4.777778 %
epoch 45, minibatch 166/166, validation error 4.717172 %
epoch 46, minibatch 166/166, validation error 4.707071 %
epoch 47, minibatch 166/166, validation error 4.666667 %
epoch 49, minibatch 166/166, validation error 4.575758 %
epoch 50, minibatch 166/166, validation error 4.525253 %
epoch 51, minibatch 166/166, validation error 4.505051 %
epoch 52, minibatch 166/166, validation error 4.454545 %
epoch 53, minibatch 166/166, validation error 4.434343 %
epoch 54, minibatch 166/166, validation error 4.404040 %
epoch 55, minibatch 166/166, validation error 4.393939 %
epoch 66, minibatch 166/166, validation error 4.363636 %
epoch 67, minibatch 166/166, validation error 4.353535 %
epoch 68, minibatch 166/166, validation error 4.303030 %
epoch 69, minibatch 166/166, validation error 4.292929 %
epoch 70, minibatch 166/166, validation error 4.262626 %
epoch 71, minibatch 166/166, validation error 4.171717 %
epoch 72, minibatch 166/166, validation error 4.161616 %
epoch 73, minibatch 166/166, validation error 4.141414 %
epoch 75, minibatch 166/166, validation error 4.131313 %
epoch 77, minibatch 166/166, validation error 4.111111 %
epoch 79, minibatch 166/166, validation error 4.070707 %
epoch 80, minibatch 166/166, validation error 4.060606 %
epoch 81, minibatch 166/166, validation error 4.050505 %
epoch 83, minibatch 166/166, validation error 4.020202 %
epoch 87, minibatch 166/166, validation error 4.000000 %
epoch 89, minibatch 166/166, validation error 3.979798 %
epoch 94, minibatch 166/166, validation error 3.979798 %
epoch 95, minibatch 166/166, validation error 3.959596 %
epoch 96, minibatch 166/166, validation error 3.898990 %
epoch 97, minibatch 166/166, validation error 3.888889 %
epoch 104, minibatch 166/166, validation error 3.878788 %
epoch 108, minibatch 166/166, validation error 3.838384 %
Selection : Best validation score of 3.83838383838 %
training member 1
epoch 1, minibatch 166/166, validation error 12.333333 %
epoch 2, minibatch 166/166, validation error 10.969697 %
epoch 3, minibatch 166/166, validation error 10.222222 %
epoch 4, minibatch 166/166, validation error 9.767677 %
epoch 5, minibatch 166/166, validation error 9.333333 %
epoch 6, minibatch 166/166, validation error 8.939394 %
epoch 7, minibatch 166/166, validation error 8.636364 %
epoch 8, minibatch 166/166, validation error 8.282828 %
epoch 9, minibatch 166/166, validation error 8.090909 %
epoch 10, minibatch 166/166, validation error 7.888889 %
epoch 11, minibatch 166/166, validation error 7.666667 %
epoch 12, minibatch 166/166, validation error 7.313131 %
epoch 13, minibatch 166/166, validation error 7.202020 %
epoch 14, minibatch 166/166, validation error 6.969697 %
epoch 15, minibatch 166/166, validation error 6.797980 %
epoch 16, minibatch 166/166, validation error 6.636364 %
epoch 17, minibatch 166/166, validation error 6.545455 %
epoch 18, minibatch 166/166, validation error 6.444444 %
epoch 19, minibatch 166/166, validation error 6.363636 %
epoch 20, minibatch 166/166, validation error 6.313131 %
epoch 21, minibatch 166/166, validation error 6.171717 %
epoch 22, minibatch 166/166, validation error 6.080808 %
epoch 23, minibatch 166/166, validation error 5.989899 %
