... loading data
training member 0
epoch 1, minibatch 166/166, validation error 9.393939 %
epoch 2, minibatch 166/166, validation error 8.484848 %
epoch 3, minibatch 166/166, validation error 8.090909 %
epoch 4, minibatch 166/166, validation error 7.646465 %
epoch 5, minibatch 166/166, validation error 7.343434 %
epoch 6, minibatch 166/166, validation error 7.060606 %
epoch 7, minibatch 166/166, validation error 6.878788 %
epoch 8, minibatch 166/166, validation error 6.686869 %
epoch 9, minibatch 166/166, validation error 6.444444 %
epoch 10, minibatch 166/166, validation error 6.323232 %
epoch 11, minibatch 166/166, validation error 6.212121 %
epoch 12, minibatch 166/166, validation error 6.040404 %
epoch 13, minibatch 166/166, validation error 5.909091 %
epoch 14, minibatch 166/166, validation error 5.747475 %
epoch 15, minibatch 166/166, validation error 5.636364 %
epoch 16, minibatch 166/166, validation error 5.555556 %
epoch 17, minibatch 166/166, validation error 5.535354 %
epoch 18, minibatch 166/166, validation error 5.404040 %
epoch 19, minibatch 166/166, validation error 5.373737 %
epoch 20, minibatch 166/166, validation error 5.333333 %
epoch 21, minibatch 166/166, validation error 5.232323 %
epoch 22, minibatch 166/166, validation error 5.171717 %
epoch 23, minibatch 166/166, validation error 5.101010 %
epoch 24, minibatch 166/166, validation error 5.040404 %
epoch 25, minibatch 166/166, validation error 5.020202 %
epoch 26, minibatch 166/166, validation error 4.939394 %
epoch 27, minibatch 166/166, validation error 4.898990 %
epoch 28, minibatch 166/166, validation error 4.818182 %
epoch 30, minibatch 166/166, validation error 4.767677 %
epoch 31, minibatch 166/166, validation error 4.717172 %
epoch 32, minibatch 166/166, validation error 4.676768 %
epoch 33, minibatch 166/166, validation error 4.626263 %
epoch 36, minibatch 166/166, validation error 4.585859 %
epoch 37, minibatch 166/166, validation error 4.545455 %
epoch 38, minibatch 166/166, validation error 4.505051 %
epoch 39, minibatch 166/166, validation error 4.494949 %
epoch 40, minibatch 166/166, validation error 4.404040 %
epoch 41, minibatch 166/166, validation error 4.353535 %
epoch 42, minibatch 166/166, validation error 4.323232 %
epoch 44, minibatch 166/166, validation error 4.282828 %
epoch 45, minibatch 166/166, validation error 4.272727 %
epoch 47, minibatch 166/166, validation error 4.232323 %
epoch 48, minibatch 166/166, validation error 4.212121 %
epoch 49, minibatch 166/166, validation error 4.181818 %
epoch 51, minibatch 166/166, validation error 4.161616 %
epoch 52, minibatch 166/166, validation error 4.141414 %
