... loading data
training member 0
epoch 1, minibatch 166/166, validation error 13.606061 %
epoch 2, minibatch 166/166, validation error 11.626263 %
epoch 3, minibatch 166/166, validation error 10.474747 %
epoch 4, minibatch 166/166, validation error 9.898990 %
epoch 5, minibatch 166/166, validation error 9.323232 %
epoch 6, minibatch 166/166, validation error 8.888889 %
epoch 7, minibatch 166/166, validation error 8.717172 %
epoch 8, minibatch 166/166, validation error 8.505051 %
epoch 9, minibatch 166/166, validation error 8.252525 %
epoch 10, minibatch 166/166, validation error 7.949495 %
epoch 11, minibatch 166/166, validation error 7.696970 %
epoch 12, minibatch 166/166, validation error 7.494949 %
epoch 13, minibatch 166/166, validation error 7.343434 %
epoch 14, minibatch 166/166, validation error 7.232323 %
epoch 15, minibatch 166/166, validation error 7.000000 %
epoch 16, minibatch 166/166, validation error 6.898990 %
epoch 17, minibatch 166/166, validation error 6.777778 %
epoch 18, minibatch 166/166, validation error 6.565657 %
epoch 19, minibatch 166/166, validation error 6.555556 %
epoch 20, minibatch 166/166, validation error 6.444444 %
epoch 21, minibatch 166/166, validation error 6.323232 %
epoch 22, minibatch 166/166, validation error 6.161616 %
epoch 23, minibatch 166/166, validation error 6.111111 %
epoch 24, minibatch 166/166, validation error 6.050505 %
epoch 25, minibatch 166/166, validation error 5.929293 %
epoch 26, minibatch 166/166, validation error 5.828283 %
epoch 27, minibatch 166/166, validation error 5.757576 %
epoch 28, minibatch 166/166, validation error 5.737374 %
epoch 29, minibatch 166/166, validation error 5.656566 %
epoch 30, minibatch 166/166, validation error 5.555556 %
epoch 31, minibatch 166/166, validation error 5.454545 %
epoch 32, minibatch 166/166, validation error 5.424242 %
epoch 33, minibatch 166/166, validation error 5.343434 %
epoch 34, minibatch 166/166, validation error 5.282828 %
epoch 35, minibatch 166/166, validation error 5.272727 %
epoch 36, minibatch 166/166, validation error 5.232323 %
epoch 37, minibatch 166/166, validation error 5.191919 %
epoch 38, minibatch 166/166, validation error 5.101010 %
epoch 39, minibatch 166/166, validation error 5.060606 %
epoch 40, minibatch 166/166, validation error 5.010101 %
epoch 41, minibatch 166/166, validation error 4.939394 %
epoch 42, minibatch 166/166, validation error 4.868687 %
epoch 43, minibatch 166/166, validation error 4.797980 %
epoch 44, minibatch 166/166, validation error 4.737374 %
epoch 45, minibatch 166/166, validation error 4.696970 %
epoch 47, minibatch 166/166, validation error 4.686869 %
epoch 48, minibatch 166/166, validation error 4.636364 %
epoch 50, minibatch 166/166, validation error 4.545455 %
epoch 51, minibatch 166/166, validation error 4.484848 %
epoch 53, minibatch 166/166, validation error 4.464646 %
epoch 54, minibatch 166/166, validation error 4.404040 %
epoch 55, minibatch 166/166, validation error 4.393939 %
epoch 58, minibatch 166/166, validation error 4.373737 %
epoch 61, minibatch 166/166, validation error 4.343434 %
epoch 63, minibatch 166/166, validation error 4.343434 %
epoch 64, minibatch 166/166, validation error 4.303030 %
epoch 65, minibatch 166/166, validation error 4.292929 %
epoch 66, minibatch 166/166, validation error 4.222222 %
epoch 71, minibatch 166/166, validation error 4.191919 %
epoch 72, minibatch 166/166, validation error 4.161616 %
epoch 73, minibatch 166/166, validation error 4.121212 %
epoch 74, minibatch 166/166, validation error 4.111111 %
epoch 76, minibatch 166/166, validation error 4.090909 %
epoch 78, minibatch 166/166, validation error 4.070707 %
epoch 79, minibatch 166/166, validation error 4.040404 %
epoch 81, minibatch 166/166, validation error 4.040404 %
epoch 83, minibatch 166/166, validation error 4.030303 %
epoch 84, minibatch 166/166, validation error 4.000000 %
epoch 85, minibatch 166/166, validation error 3.969697 %
epoch 89, minibatch 166/166, validation error 3.939394 %
epoch 91, minibatch 166/166, validation error 3.919192 %
epoch 92, minibatch 166/166, validation error 3.909091 %
epoch 99, minibatch 166/166, validation error 3.909091 %
epoch 100, minibatch 166/166, validation error 3.858586 %
epoch 101, minibatch 166/166, validation error 3.828283 %
epoch 107, minibatch 166/166, validation error 3.818182 %
epoch 108, minibatch 166/166, validation error 3.808081 %
epoch 109, minibatch 166/166, validation error 3.787879 %
epoch 112, minibatch 166/166, validation error 3.767677 %
epoch 122, minibatch 166/166, validation error 3.757576 %
epoch 123, minibatch 166/166, validation error 3.727273 %
Selection : Best validation score of 3.72727272727 %
training member 1
epoch 1, minibatch 166/166, validation error 11.787879 %
epoch 2, minibatch 166/166, validation error 10.848485 %
epoch 3, minibatch 166/166, validation error 10.080808 %
epoch 4, minibatch 166/166, validation error 9.494949 %
epoch 5, minibatch 166/166, validation error 9.040404 %
epoch 6, minibatch 166/166, validation error 8.686869 %
epoch 7, minibatch 166/166, validation error 8.444444 %
epoch 8, minibatch 166/166, validation error 8.101010 %
epoch 9, minibatch 166/166, validation error 7.808081 %
epoch 10, minibatch 166/166, validation error 7.535354 %
epoch 11, minibatch 166/166, validation error 7.434343 %
epoch 12, minibatch 166/166, validation error 7.171717 %
epoch 13, minibatch 166/166, validation error 7.040404 %
epoch 14, minibatch 166/166, validation error 6.868687 %
epoch 15, minibatch 166/166, validation error 6.767677 %
epoch 16, minibatch 166/166, validation error 6.626263 %
epoch 17, minibatch 166/166, validation error 6.505051 %
epoch 18, minibatch 166/166, validation error 6.393939 %
epoch 19, minibatch 166/166, validation error 6.222222 %
epoch 20, minibatch 166/166, validation error 6.151515 %
epoch 21, minibatch 166/166, validation error 6.111111 %
epoch 22, minibatch 166/166, validation error 5.959596 %
epoch 23, minibatch 166/166, validation error 5.777778 %
epoch 24, minibatch 166/166, validation error 5.686869 %
epoch 25, minibatch 166/166, validation error 5.595960 %
epoch 26, minibatch 166/166, validation error 5.525253 %
epoch 27, minibatch 166/166, validation error 5.444444 %
epoch 28, minibatch 166/166, validation error 5.363636 %
epoch 29, minibatch 166/166, validation error 5.282828 %
epoch 30, minibatch 166/166, validation error 5.262626 %
epoch 31, minibatch 166/166, validation error 5.191919 %
epoch 32, minibatch 166/166, validation error 5.131313 %
epoch 33, minibatch 166/166, validation error 5.090909 %
epoch 34, minibatch 166/166, validation error 5.040404 %
epoch 35, minibatch 166/166, validation error 5.030303 %
epoch 36, minibatch 166/166, validation error 4.969697 %
epoch 37, minibatch 166/166, validation error 4.949495 %
epoch 38, minibatch 166/166, validation error 4.888889 %
epoch 39, minibatch 166/166, validation error 4.878788 %
epoch 40, minibatch 166/166, validation error 4.838384 %
epoch 41, minibatch 166/166, validation error 4.757576 %
epoch 42, minibatch 166/166, validation error 4.696970 %
epoch 43, minibatch 166/166, validation error 4.666667 %
epoch 44, minibatch 166/166, validation error 4.646465 %
epoch 45, minibatch 166/166, validation error 4.626263 %
epoch 46, minibatch 166/166, validation error 4.616162 %
epoch 47, minibatch 166/166, validation error 4.575758 %
epoch 48, minibatch 166/166, validation error 4.525253 %
epoch 49, minibatch 166/166, validation error 4.525253 %
epoch 50, minibatch 166/166, validation error 4.515152 %
epoch 52, minibatch 166/166, validation error 4.515152 %
epoch 53, minibatch 166/166, validation error 4.505051 %
epoch 54, minibatch 166/166, validation error 4.474747 %
epoch 55, minibatch 166/166, validation error 4.434343 %
epoch 56, minibatch 166/166, validation error 4.404040 %
epoch 58, minibatch 166/166, validation error 4.353535 %
epoch 59, minibatch 166/166, validation error 4.333333 %
epoch 60, minibatch 166/166, validation error 4.313131 %
epoch 61, minibatch 166/166, validation error 4.272727 %
epoch 64, minibatch 166/166, validation error 4.252525 %
epoch 65, minibatch 166/166, validation error 4.242424 %
epoch 66, minibatch 166/166, validation error 4.222222 %
epoch 68, minibatch 166/166, validation error 4.181818 %
epoch 69, minibatch 166/166, validation error 4.151515 %
epoch 70, minibatch 166/166, validation error 4.101010 %
epoch 71, minibatch 166/166, validation error 4.090909 %
epoch 72, minibatch 166/166, validation error 4.040404 %
epoch 73, minibatch 166/166, validation error 4.020202 %
epoch 75, minibatch 166/166, validation error 3.989899 %
epoch 79, minibatch 166/166, validation error 3.959596 %
epoch 81, minibatch 166/166, validation error 3.929293 %
epoch 82, minibatch 166/166, validation error 3.888889 %
epoch 90, minibatch 166/166, validation error 3.868687 %
epoch 102, minibatch 166/166, validation error 3.848485 %
epoch 103, minibatch 166/166, validation error 3.838384 %
epoch 104, minibatch 166/166, validation error 3.828283 %
epoch 105, minibatch 166/166, validation error 3.797980 %
epoch 106, minibatch 166/166, validation error 3.787879 %
epoch 108, minibatch 166/166, validation error 3.737374 %
epoch 110, minibatch 166/166, validation error 3.717172 %
Selection : Best validation score of 3.71717171717 %
training member 2
epoch 1, minibatch 166/166, validation error 14.101010 %
epoch 2, minibatch 166/166, validation error 11.686869 %
epoch 3, minibatch 166/166, validation error 10.686869 %
epoch 4, minibatch 166/166, validation error 9.848485 %
epoch 5, minibatch 166/166, validation error 9.474747 %
epoch 6, minibatch 166/166, validation error 9.161616 %
epoch 7, minibatch 166/166, validation error 8.878788 %
epoch 8, minibatch 166/166, validation error 8.626263 %
epoch 9, minibatch 166/166, validation error 8.404040 %
epoch 10, minibatch 166/166, validation error 8.303030 %
epoch 11, minibatch 166/166, validation error 8.101010 %
epoch 12, minibatch 166/166, validation error 7.898990 %
epoch 13, minibatch 166/166, validation error 7.757576 %
epoch 14, minibatch 166/166, validation error 7.525253 %
epoch 15, minibatch 166/166, validation error 7.404040 %
epoch 16, minibatch 166/166, validation error 7.313131 %
epoch 17, minibatch 166/166, validation error 7.212121 %
epoch 18, minibatch 166/166, validation error 7.060606 %
epoch 19, minibatch 166/166, validation error 6.898990 %
epoch 20, minibatch 166/166, validation error 6.818182 %
epoch 21, minibatch 166/166, validation error 6.696970 %
epoch 22, minibatch 166/166, validation error 6.656566 %
epoch 23, minibatch 166/166, validation error 6.595960 %
epoch 24, minibatch 166/166, validation error 6.505051 %
epoch 25, minibatch 166/166, validation error 6.404040 %
epoch 26, minibatch 166/166, validation error 6.292929 %
epoch 27, minibatch 166/166, validation error 6.212121 %
epoch 28, minibatch 166/166, validation error 6.131313 %
epoch 29, minibatch 166/166, validation error 6.080808 %
epoch 31, minibatch 166/166, validation error 6.050505 %
epoch 32, minibatch 166/166, validation error 6.000000 %
epoch 33, minibatch 166/166, validation error 5.939394 %
epoch 34, minibatch 166/166, validation error 5.909091 %
epoch 35, minibatch 166/166, validation error 5.818182 %
epoch 36, minibatch 166/166, validation error 5.777778 %
epoch 37, minibatch 166/166, validation error 5.727273 %
epoch 40, minibatch 166/166, validation error 5.656566 %
epoch 41, minibatch 166/166, validation error 5.585859 %
epoch 43, minibatch 166/166, validation error 5.555556 %
epoch 44, minibatch 166/166, validation error 5.494949 %
epoch 45, minibatch 166/166, validation error 5.414141 %
epoch 46, minibatch 166/166, validation error 5.363636 %
epoch 47, minibatch 166/166, validation error 5.353535 %
epoch 48, minibatch 166/166, validation error 5.323232 %
epoch 49, minibatch 166/166, validation error 5.323232 %
epoch 50, minibatch 166/166, validation error 5.303030 %
epoch 51, minibatch 166/166, validation error 5.303030 %
epoch 52, minibatch 166/166, validation error 5.232323 %
epoch 54, minibatch 166/166, validation error 5.161616 %
epoch 55, minibatch 166/166, validation error 5.151515 %
epoch 56, minibatch 166/166, validation error 5.141414 %
epoch 57, minibatch 166/166, validation error 5.111111 %
epoch 58, minibatch 166/166, validation error 5.030303 %
epoch 62, minibatch 166/166, validation error 5.020202 %
epoch 67, minibatch 166/166, validation error 4.979798 %
epoch 68, minibatch 166/166, validation error 4.969697 %
epoch 69, minibatch 166/166, validation error 4.969697 %
epoch 70, minibatch 166/166, validation error 4.929293 %
epoch 71, minibatch 166/166, validation error 4.888889 %
epoch 73, minibatch 166/166, validation error 4.868687 %
epoch 75, minibatch 166/166, validation error 4.858586 %
epoch 76, minibatch 166/166, validation error 4.818182 %
epoch 77, minibatch 166/166, validation error 4.777778 %
epoch 78, minibatch 166/166, validation error 4.707071 %
epoch 83, minibatch 166/166, validation error 4.686869 %
epoch 84, minibatch 166/166, validation error 4.676768 %
epoch 86, minibatch 166/166, validation error 4.646465 %
epoch 87, minibatch 166/166, validation error 4.636364 %
epoch 88, minibatch 166/166, validation error 4.595960 %
epoch 90, minibatch 166/166, validation error 4.565657 %
epoch 92, minibatch 166/166, validation error 4.525253 %
epoch 96, minibatch 166/166, validation error 4.505051 %
epoch 98, minibatch 166/166, validation error 4.494949 %
epoch 99, minibatch 166/166, validation error 4.474747 %
epoch 100, minibatch 166/166, validation error 4.464646 %
epoch 121, minibatch 166/166, validation error 4.444444 %
epoch 156, minibatch 166/166, validation error 4.434343 %
epoch 157, minibatch 166/166, validation error 4.424242 %
epoch 158, minibatch 166/166, validation error 4.383838 %
Selection : Best validation score of 4.38383838384 %
training stack head
epoch 1, minibatch 166/166, validation error 3.595960 %
epoch 12, minibatch 166/166, validation error 3.595960 %
epoch 33, minibatch 166/166, validation error 3.585859 %
epoch 39, minibatch 166/166, validation error 3.585859 %
epoch 46, minibatch 166/166, validation error 3.575758 %
epoch 54, minibatch 166/166, validation error 3.565657 %
epoch 55, minibatch 166/166, validation error 3.545455 %
epoch 80, minibatch 166/166, validation error 3.545455 %
epoch 101, minibatch 166/166, validation error 3.535354 %
epoch 104, minibatch 166/166, validation error 3.525253 %
epoch 119, minibatch 166/166, validation error 3.515152 %
epoch 127, minibatch 166/166, validation error 3.505051 %
epoch 138, minibatch 166/166, validation error 3.494949 %
epoch 151, minibatch 166/166, validation error 3.474747 %
epoch 152, minibatch 166/166, validation error 3.454545 %
epoch 155, minibatch 166/166, validation error 3.444444 %
epoch 173, minibatch 166/166, validation error 3.434343 %
epoch 178, minibatch 166/166, validation error 3.424242 %
epoch 184, minibatch 166/166, validation error 3.404040 %
epoch 208, minibatch 166/166, validation error 3.393939 %
