... loading data
training member 0
epoch 1, minibatch 166/166, validation error 11.777778 %
epoch 2, minibatch 166/166, validation error 10.737374 %
epoch 3, minibatch 166/166, validation error 10.010101 %
epoch 4, minibatch 166/166, validation error 9.454545 %
epoch 5, minibatch 166/166, validation error 9.010101 %
epoch 6, minibatch 166/166, validation error 8.555556 %
epoch 7, minibatch 166/166, validation error 8.272727 %
epoch 8, minibatch 166/166, validation error 8.101010 %
epoch 9, minibatch 166/166, validation error 7.909091 %
epoch 10, minibatch 166/166, validation error 7.676768 %
epoch 11, minibatch 166/166, validation error 7.343434 %
epoch 12, minibatch 166/166, validation error 7.141414 %
epoch 13, minibatch 166/166, validation error 6.939394 %
epoch 14, minibatch 166/166, validation error 6.787879 %
epoch 15, minibatch 166/166, validation error 6.636364 %
epoch 16, minibatch 166/166, validation error 6.505051 %
epoch 17, minibatch 166/166, validation error 6.323232 %
epoch 18, minibatch 166/166, validation error 6.232323 %
epoch 19, minibatch 166/166, validation error 6.010101 %
epoch 20, minibatch 166/166, validation error 5.858586 %
epoch 21, minibatch 166/166, validation error 5.717172 %
epoch 22, minibatch 166/166, validation error 5.636364 %
epoch 23, minibatch 166/166, validation error 5.575758 %
epoch 24, minibatch 166/166, validation error 5.525253 %
epoch 25, minibatch 166/166, validation error 5.494949 %
epoch 26, minibatch 166/166, validation error 5.444444 %
epoch 27, minibatch 166/166, validation error 5.424242 %
epoch 28, minibatch 166/166, validation error 5.303030 %
epoch 29, minibatch 166/166, validation error 5.272727 %
epoch 30, minibatch 166/166, validation error 5.212121 %
epoch 31, minibatch 166/166, validation error 5.101010 %
epoch 32, minibatch 166/166, validation error 5.020202 %
epoch 33, minibatch 166/166, validation error 5.000000 %
epoch 34, minibatch 166/166, validation error 4.939394 %
epoch 35, minibatch 166/166, validation error 4.929293 %
epoch 36, minibatch 166/166, validation error 4.828283 %
epoch 37, minibatch 166/166, validation error 4.787879 %
epoch 38, minibatch 166/166, validation error 4.757576 %
epoch 39, minibatch 166/166, validation error 4.676768 %
epoch 40, minibatch 166/166, validation error 4.646465 %
epoch 41, minibatch 166/166, validation error 4.626263 %
epoch 42, minibatch 166/166, validation error 4.616162 %
epoch 43, minibatch 166/166, validation error 4.575758 %
epoch 44, minibatch 166/166, validation error 4.525253 %
epoch 46, minibatch 166/166, validation error 4.515152 %
epoch 47, minibatch 166/166, validation error 4.454545 %
epoch 48, minibatch 166/166, validation error 4.444444 %
epoch 49, minibatch 166/166, validation error 4.424242 %
epoch 51, minibatch 166/166, validation error 4.404040 %
epoch 52, minibatch 166/166, validation error 4.383838 %
epoch 55, minibatch 166/166, validation error 4.373737 %
epoch 57, minibatch 166/166, validation error 4.353535 %
epoch 58, minibatch 166/166, validation error 4.333333 %
epoch 69, minibatch 166/166, validation error 4.323232 %
epoch 70, minibatch 166/166, validation error 4.282828 %
epoch 72, minibatch 166/166, validation error 4.262626 %
epoch 73, minibatch 166/166, validation error 4.212121 %
epoch 74, minibatch 166/166, validation error 4.191919 %
epoch 75, minibatch 166/166, validation error 4.191919 %
epoch 77, minibatch 166/166, validation error 4.181818 %
epoch 79, minibatch 166/166, validation error 4.161616 %
epoch 82, minibatch 166/166, validation error 4.161616 %
epoch 83, minibatch 166/166, validation error 4.151515 %
epoch 84, minibatch 166/166, validation error 4.141414 %
epoch 88, minibatch 166/166, validation error 4.131313 %
epoch 89, minibatch 166/166, validation error 4.131313 %
epoch 90, minibatch 166/166, validation error 4.060606 %
epoch 92, minibatch 166/166, validation error 4.040404 %
epoch 94, minibatch 166/166, validation error 4.040404 %
epoch 95, minibatch 166/166, validation error 4.030303 %
epoch 96, minibatch 166/166, validation error 3.989899 %
epoch 98, minibatch 166/166, validation error 3.969697 %
epoch 104, minibatch 166/166, validation error 3.959596 %
epoch 105, minibatch 166/166, validation error 3.949495 %
epoch 106, minibatch 166/166, validation error 3.939394 %
epoch 107, minibatch 166/166, validation error 3.929293 %
epoch 109, minibatch 166/166, validation error 3.919192 %
epoch 112, minibatch 166/166, validation error 3.909091 %
epoch 113, minibatch 166/166, validation error 3.878788 %
epoch 116, minibatch 166/166, validation error 3.858586 %
epoch 117, minibatch 166/166, validation error 3.838384 %
epoch 118, minibatch 166/166, validation error 3.828283 %
epoch 123, minibatch 166/166, validation error 3.828283 %
epoch 124, minibatch 166/166, validation error 3.818182 %
epoch 127, minibatch 166/166, validation error 3.808081 %
epoch 130, minibatch 166/166, validation error 3.767677 %
epoch 131, minibatch 166/166, validation error 3.757576 %
epoch 132, minibatch 166/166, validation error 3.747475 %
epoch 133, minibatch 166/166, validation error 3.737374 %
Selection : Best validation score of 3.73737373737 %
training member 1
epoch 1, minibatch 166/166, validation error 12.929293 %
epoch 2, minibatch 166/166, validation error 11.373737 %
epoch 3, minibatch 166/166, validation error 10.828283 %
epoch 4, minibatch 166/166, validation error 10.191919 %
epoch 5, minibatch 166/166, validation error 9.717172 %
epoch 6, minibatch 166/166, validation error 9.050505 %
epoch 7, minibatch 166/166, validation error 8.717172 %
epoch 8, minibatch 166/166, validation error 8.404040 %
epoch 9, minibatch 166/166, validation error 8.141414 %
epoch 10, minibatch 166/166, validation error 8.070707 %
epoch 11, minibatch 166/166, validation error 7.808081 %
epoch 12, minibatch 166/166, validation error 7.575758 %
epoch 13, minibatch 166/166, validation error 7.515152 %
epoch 14, minibatch 166/166, validation error 7.323232 %
epoch 15, minibatch 166/166, validation error 7.222222 %
epoch 16, minibatch 166/166, validation error 7.080808 %
epoch 17, minibatch 166/166, validation error 6.939394 %
epoch 18, minibatch 166/166, validation error 6.808081 %
epoch 19, minibatch 166/166, validation error 6.626263 %
epoch 20, minibatch 166/166, validation error 6.585859 %
epoch 21, minibatch 166/166, validation error 6.545455 %
epoch 22, minibatch 166/166, validation error 6.454545 %
epoch 23, minibatch 166/166, validation error 6.323232 %
epoch 24, minibatch 166/166, validation error 6.151515 %
epoch 25, minibatch 166/166, validation error 6.010101 %
epoch 26, minibatch 166/166, validation error 5.959596 %
epoch 27, minibatch 166/166, validation error 5.888889 %
epoch 28, minibatch 166/166, validation error 5.838384 %
epoch 29, minibatch 166/166, validation error 5.777778 %
epoch 30, minibatch 166/166, validation error 5.696970 %
epoch 31, minibatch 166/166, validation error 5.646465 %
epoch 32, minibatch 166/166, validation error 5.565657 %
epoch 33, minibatch 166/166, validation error 5.505051 %
epoch 34, minibatch 166/166, validation error 5.434343 %
epoch 35, minibatch 166/166, validation error 5.414141 %
epoch 36, minibatch 166/166, validation error 5.323232 %
epoch 37, minibatch 166/166, validation error 5.262626 %
epoch 38, minibatch 166/166, validation error 5.242424 %
epoch 39, minibatch 166/166, validation error 5.232323 %
epoch 40, minibatch 166/166, validation error 5.141414 %
epoch 41, minibatch 166/166, validation error 5.090909 %
epoch 43, minibatch 166/166, validation error 5.040404 %
epoch 44, minibatch 166/166, validation error 5.020202 %
epoch 45, minibatch 166/166, validation error 4.979798 %
epoch 46, minibatch 166/166, validation error 4.959596 %
epoch 47, minibatch 166/166, validation error 4.939394 %
epoch 48, minibatch 166/166, validation error 4.888889 %
epoch 49, minibatch 166/166, validation error 4.858586 %
epoch 50, minibatch 166/166, validation error 4.828283 %
epoch 51, minibatch 166/166, validation error 4.767677 %
epoch 52, minibatch 166/166, validation error 4.717172 %
epoch 53, minibatch 166/166, validation error 4.676768 %
epoch 54, minibatch 166/166, validation error 4.626263 %
epoch 55, minibatch 166/166, validation error 4.595960 %
epoch 56, minibatch 166/166, validation error 4.545455 %
epoch 57, minibatch 166/166, validation error 4.525253 %
epoch 58, minibatch 166/166, validation error 4.474747 %
epoch 59, minibatch 166/166, validation error 4.444444 %
epoch 60, minibatch 166/166, validation error 4.414141 %
epoch 61, minibatch 166/166, validation error 4.383838 %
epoch 62, minibatch 166/166, validation error 4.373737 %
epoch 63, minibatch 166/166, validation error 4.303030 %
epoch 64, minibatch 166/166, validation error 4.292929 %
epoch 65, minibatch 166/166, validation error 4.292929 %
epoch 66, minibatch 166/166, validation error 4.252525 %
epoch 69, minibatch 166/166, validation error 4.232323 %
epoch 71, minibatch 166/166, validation error 4.222222 %
epoch 74, minibatch 166/166, validation error 4.171717 %
epoch 75, minibatch 166/166, validation error 4.171717 %
epoch 76, minibatch 166/166, validation error 4.161616 %
epoch 77, minibatch 166/166, validation error 4.141414 %
epoch 78, minibatch 166/166, validation error 4.121212 %
epoch 79, minibatch 166/166, validation error 4.101010 %
epoch 80, minibatch 166/166, validation error 4.090909 %
epoch 81, minibatch 166/166, validation error 4.080808 %
epoch 82, minibatch 166/166, validation error 4.070707 %
epoch 83, minibatch 166/166, validation error 4.060606 %
epoch 84, minibatch 166/166, validation error 4.040404 %
epoch 85, minibatch 166/166, validation error 4.020202 %
epoch 87, minibatch 166/166, validation error 4.010101 %
epoch 88, minibatch 166/166, validation error 3.969697 %
epoch 89, minibatch 166/166, validation error 3.939394 %
epoch 90, minibatch 166/166, validation error 3.929293 %
epoch 97, minibatch 166/166, validation error 3.909091 %
epoch 98, minibatch 166/166, validation error 3.909091 %
epoch 105, minibatch 166/166, validation error 3.888889 %
epoch 108, minibatch 166/166, validation error 3.878788 %
epoch 110, minibatch 166/166, validation error 3.858586 %
epoch 114, minibatch 166/166, validation error 3.838384 %
epoch 115, minibatch 166/166, validation error 3.818182 %
epoch 116, minibatch 166/166, validation error 3.808081 %
epoch 117, minibatch 166/166, validation error 3.777778 %
epoch 119, minibatch 166/166, validation error 3.737374 %
epoch 124, minibatch 166/166, validation error 3.696970 %
Selection : Best validation score of 3.69696969697 %
training member 2
epoch 1, minibatch 166/166, validation error 10.404040 %
epoch 2, minibatch 166/166, validation error 9.303030 %
epoch 3, minibatch 166/166, validation error 8.585859 %
epoch 4, minibatch 166/166, validation error 8.141414 %
epoch 5, minibatch 166/166, validation error 7.737374 %
epoch 6, minibatch 166/166, validation error 7.424242 %
epoch 7, minibatch 166/166, validation error 7.040404 %
