... loading data
training member 0
epoch 1, minibatch 166/166, validation error 11.242424 %
epoch 2, minibatch 166/166, validation error 10.393939 %
epoch 3, minibatch 166/166, validation error 9.888889 %
epoch 4, minibatch 166/166, validation error 9.434343 %
epoch 5, minibatch 166/166, validation error 9.141414 %
epoch 6, minibatch 166/166, validation error 8.808081 %
epoch 7, minibatch 166/166, validation error 8.484848 %
epoch 8, minibatch 166/166, validation error 8.333333 %
epoch 9, minibatch 166/166, validation error 8.080808 %
epoch 10, minibatch 166/166, validation error 7.848485 %
epoch 11, minibatch 166/166, validation error 7.717172 %
epoch 12, minibatch 166/166, validation error 7.525253 %
epoch 13, minibatch 166/166, validation error 7.383838 %
epoch 14, minibatch 166/166, validation error 7.161616 %
epoch 15, minibatch 166/166, validation error 7.060606 %
epoch 16, minibatch 166/166, validation error 6.868687 %
epoch 17, minibatch 166/166, validation error 6.737374 %
epoch 18, minibatch 166/166, validation error 6.565657 %
epoch 19, minibatch 166/166, validation error 6.404040 %
epoch 20, minibatch 166/166, validation error 6.323232 %
epoch 21, minibatch 166/166, validation error 6.161616 %
epoch 22, minibatch 166/166, validation error 6.060606 %
epoch 23, minibatch 166/166, validation error 5.959596 %
epoch 24, minibatch 166/166, validation error 5.909091 %
epoch 25, minibatch 166/166, validation error 5.848485 %
epoch 26, minibatch 166/166, validation error 5.797980 %
epoch 27, minibatch 166/166, validation error 5.737374 %
epoch 28, minibatch 166/166, validation error 5.666667 %
epoch 29, minibatch 166/166, validation error 5.606061 %
epoch 30, minibatch 166/166, validation error 5.565657 %
epoch 31, minibatch 166/166, validation error 5.494949 %
epoch 32, minibatch 166/166, validation error 5.444444 %
epoch 33, minibatch 166/166, validation error 5.353535 %
epoch 34, minibatch 166/166, validation error 5.333333 %
epoch 35, minibatch 166/166, validation error 5.252525 %
epoch 36, minibatch 166/166, validation error 5.222222 %
epoch 37, minibatch 166/166, validation error 5.171717 %
epoch 38, minibatch 166/166, validation error 5.111111 %
epoch 39, minibatch 166/166, validation error 5.040404 %
epoch 40, minibatch 166/166, validation error 5.030303 %
epoch 41, minibatch 166/166, validation error 4.989899 %
epoch 42, minibatch 166/166, validation error 4.909091 %
epoch 43, minibatch 166/166, validation error 4.858586 %
